f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	1199162	-210250	809	142
11000	269696	-483502	880	1577
21000	88376	-305494	874	3021
31000	42511	-216018	877	4457
41000	24727	-165697	881	5904
51000	16488	-134237	901	7339
61000	11459	-112958	889	8763
71000	8488	-97235	891	10207
81000	6547	-85408	892	11640
91000	5235	-76074	900	13083
101000	4286	-68595	907	14522
111000	3547	-62456	907	15960
121000	3009	-57350	912	17389
131000	2581	-52988	917	18828
141000	2221	-49263	913	20258
151000	1974	-45996	931	21701
161000	1736	-43143	931	23141
171000	1552	-40603	940	24593
181000	1372	-38402	929	26007
191000	1246	-36393	939	27446
201000	1134	-34579	948	28888
211000	1021	-32933	940	30336
221000	961	-31455	971	31762
231000	867	-30105	956	33189
241000	818	-28855	982	34629
251000	769	-27702	1001	36070
261000	694	-26632	977	37523
271000	651	-25662	989	38943
281000	616	-24743	1006	40391
291000	581	-23896	1017	41824
301000	549	-23115	1027	43238
311000	522	-22352	1044	44715
321000	481	-21668	1024	46127
331000	459	-21009	1041	47577
341000	444	-20398	1066	49002
351000	419	-19830	1064	50405
361000	388	-19263	1046	51892
371000	383	-18740	1089	53341
381000	359	-18260	1075	54744
391000	347	-17795	1095	56175
401000	341	-17351	1132	57610
411000	320	-16923	1116	59071
421000	301	-16520	1104	60511
431000	296	-16142	1137	61931
441000	283	-15776	1138	63367
451000	269	-15428	1129	64800
461000	268	-15083	1180	66279
471000	245	-14773	1121	67671
481000	245	-14455	1170	69159
491000	235	-14166	1173	70572
501000	225	-13869	1170	72084
511000	213	-13605	1151	73486
521000	212	-13353	1189	74870
531000	209	-13090	1221	76376
541000	205	-12849	1243	77810
551000	207	-12623	1301	79198
561000	197	-12396	1280	80650
571000	189	-12174	1277	82123
581000	177	-11955	1239	83625
591000	183	-11771	1318	84937
601000	170	-11575	1272	86375
611000	168	-11392	1291	87765
621000	169	-11202	1344	89253
631000	162	-11028	1329	90660
641000	154	-10850	1307	92149
651000	161	-10678	1413	93631
661000	145	-10513	1315	95102
671000	139	-10362	1293	96490
681000	144	-10212	1385	97906
691000	141	-10065	1391	99331
701000	139	-9910	1418	100888
711000	130	-9778	1355	102253
721000	129	-9642	1386	103697
731000	122	-9505	1345	105187
741000	127	-9369	1442	106711
751000	121	-9252	1410	108071
761000	126	-9139	1507	109404
771000	117	-9007	1446	111002
781000	117	-8899	1474	112352
791000	110	-8790	1429	113752
801000	107	-8671	1419	115306
811000	116	-8565	1574	116739
821000	108	-8467	1500	118087
831000	101	-8359	1441	119621
841000	110	-8264	1615	120987
851000	109	-8164	1642	122468
861000	106	-8068	1621	123924
871000	97	-7978	1528	125327
881000	104	-7878	1677	126909
891000	96	-7794	1585	128285
901000	100	-7708	1677	129710
911000	93	-7621	1598	131193
921000	97	-7542	1704	132564
931000	89	-7465	1595	133944
941000	85	-7378	1566	135527
951000	92	-7295	1720	137056
961000	91	-7230	1748	138298
971000	83	-7144	1627	139954
981000	80	-7068	1605	141466
991000	93	-7006	1893	142701
1001000	79	-6936	1649	144164
1011000	82	-6864	1750	145663
1021000	78	-6791	1681	147233
1031000	77	-6718	1716	148833
1041000	76	-6665	1704	150010
1051000	72	-6593	1655	151669
1061000	81	-6528	1889	153174
1071000	84	-6477	2000	154376
1081000	73	-6410	1765	155974
1091000	66	-6352	1628	157406
1101000	78	-6294	1958	158855
1111000	68	-6235	1749	160378
1121000	62	-6179	1622	161813
1131000	72	-6128	1905	163154
1141000	71	-6065	1941	164865
1151000	62	-6012	1724	166328
1161000	66	-5961	1859	167747
1171000	60	-5915	1722	169040
1181000	71	-5862	2060	170579
1191000	69	-5815	2040	171947
1201000	60	-5770	1811	173303
1211000	60	-5712	1845	175053
1221000	65	-5665	2020	176489
1231000	61	-5622	1916	177863
1241000	56	-5579	1807	179236
1251000	54	-5524	1768	181000
1261000	52	-5487	1718	182245
1271000	63	-5441	2123	183766
1281000	58	-5401	1977	185133
1291000	50	-5357	1735	186666
1301000	57	-5318	2012	188023
1311000	56	-5270	2028	189728
1321000	57	-5232	2099	191112
1331000	51	-5191	1895	192619
1341000	53	-5155	1978	193971
1351000	45	-5111	1738	195655
1361000	54	-5066	2104	197369
1371000	59	-5037	2336	198505
1381000	46	-4999	1832	200030
1391000	53	-4968	2139	201271
1401000	47	-4928	1954	202917
1411000	54	-4887	2278	204609
1421000	50	-4857	2123	205860
1431000	40	-4820	1739	207439
1441000	45	-4792	1946	208660
1451000	41	-4753	1809	210366
1461000	43	-4715	1922	212056
1471000	51	-4688	2329	213274
1481000	45	-4656	2086	214749
1491000	39	-4626	1801	216162
1501000	46	-4592	2158	217735
1511000	46	-4557	2193	219414
1521000	45	-4521	2221	221157
1531000	51	-4502	2501	222097
1541000	45	-4465	2247	223926
1551000	43	-4435	2172	225483
1561000	41	-4418	2087	226342
1571000	38	-4382	1964	228174
1581000	45	-4347	2387	230031
1591000	49	-4329	2595	230982
1601000	36	-4296	1969	232751
1611000	40	-4267	2171	234342
1621000	44	-4245	2449	235544
1631000	39	-4206	2224	237748
1641000	45	-4185	2581	238920
1651000	39	-4161	2253	240316
1661000	41	-4138	2419	241650
1671000	38	-4107	2244	243443
1681000	31	-4081	1856	245007
1691000	38	-4063	2324	246110
1701000	39	-4030	2402	248134
1711000	38	-4011	2371	249318
1721000	34	-3992	2150	250506
1731000	36	-3975	2308	251539
1741000	33	-3940	2099	253761
1751000	33	-3914	2174	255493
1761000	36	-3892	2407	256896
1771000	42	-3875	2811	258010
1781000	29	-3848	1961	259866
1791000	31	-3829	2121	261180
1801000	30	-3799	2066	263230
1811000	34	-3785	2345	264165
1821000	24	-3761	1671	265879
1831000	33	-3736	2339	267661
1841000	34	-3709	2469	269620
1851000	36	-3695	2602	270586
1861000	32	-3680	2328	271716
1871000	32	-3653	2402	273734
1881000	31	-3641	2320	274603
1891000	32	-3620	2408	276232
1901000	42	-3604	3206	277458
1911000	43	-3578	3397	279453
1921000	36	-3552	2829	281464
1931000	32	-3534	2578	282942
1941000	33	-3516	2672	284390
1951000	38	-3503	3102	285460
1961000	28	-3478	2319	287513
1971000	25	-3465	2057	288564
1981000	29	-3448	2423	290011
1991000	33	-3424	2775	292069
2001000	36	-3409	3140	293313
2011000	30	-3391	2612	294853
2021000	24	-3377	2102	296112
2031000	19	-3355	1730	298036
2041000	26	-3337	2323	299651
2051000	29	-3324	2614	300864
2061000	29	-3307	2693	302396
2071000	34	-3278	3171	305022
2081000	31	-3263	2895	306432
2091000	28	-3249	2686	307746
2101000	28	-3235	2634	309133
2111000	32	-3225	3043	310052
2121000	30	-3204	2905	312101
2131000	25	-3189	2461	313571
2141000	19	-3174	1916	315089
2151000	25	-3160	2479	316479
2161000	33	-3141	3305	318308
2171000	37	-3126	3744	319874
2181000	29	-3105	2960	322026
2191000	26	-3095	2689	323076
2201000	26	-3081	2704	324529
2211000	24	-3063	2517	326471
2221000	19	-3052	2077	327643
2231000	26	-3040	2863	328902
2241000	33	-3025	3571	330585
2251000	32	-3004	3508	332902
2261000	33	-2988	3662	334626
2271000	26	-2972	2966	336501
2281000	22	-2962	2560	337629
2291000	27	-2954	3101	338543
2301000	29	-2942	3359	339887
2311000	26	-2923	3096	342134
2321000	20	-2908	2328	343885
2331000	20	-2902	2375	344620
2341000	21	-2889	2503	346149
2351000	23	-2869	2829	348522
2361000	30	-2858	3619	349813
2371000	27	-2849	3330	350958
2381000	23	-2836	2877	352608
2391000	17	-2820	2143	354547
2401000	17	-2811	2124	355738
2411000	18	-2799	2265	357284
2421000	21	-2786	2722	358880
2431000	25	-2773	3228	360656
2441000	25	-2765	3289	361657
2451000	25	-2745	3253	364297
2461000	23	-2729	3059	366362
2471000	27	-2716	3643	368094
2481000	22	-2710	2935	368954
2491000	21	-2704	2915	369816
2501000	21	-2693	2863	371330
2511000	18	-2680	2518	373167
2521000	26	-2670	3626	374483
2531000	24	-2661	3411	375735
2541000	21	-2645	3030	378032
2551000	15	-2634	2105	379669
2561000	15	-2617	2263	382076
2571000	19	-2600	2849	384586
2581000	20	-2591	2925	385981
2591000	23	-2583	3406	387180
2601000	27	-2575	4077	388373
2611000	24	-2566	3663	389672
2621000	21	-2555	3269	391304
2631000	16	-2543	2545	393289
2641000	17	-2532	2594	394870
2651000	21	-2525	3305	396008
2661000	24	-2514	3758	397699
2671000	25	-2505	3999	399202
2681000	24	-2497	3783	400499
2691000	28	-2484	4459	402566
2701000	30	-2473	4874	404301
2711000	28	-2461	4661	406231
2721000	22	-2449	3686	408242
2731000	18	-2443	3075	409237
2741000	15	-2432	2580	411149
2751000	15	-2425	2558	412332
2761000	15	-2415	2503	414101
2771000	17	-2403	2949	416212
2781000	21	-2399	3663	416778
2791000	23	-2390	4092	418355
2801000	25	-2383	4367	419522
2811000	18	-2367	3229	422507
2821000	13	-2359	2281	423937
2831000	18	-2341	3344	427114
2841000	24	-2334	4335	428490
2851000	21	-2327	3880	429737
2861000	18	-2318	3374	431307
2871000	18	-2310	3337	432864
2881000	14	-2300	2625	434841
2891000	15	-2298	2915	435201
2901000	14	-2291	2758	436529
2911000	19	-2283	3598	437963
2921000	19	-2270	3659	440574
2931000	12	-2261	2433	442268
2941000	17	-2249	3385	444605
2951000	17	-2238	3448	446705
2961000	15	-2231	3091	448252
2971000	20	-2219	4094	450655
2981000	20	-2207	4090	453002
2991000	21	-2204	4286	453665
3001000	21	-2198	4361	454922
3011000	24	-2193	4974	455882
3021000	21	-2187	4429	457230
3031000	21	-2176	4443	459587
3041000	13	-2162	2838	462575
3051000	17	-2153	3746	464458
3061000	18	-2150	3890	465063
3071000	15	-2140	3335	467287
3081000	14	-2139	3111	467532
3091000	13	-2129	2765	469640
3101000	11	-2118	2440	472194
3111000	12	-2113	2654	473194
3121000	23	-2103	5276	475431
3131000	22	-2100	4945	476161
3141000	30	-2091	6766	478057
3151000	27	-2083	6219	479991
3161000	24	-2074	5669	481979
3171000	18	-2066	4237	483998
3181000	16	-2057	3665	486051
3191000	17	-2055	4005	486701
3201000	14	-2048	3306	488270
3211000	13	-2040	3179	490251
3221000	18	-2033	4234	491790
3231000	15	-2027	3755	493198
3241000	19	-2016	4631	495932
3251000	17	-2014	4168	496465
3261000	18	-2012	4396	497030
3271000	16	-2001	3981	499770
3281000	18	-1987	4618	503277
3291000	19	-1975	4971	506384
3301000	17	-1969	4489	507829
3311000	16	-1964	4233	509137
3321000	15	-1957	3905	510859
3331000	16	-1955	4209	511527
3341000	15	-1952	3996	512238
3351000	15	-1948	3913	513295
3361000	15	-1942	3919	514790
3371000	13	-1932	3615	517493
3381000	14	-1926	3786	519313
3391000	15	-1919	4042	521129
3401000	19	-1914	5306	522360
3411000	19	-1910	5324	523377
3421000	19	-1903	5251	525449
3431000	16	-1896	4361	527315
3441000	11	-1888	3068	529562
3451000	12	-1876	3379	532995
3461000	18	-1871	5066	534369
3471000	20	-1861	5732	537255
3481000	13	-1851	3924	540134
3491000	14	-1847	4066	541458
3501000	14	-1839	4065	543649
3511000	13	-1836	3760	544612
3521000	13	-1831	3936	546007
3531000	15	-1825	4445	547759
3541000	12	-1825	3740	547862
3551000	12	-1822	3758	548891
3561000	13	-1819	3859	549767
3571000	12	-1811	3756	552044
3581000	11	-1803	3390	554679
3591000	16	-1792	4891	558124
3601000	11	-1785	3387	560250
3611000	9	-1780	2944	561737
3621000	10	-1775	3134	563287
3631000	15	-1766	4822	566227
3641000	17	-1762	5489	567404
3651000	16	-1752	5075	570671
3661000	12	-1749	4067	571646
3671000	13	-1741	4317	574349
3681000	15	-1734	5037	576576
3691000	14	-1731	4557	577609
3701000	13	-1727	4480	578949
3711000	15	-1724	5094	580132
