Far field
"Theta"[deg]	"FarField1 [V]"	
0.00000000E+00	4.98277448E-01	
6.00000000E+00	4.64469242E-01	
1.20000000E+01	3.72835681E-01	
1.80000000E+01	2.48549755E-01	
2.40000000E+01	1.22332472E-01	
3.00000000E+01	2.88261165E-02	
3.60000000E+01	6.36660242E-02	
4.20000000E+01	9.90010263E-02	
4.80000000E+01	1.08567382E-01	
5.40000000E+01	1.01087960E-01	
6.00000000E+01	8.50832910E-02	
6.60000000E+01	6.63666492E-02	
7.20000000E+01	4.79595839E-02	
7.80000000E+01	3.08938167E-02	
8.40000000E+01	1.50974400E-02	
9.00000000E+01	2.21796330E-05	
9.60000000E+01	1.50857731E-02	
1.02000000E+02	3.09127252E-02	
1.08000000E+02	4.80219142E-02	
1.14000000E+02	6.64727166E-02	
1.20000000E+02	8.52164429E-02	
1.26000000E+02	1.01215068E-01	
1.32000000E+02	1.08646660E-01	
1.38000000E+02	9.89957287E-02	
1.44000000E+02	6.35579728E-02	
1.50000000E+02	2.88225596E-02	
1.56000000E+02	1.22502691E-01	
1.62000000E+02	2.48713894E-01	
1.68000000E+02	3.72947195E-01	
1.74000000E+02	4.64522871E-01	
1.80000000E+02	4.98304272E-01	
1.86000000E+02	4.64521994E-01	
1.92000000E+02	3.72948978E-01	
1.98000000E+02	2.48722288E-01	
2.04000000E+02	1.22516830E-01	
2.10000000E+02	2.88072692E-02	
2.16000000E+02	6.35201808E-02	
2.22000000E+02	9.89699468E-02	
2.28000000E+02	1.08636378E-01	
2.34000000E+02	1.01221372E-01	
2.40000000E+02	8.52366805E-02	
2.46000000E+02	6.65016741E-02	
2.52000000E+02	4.80537021E-02	
2.58000000E+02	3.09422831E-02	
2.64000000E+02	1.51095103E-02	
2.70000000E+02	2.94698970E-05	
2.76000000E+02	1.50908652E-02	
2.82000000E+02	3.08962962E-02	
2.88000000E+02	4.79696339E-02	
2.94000000E+02	6.63809126E-02	
3.00000000E+02	8.50965966E-02	
3.06000000E+02	1.01094277E-01	
3.12000000E+02	1.08561510E-01	
3.18000000E+02	9.89800628E-02	
3.24000000E+02	6.36281713E-02	
3.30000000E+02	2.88002832E-02	
3.36000000E+02	1.22350754E-01	
3.42000000E+02	2.48567875E-01	
3.48000000E+02	3.72847900E-01	
3.54000000E+02	4.64474998E-01	
3.60000000E+02	4.98277448E-01	
