"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='90deg'"
0,1.73698874852409,0.87708049555702
6,0.0475802778945919,0.0360342060900936
12,0.0227552908323489,0.00361461680737182
18,0.0025197733666975,0.000803388384525428
24,0.00664235981071704,0.0104836154847293
30,0.00937107213732814,0.00560977080003927
36,0.00220429563659344,0.000495744707870393
42,3.91588945734804E-05,9.02838569468659E-07
48,4.03442814161656E-05,0.000498726849205401
54,0.00219419411201611,0.0055521167669989
60,0.00927905753150175,0.0104943110881423
66,0.00679101390709801,0.000813623654666827
72,0.00250040195039455,0.00360675647057175
78,0.0220286232087543,0.0357785647180753
84,0.048341788784062,0.879709509196272
90,1.7400756449203,0.878943716563309
96,0.0483103756824211,0.0356610935110395
102,0.0220759919024892,0.00369246006151747
108,0.00254813515328386,0.000773823577471128
114,0.00667019905895408,0.0104270154237381
120,0.00926897789108801,0.00554953441601999
126,0.00218816399542818,0.000494742236356865
132,3.93269797657856E-05,7.05629617267757E-07
138,3.95517957814336E-05,0.000498773519566912
144,0.00220975561764511,0.00560705814698918
150,0.00933864484469281,0.0104181385349486
156,0.00658291242006182,0.000809763589257275
162,0.00260159221489256,0.00355667725126498
168,0.022533656347659,0.0359212533004434
174,0.0479434818141123,0.878650703897027
180,1.73698883323905,1.72210462585494
186,0.868112532662717,0.046145791917634
192,0.0360814580380051,0.0227998889181597
198,0.00432185364807432,0.00274267620757322
204,0.000619669833411318,0.00691423753192441
210,0.0109891488961409,0.00965015111000391
216,0.00565503233164589,0.00217338729734359
222,0.000471652249420643,3.29387023658038E-05
228,7.71530881008407E-07,3.89784253035792E-05
234,0.000507447143210567,0.00224427565683844
240,0.00566186770205516,0.00940161529106708
246,0.0105512432663972,0.00678799625520164
252,0.000822359574432591,0.0025292328689983
258,0.00367744971653571,0.0222011490246004
264,0.035601270164559,0.048673953538482
270,0.880288483455937,1.74014602172975
276,0.880440107333346,0.0488531834441463
282,0.0357135845150659,0.022274283754654
288,0.00357214718404373,0.00252434723096264
294,0.000813520470129994,0.00674911025228634
300,0.0105662931420821,0.00940222353755052
306,0.00562725539922829,0.00221645633440599
312,0.000500859778709003,4.00316907182325E-05
318,7.89621348840479E-07,4.0496584589324E-05
324,0.000504110577201871,0.00223265429279032
330,0.00571021685975704,0.00970646838749024
336,0.0112404072824828,0.00752085747897234
342,0.000993151676051757,0.00219514431255673
348,0.00380579285994157,0.0232912563952261
354,0.0364094242796942,0.0459032304734294
360,1.73698874852409,0.87708049555702
