"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='90deg'"
0,4.53190743377274E-07,6.23080564198729E-07,1.73698829533335,0.877079872476456
6,8.24059476249162E-07,3.69253610294935E-07,0.0475794538351156,0.0360338368364833
12,3.82093551537378E-08,1.26459775593891E-08,0.0227552526229938,0.00361460416139426
18,1.56823269200336E-07,3.25204255881879E-07,0.0025196165434283,0.000803063180269546
24,2.2370608344314E-07,1.26388409354939E-07,0.0066421361046336,0.01048348909632
30,1.48840385294296E-07,1.60714961400776E-07,0.00937092329694284,0.00560961008507787
36,1.1865044569047E-07,6.15694349601064E-08,0.00220417698614775,0.000495683138435433
42,2.24506351574771E-08,8.52585899210256E-09,3.91364439383229E-05,8.94312710476556E-07
48,1.62376897756757E-08,3.71887575770802E-08,4.03280437263899E-05,0.000498689660447824
54,6.18445545457335E-08,8.28168893328096E-08,0.00219413226746156,0.00555203395010957
60,9.56470687772938E-08,1.16809074447257E-07,0.00927896188443297,0.0104941942790679
66,1.35851786106199E-07,5.57360417706892E-08,0.0067908780553119,0.000813567918625056
72,1.25366260741408E-08,1.46294243750015E-07,0.00250038941376847,0.003606610176328
78,7.87664956829877E-08,2.10403851494038E-08,0.0220285444422586,0.0357785436776902
84,9.49185264051559E-08,1.75903390425933E-07,0.0483416938655355,0.879709333292881
90,1.75025872076463E-08,1.3219356935364E-07,1.74007562741771,0.87894358436974
96,3.06194139583421E-07,1.43969108189366E-07,0.0483100694882815,0.0356609495419314
102,3.03787208834584E-08,7.47223999025411E-10,0.0220759615237684,0.00369245931429347
108,4.22833722441493E-08,7.39362548225359E-08,0.00254809286991162,0.000773749641216306
114,4.32988741844393E-08,2.9333116902058E-08,0.0066701557600799,0.0104269860906212
120,5.22824140810219E-08,7.72753940490425E-08,0.00926892560867393,0.00554945714062594
126,6.22204037051997E-08,2.6962488612949E-08,0.00218810177502447,0.000494715273868252
132,1.31235097733643E-08,3.20145604042862E-08,3.93138562560122E-05,6.73615056863471E-07
138,7.17064836915231E-08,1.22542808067634E-07,3.94800892977421E-05,0.000498650976758844
144,1.90803797821126E-07,3.10830817045095E-07,0.00220956481384729,0.00560674731617214
150,5.65435151521884E-07,1.09785193565529E-06,0.00933807940954128,0.0104170406830129
156,2.08295674350632E-06,3.50924345682332E-06,0.00658082946331831,0.000806254345800452
162,4.74990641087452E-06,5.14335695891874E-06,0.00259684230848169,0.00355153389430607
168,4.41871052106759E-06,2.63361729199617E-06,0.022529237637138,0.0359186196831514
174,1.25190884403457E-06,8.10611083563814E-07,0.0479422299052683,0.878649893285943
180,4.53412177672513E-07,4.83777071745492E-07,1.73698837982688,1.72210414207787
186,1.84881318922113E-07,9.27743674285093E-08,0.868112347781398,0.0461456991432665
192,1.98421660855541E-08,9.38784471780188E-08,0.036081438195839,0.0227997950397125
198,7.28425155762992E-08,2.68515347478587E-08,0.00432178080555875,0.00274264935603848
204,1.56394013171287E-07,2.33192526619042E-07,0.000619513439398146,0.00691400433939779
210,1.42134578150007E-07,3.33540825278935E-08,0.0109890067615627,0.00965011775592138
216,4.85953778752146E-10,3.6401013322358E-09,0.00565503184569211,0.00217338365724226
222,5.7642099365647E-09,4.3772063121274E-09,0.000471646485210706,3.29343251594916E-05
228,4.16044226197672E-09,6.45588452341109E-09,7.6737043874643E-07,3.89719694190558E-05
234,8.63968315544239E-09,5.24536611639058E-09,0.000507438503527411,0.00224427041147233
240,1.79864801961997E-10,9.51219842104698E-09,0.00566186752219036,0.00940160577886866
246,2.2028487106741E-08,9.91702414728161E-09,0.01055122123791,0.00678798633817749
252,7.55563105540572E-09,1.31050596499324E-09,0.000822352018801535,0.00252923155849234
258,5.82555445442736E-08,2.44136226783509E-07,0.00367739146099117,0.0222009048883736
264,1.91307642429801E-07,9.67937922426503E-08,0.0356010788569166,0.0486738567446898
270,6.9064195327131E-08,3.62208350698426E-09,0.880288414391741,1.74014601810767
276,1.75625459113508E-07,1.67755385664811E-07,0.880439931707887,0.0488530156887607
282,4.77734180798279E-09,1.30352267858546E-08,0.0357135797377241,0.0222742707194272
288,4.63505950343166E-09,1.53710060264794E-09,0.00357214254898423,0.00252434569386204
294,2.64475276732859E-08,1.31161763618257E-07,0.00081349402260232,0.00674897909052272
300,1.41646583141002E-07,5.37454565133187E-08,0.0105661514954989,0.00940216979209401
306,5.29456168805593E-09,1.03070771814485E-08,0.00562725010466661,0.0022164460273288
312,2.07130948492232E-08,1.99598206949793E-08,0.000500839065614154,4.00117308975375E-05
318,1.95309116485608E-08,3.31664853896581E-08,7.70090437191918E-07,4.04634181039344E-05
324,6.18928796439851E-08,8.65985400729624E-08,0.000504048684322227,0.00223256769425025
330,7.52921293377699E-08,2.60958668139841E-08,0.0057101415676277,0.00970644229162342
336,6.41191343909545E-10,2.575893426967E-08,0.0112404066412915,0.00752083172003807
342,2.66960787134676E-08,2.13359212420698E-08,0.000993124979973043,0.00219512297663549
348,8.76007177037215E-08,2.36451164748247E-07,0.00380570525922387,0.0232910199440614
354,5.55673752963226E-07,1.10023254642034E-06,0.0364088686059412,0.0459021302408829
360,4.53190743377274E-07,6.23080564198729E-07,1.73698829533335,0.877079872476456
