"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'"
0,1.72068630923584,0.871969604873619
6,0.0569563777768891,0.0375591697437542
12,0.0144257657964815,0.00277061077399717
18,0.00771446693112966,0.00308832754851217
24,0.00352220713764828,0.00231652646815885
30,0.000390468419216271,0.000600138326487119
36,0.00204464833148564,0.00330030242709123
42,0.00394840947549888,0.00412705823780829
48,0.00394703134971068,0.00330105393060865
54,0.00205317807097557,0.000611453434898057
60,0.000379736447033119,0.00225494103700456
66,0.00341547904026806,0.00309385404384195
72,0.00833943867598237,0.00356690050335095
78,0.0128491757109916,0.0340932842648017
84,0.05703399770722,0.882093157825131
90,1.73612847102571,0.882878438438616
96,0.0571127137947404,0.0338588936648998
102,0.0128161352805015,0.00356815136759633
108,0.00836067618285099,0.00309603120926527
114,0.00343242228309658,0.00228162854959462
120,0.000393229657612073,0.000612493757840435
126,0.00204689873180357,0.0032912504064573
132,0.00393599549566591,0.00411471738395724
138,0.00393893868071263,0.00330307344894597
144,0.00207383767200623,0.000649070248704517
150,0.00036988388626937,0.00206893925754603
156,0.00317680119649311,0.00346583484494289
162,0.00928048557209968,0.00361726803816146
168,0.0123829572168172,0.0357323268316254
174,0.0605012875418155,0.877835343681852
180,1.72068635926702,1.73486406044823
186,0.883762603386127,0.0592953231038323
192,0.0347534684580347,0.0129111055461084
198,0.00340060788302851,0.00828741072919448
204,0.00308974474150879,0.00341600900702694
210,0.00227982665046868,0.000388577761502806
216,0.000602175880857912,0.00204910740170181
222,0.00330936453378499,0.00396079184751978
228,0.00413833377119427,0.00395818471065518
234,0.00330480351570533,0.0020492297629324
240,0.000604734610051766,0.000385713454841984
246,0.00227013259456294,0.0034029001392724
252,0.00309765379514128,0.00836616870382749
258,0.00352879412295975,0.0129122659810006
264,0.0339090453302252,0.0572657954557357
270,0.882716365472097,1.73601498654088
276,0.883098977370402,0.057209302653015
282,0.0339309910276616,0.0129080185238012
288,0.00352962880235513,0.00833725020943176
294,0.00307983882588384,0.00341171120061104
300,0.00227044067545163,0.000391123704951794
306,0.000614695669542218,0.0020506703996154
312,0.00329730440402245,0.00394341473861239
318,0.0041239647463771,0.00394338674455469
324,0.00329222901898044,0.00203699162397769
330,0.000604410667404095,0.000400754721544694
336,0.00227449116162841,0.00339650765252829
342,0.00308909215270659,0.00825988591352583
348,0.00338866176726292,0.012868094437656
354,0.034615038722669,0.0594500273793721
360,1.72068630923582,0.871969604873602
