"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'"
0,1.72068587452178,0.871968831872767,4.34714056900229E-07,7.73000851848358E-07
6,0.0569555982973767,0.0375588605386457,7.79479512377379E-07,3.09205108503493E-07
12,0.0144257324661533,0.0027705800901312,3.33303281854671E-08,3.06838659715661E-08
18,0.00771437099472795,0.00308800686479127,9.59364017107684E-08,3.20683720897736E-07
24,0.00352167680036414,0.00231596969288601,5.30337284140299E-07,5.56775272841311E-07
30,0.00039001917391462,0.000599834888979039,4.49245301651324E-07,3.03437508080404E-07
36,0.00204447312336515,0.00330021702285774,1.75208120485337E-07,8.54042334939361E-08
42,0.00394837766990184,0.00412705194183166,3.18055970426289E-08,6.29597663324687E-09
48,0.00394703027678799,0.0033010459592446,1.07292268888912E-09,7.97136404810706E-09
54,0.00205316137527745,0.000611436012211626,1.66956981184684E-08,1.74226864303666E-08
60,0.000379727387143675,0.00225493752803147,9.05988944409676E-09,3.5089730962914E-09
66,0.00341547056976662,0.00309383953595445,8.47050143773974E-09,1.45078874955898E-08
72,0.00833941946613595,0.00356687640464847,1.92098464221862E-08,2.40987024755898E-08
78,0.0128491601723907,0.0340932828572981,1.55386008766997E-08,1.40750363751182E-09
84,0.0570339833079171,0.882093100560749,1.43993029627413E-08,5.72643819900809E-08
90,1.73612845378755,0.882878396787655,1.72381586053201E-08,4.1650961642579E-08
96,0.0571125323457242,0.0338587660965524,1.81449016121967E-07,1.27568347335197E-07
102,0.0128161254000558,0.00356813960281452,9.8804457828978E-09,1.17647818103163E-08
108,0.00836065307779672,0.00309601825703469,2.31050542700768E-08,1.29522305747809E-08
114,0.00343241137017861,0.00228161596635397,1.09129179768073E-08,1.25832406456691E-08
120,0.000393212118210894,0.000612475992449163,1.75394011788268E-08,1.77653912717077E-08
126,0.00204688806780184,0.00329124268331381,1.06640017315994E-08,7.72314348867298E-09
132,0.00393597936175089,0.00411468142508151,1.6133915022127E-08,3.59588757340151E-08
138,0.0039388666321053,0.00330293359213079,7.20486073305829E-08,1.39856815182104E-07
144,0.00207357348678139,0.00064859640379915,2.64185224833381E-07,4.73844905366548E-07
150,0.000369101694727127,0.00206773190984805,7.82191542242778E-07,1.2073476979825E-06
156,0.00317497874471771,0.00346303547532959,1.82245177540067E-06,2.79936961329561E-06
162,0.00927641777052995,0.00361243954164897,4.067801569728E-06,4.82849651248342E-06
168,0.0123787910112302,0.0357297594252661,4.16620558702274E-06,2.56740635925752E-06
174,0.0605000894592304,0.877834880155619,1.1980825851573E-06,4.63526232937406E-07
180,1.72068592455811,1.73486361513834,4.34708913907473E-07,4.45309888730623E-07
186,0.883762346034438,0.059295238815813,2.57351688949766E-07,8.4288019257292E-08
192,0.0347534541883161,0.0129110647131888,1.42697185637687E-08,4.08329196370337E-08
198,0.00340050345213011,0.00828732907357941,1.04430898400555E-07,8.16556150724636E-08
204,0.00308969151084283,0.00341595326327469,5.32306659541466E-08,5.57437522520635E-08
210,0.00227976140889867,0.000388486831886603,6.52415700060135E-08,9.09296162029818E-08
216,0.000602076548102878,0.00204903640047932,9.93327550338448E-08,7.10012224918304E-08
222,0.00330933444207788,0.00396078627159128,3.00917071040093E-08,5.57592849996729E-09
228,0.00413832949348854,0.00395816897992718,4.27770573327143E-09,1.57307280040688E-08
234,0.00330477830605604,0.00204920697986038,2.52096492951914E-08,2.27830720153308E-08
240,0.000604718969497529,0.000385689937458683,1.56405542367114E-08,2.35173833007694E-08
246,0.00227008286566685,0.00340284248382603,4.97288960898763E-08,5.76554463789414E-08
252,0.00309763044671564,0.00836616848713165,2.33484256483527E-08,2.16695836849549E-10
258,0.00352874259875284,0.0129120425429685,5.15242069132007E-08,2.23438032179713E-07
264,0.0339087914078223,0.0572657644686969,2.53922402893265E-07,3.09870388344111E-08
270,0.882716296011133,1.73601494947919,6.94609631416168E-08,3.70616966801149E-08
276,0.883098852771165,0.0572090724946629,1.24599236949695E-07,2.30158352118235E-07
282,0.0339309424484891,0.012908010658415,4.85791724314483E-08,7.86538613143095E-09
288,0.00352960569256023,0.00833724397058673,2.3109794902153E-08,6.2388450307524E-09
294,0.00307983753394061,0.00341170662240529,1.29194323849884E-09,4.5782057447808E-09
300,0.00227040669466772,0.000391062834158723,3.39807839030578E-08,6.08707930716119E-08
306,0.000614640730869886,0.00205064036887045,5.49386723317266E-08,3.00307449578391E-08
312,0.00329729429320828,0.00394341223924773,1.0110814178255E-08,2.49936465477298E-09
318,0.00412395785165836,0.00394336349836424,6.89471874054804E-09,2.32461904490203E-08
324,0.00329217485283753,0.00203689380468748,5.41661429043323E-08,9.78192902126728E-08
330,0.000604277319616993,0.000400633246538363,1.33347787101369E-07,1.21475006330979E-07
336,0.00227444016905392,0.00339650747663651,5.09925744894872E-08,1.75891777917778E-10
342,0.0030890307782668,0.00825970515808631,6.13744397916921E-08,1.80755439520082E-07
348,0.00338846428538857,0.01286794900445,1.97481874348749E-07,1.45433205976708E-07
354,0.0346146738567272,0.0594492572953737,3.64865941759679E-07,7.70083998345109E-07
360,1.72068587452176,0.87196883187275,4.34714056900231E-07,7.73000851848353E-07
