"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'"
0,1.7353932021339,0.882428205170073
6,0.0578493592209066,0.0350786058726327
12,0.0130639398154803,0.00344137023370693
18,0.00839134169274045,0.00305421740664955
24,0.00341533913479161,0.00230424922985673
30,0.000393977132787254,0.000629752147369672
36,0.00210870051395082,0.00337964860440314
42,0.00402998287755854,0.0042112071703555
48,0.00403549098374256,0.00338563753742972
54,0.00211105191366616,0.000635344466289066
60,0.00041271092144027,0.00231443873357993
66,0.00341437331524097,0.00303266092508028
72,0.00830303851156179,0.0035448795896152
78,0.0128421314196462,0.0342129100309004
84,0.0573070513236025,0.886228083143011
90,1.74524440438679,0.887126533601153
96,0.057164469697053,0.034158126962201
102,0.0128404535559919,0.00364256671996771
108,0.00836241480870869,0.00296546088581415
114,0.00339795442033893,0.00228939293383644
120,0.00036406958637003,0.000622463401790695
126,0.00214565664234144,0.00344946394221376
132,0.00411323232567113,0.00429551083172376
138,0.00411707136836993,0.00345906578429075
144,0.00216288169075068,0.000639486968645484
150,0.000353411189355611,0.00224011620593948
156,0.00339618310640101,0.00311937718004019
162,0.00848202293124206,0.00350604815276638
168,0.0129038078064414,0.0348377900230103
174,0.058026501153387,0.882381179965208
180,1.73539320232465,1.73751532783371
186,0.883018640941588,0.0579044712365569
192,0.0343645845554026,0.0128036089188458
198,0.00353600875098294,0.0083736592861111
204,0.00302817848664634,0.00347666635238074
210,0.00239486222012013,0.000400789163318863
216,0.000583130234016578,0.00208884933265105
222,0.00340770035818851,0.00408627335492512
228,0.00427416133638787,0.00408984742740732
234,0.00341786300097976,0.00210408003427604
240,0.000593444469228799,0.000405795775726926
246,0.00242158276728576,0.00350630241939679
252,0.00302439280904258,0.00851242581545096
258,0.00367917985473178,0.0128391086389579
264,0.0342876812420385,0.0571550861033664
270,0.887310306494393,1.74556574041887
276,0.886301649879727,0.0570459770484806
282,0.0341925263362913,0.0127817149013764
288,0.00364135437901704,0.0084229421515406
294,0.00306331520428987,0.0034849863250314
300,0.00236384568515342,0.000415751872436186
306,0.000613620390199299,0.00206990229105149
312,0.00333058650897426,0.00397481030426428
318,0.00415119947045951,0.00397382801720302
324,0.00332864311343045,0.00206682757080074
330,0.000609812636920458,0.000407193779578401
336,0.00233074896122462,0.0034129453775287
342,0.00298468131162704,0.00834869150665988
348,0.00359459706729999,0.0127432130901596
354,0.0343439541955402,0.0581041593194536
360,1.73539320213387,0.882428205170056
