"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'"
0,1.72584800473561,0.874193265112179
6,0.0574267715315149,0.0381171643779161
12,0.0142934205499788,0.00275535459802587
18,0.00799707416510607,0.00332955663623622
24,0.00371907749995001,0.00241924712768602
30,0.000378606336684048,0.00058738226649968
36,0.00210000743121616,0.00340567599746754
42,0.0040683571654729,0.0042444900311695
48,0.00405886538735779,0.00340079691972139
54,0.00212027382041181,0.000630161529607166
60,0.000380102374569588,0.00228153326150469
66,0.00340497007811554,0.00305873198418005
72,0.00845841038933611,0.00363237070972851
78,0.0128216275758991,0.0340470519071889
84,0.0574302010566665,0.885649865217762
90,1.74232780796314,0.886184818794942
96,0.0574601834558378,0.0340034156757206
102,0.0128065463906346,0.00360420762312725
108,0.00837009267458844,0.00307079298528214
114,0.00341219555074673,0.0022187257131584
120,0.000356385418585652,0.000669568560080612
126,0.00217399599186547,0.00343799426121499
132,0.00407701668178532,0.00425309647770743
138,0.004084901871174,0.00345638005244507
144,0.00220378456790448,0.00070062333735863
150,0.000332082828374569,0.00203760736762348
156,0.00321956900184275,0.00346762376476168
162,0.00923159094741333,0.0036435732037388
168,0.0123866778223451,0.0358592423178771
174,0.0607071853792984,0.880366725030397
180,1.72584783579093,1.73889095164858
186,0.885379371531448,0.059117346204408
192,0.0349729533083272,0.0128196868844091
198,0.00352747610463185,0.00840008400635596
204,0.00310710596958592,0.00342383757161996
210,0.0022433830908939,0.000387956376045111
216,0.000688467257636992,0.00218661637475144
222,0.00345666346637618,0.00410346623021775
228,0.00428241590189993,0.00410995224081904
234,0.00346889376224892,0.00220019157130364
240,0.00069392345347508,0.000379589206271593
246,0.0022284470453756,0.00342777233432739
252,0.0031188791781058,0.00837193778017579
258,0.0036214947683138,0.012723847033114
264,0.0339886913363255,0.0572014133742278
270,0.884801520566621,1.74212795285879
276,0.885949522268845,0.0573066596690485
282,0.0341357454669895,0.0128823676135773
288,0.00359385340033638,0.00840790054901454
294,0.00308795631614368,0.00346124832384897
300,0.00227062370818797,0.00035242312252299
306,0.000667066337149075,0.00221964076141076
312,0.00352056373587198,0.00417325081544897
318,0.00435129312328339,0.00417349109881809
324,0.00351625292861272,0.00221312055416588
330,0.000663664739983762,0.000349304836245254
336,0.00224475507784585,0.00340938062635214
342,0.00301510359913444,0.00831043644855204
348,0.0035022192826678,0.0126472955142595
354,0.0346475688573123,0.0591879945271717
360,1.72584800473559,0.874193265112162
