"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'"
0,1.72584664194586,0.874190659040523,1.36278975083781E-06,2.60607165642431E-06
6,0.0574244704352019,0.0381160481405578,2.30109631300593E-06,1.11623735831043E-06
12,0.0142924097977172,0.00275411984537732,1.01075226153115E-06,1.23475264855196E-06
18,0.0079955567817525,0.00332777180924712,1.51738335357074E-06,1.78482698910048E-06
24,0.00371742168398148,0.00241794397036814,1.65581596852751E-06,1.30315731788776E-06
30,0.000377642048706035,0.000586715404796343,9.64287978012907E-07,6.66861703337482E-07
36,0.00209959492458586,0.00340544772827722,4.12506630296879E-07,2.28269190323986E-07
42,0.0040682351763503,0.00424441623736104,1.21989122592884E-07,7.37938084572444E-08
48,0.00405881050919594,0.00340075272905265,5.48781618482633E-08,4.41906687434167E-08
54,0.00212024008888943,0.000630138804383874,3.373152238177E-08,2.27252232916456E-08
60,0.000380090272608757,0.00228152998029738,1.21019608312225E-08,3.2812073064068E-09
66,0.00340496981036392,0.00305872832077084,2.67751622321439E-10,3.6634092134559E-09
72,0.0084583962831145,0.00363228040081138,1.41062216145992E-08,9.0308917129721E-08
78,0.0128214650547686,0.034047009222968,1.62521130460794E-07,4.26842209367779E-08
84,0.057430136823534,0.885649597044196,6.42331325063193E-08,2.68173566895967E-07
90,1.74232772144445,0.886184699203131,8.65186902293771E-08,1.19591810817429E-07
96,0.0574599740964767,0.0340033874848222,2.0935936104025E-07,2.81908984124956E-08
102,0.0128065141709539,0.00360413932015269,3.22196807128086E-08,6.83029745595769E-08
108,0.00837001104956084,0.0030706971317278,8.16250276027344E-08,9.58535543400585E-08
114,0.00341211371484815,0.00221865508341705,8.18358985845447E-08,7.06297413462131E-08
120,0.000356331558948333,0.000669545315736566,5.38596373190448E-08,2.3244344046504E-08
126,0.0021739923729126,0.00343799001256388,3.61895286451896E-09,4.24865111100762E-09
132,0.00407700065778351,0.00425306343411941,1.60240018148658E-08,3.3043588019347E-08
138,0.00408483898619321,0.00345625208085782,6.2884980791231E-08,1.27971587251065E-07
144,0.00220352351798739,0.000700138016922769,2.61049917097829E-07,4.85320435860699E-07
150,0.00033130884212503,0.00203657068547356,7.7398624953853E-07,1.03668214992223E-06
156,0.00321834105047185,0.00346604768071566,1.22795137089342E-06,1.57608404602216E-06
162,0.0092291577813613,0.00364023492605658,2.43316605202674E-06,3.33827768222796E-06
168,0.0123836264887652,0.0358573075899649,3.05133357989353E-06,1.93472791225236E-06
174,0.060705834674336,0.880365767830881,1.35070496235535E-06,9.57199516152683E-07
180,1.72584647294539,1.73888977112525,1.36284553512506E-06,1.18052332801791E-06
186,0.885378408909037,0.0591168119774547,9.62622410733864E-07,5.34226953290143E-07
192,0.0349728572502296,0.0128196344443331,9.60580976313423E-08,5.24400759245496E-08
198,0.00352713345377602,0.00839979179866661,3.42650855835335E-07,2.9220768934371E-07
204,0.00310702780141887,0.0034236938874495,7.81681670526637E-08,1.43684170455298E-07
210,0.00224310881819687,0.000387685854430937,2.7427269703502E-07,2.70521614174742E-07
216,0.000688273152293892,0.00218649820182785,1.9410534309996E-07,1.18172923597616E-07
222,0.00345660276240253,0.00410344354217981,6.07039736449537E-08,2.26880379448636E-08
228,0.00428241102719633,0.00410994487045216,4.87470360450428E-09,7.37036687426812E-09
234,0.00346886892566617,0.00220014830410927,2.48365827543977E-08,4.32671943716033E-08
240,0.000693875435286633,0.000379550382809936,4.80181884469953E-08,3.8823461656827E-08
246,0.00222842778052224,0.00342777057314739,1.92648533557621E-08,1.761179999773E-09
252,0.00311885092838503,0.00837189435020038,2.82497207767308E-08,4.34299754094873E-08
258,0.00362140157901885,0.0127235076819244,9.31892949541321E-08,3.39351189573406E-07
264,0.0339884158597222,0.0572013902748586,2.7547660332242E-07,2.30993691823125E-08
270,0.8848013396652,1.74212785150403,1.80901421135201E-07,1.01354761250132E-07
276,0.885949435468893,0.0573064776498716,8.67999521929656E-08,1.82019176909072E-07
282,0.034135715798066,0.012882286610755,2.96689234927158E-08,8.10028223538411E-08
288,0.0035937623385529,0.00840788145835477,9.10617834762629E-08,1.90906597701407E-08
294,0.00308794983756328,0.00346124213425394,6.47858040842822E-09,6.18959503927005E-09
300,0.00227058040464746,0.000352313588842778,4.33035405154626E-08,1.09533680211752E-07
306,0.000666919190530413,0.00221950222540255,1.47146618661683E-07,1.38536008207365E-07
312,0.00352045996568143,0.00417318260926019,1.03770190554852E-07,6.82061887789216E-08
318,0.0043512418551982,0.00417341703119869,5.12680851909809E-08,7.40676194040853E-08
324,0.00351609389288183,0.0022128207922922,1.59035730883046E-07,2.9976187367883E-07
330,0.000663257078083131,0.000348948593012212,4.07661900630775E-07,3.56243233042418E-07
336,0.00224458482755856,0.00340931494209125,1.7025028728915E-07,6.568426089071E-08
342,0.00301492646845066,0.00831002640172629,1.7713068377126E-07,4.10046825744131E-07
348,0.00350170963789252,0.012647031693365,5.09644775279467E-07,2.6382089446915E-07
354,0.0346473566913179,0.0591869014281067,2.12165994368144E-07,1.0930990650692E-06
360,1.72584664194584,0.874190659040506,1.36278975083782E-06,2.60607165642428E-06
