"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='9.675GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='9.675GHz' IWavePhi='90deg'"
0,12.7219691311426,0.100693566609632,2.46760251775321E-05,1.50734768894134E-05
6,0.0592002227640603,0.00643529121666592,4.44530195608037E-06,6.83516229328984E-06
12,0.00135905829762587,0.00329057044986487,1.87399686371052E-05,5.31735610364389E-05
18,0.00270703118760853,0.00190291418130985,4.74680766095746E-06,6.24105531181642E-06
24,0.00117086385173094,0.000738473009815483,5.5288724915405E-06,4.61822349450592E-06
30,0.000415751488263842,0.000846821468596197,8.12188383026176E-06,1.99063575304873E-05
36,0.000452844131046461,0.000740587057822643,1.87920586200981E-05,9.39488939739615E-06
42,0.000914203121287232,0.000881966359023338,3.43415675595535E-06,9.47594913873204E-07
48,0.0009186034022189,0.000774511850289145,7.72625347334099E-08,2.01327829897037E-07
54,0.000517334212518051,0.000874117541801368,4.26382883627394E-07,3.09061809660608E-08
60,0.000401645995648594,0.000815663660264894,2.91002101553318E-07,6.00661568803819E-08
66,0.00105525568801989,0.00198416858999778,1.92063808401468E-08,1.23489440360697E-08
72,0.00318534511625885,0.00224821382044327,1.47084023722072E-07,6.75808060687192E-07
78,0.00117645458451479,0.00694342468572517,3.63815135688236E-07,1.07823266568725E-06
84,0.0535928792209528,0.0816621243404438,9.12697113622492E-09,1.09336705645683E-08
90,12.9334385669387,0.0823214099731161,2.11195915628403E-07,3.86057619693327E-07
96,0.0536138399889877,0.00696817628216928,2.40175878774614E-07,7.39919181320707E-07
102,0.00118352206861953,0.00266789740241548,3.49303002687514E-07,1.12224550749502E-07
108,0.00278741751439749,0.00191849976312545,1.24798264282313E-07,7.11774096108823E-08
114,0.00103822273097974,0.000729685668982438,2.26036234339673E-07,8.84795526663218E-08
120,0.000435573236794108,0.000785075711849049,9.19797763133979E-08,2.10395021567658E-07
126,0.000575514048775149,0.00075982608875485,6.71387662670364E-07,4.66374283270362E-07
132,0.00083629654280513,0.000794944942978592,2.24467469718364E-07,9.61828822573336E-07
138,0.000862708417157103,0.000792579828320533,3.55383342841148E-06,9.63669374973005E-06
144,0.000496677549141868,0.000787823420361002,1.88535835439731E-05,1.94775611998164E-05
150,0.000459325152576335,0.000609862029509802,6.34704753576643E-06,1.33571758995154E-06
156,0.00148669877192779,0.0014676501852434,1.94505450814271E-06,1.20770959342042E-05
162,0.00409976854163096,0.00249094592664812,1.38385136607299E-05,2.57370802200445E-05
168,0.00141609063633667,0.00608621873007023,9.41350209945899E-06,1.70021116427976E-06
174,0.0620750932996534,0.101341471235542,9.75233113190706E-07,1.66643359136393E-05
180,12.7219806637454,12.8126548994626,2.46778902881079E-05,2.25426781464393E-05
186,0.0945049315506526,0.0586143332728251,1.28453294826803E-05,7.20999649247767E-06
192,0.00817248513256173,0.000421122518063435,1.16237377961339E-05,2.37293857739872E-05
198,0.00205418634380098,0.00363475970469936,5.17035069078522E-05,3.87856809255981E-05
204,0.00210211559205749,0.000999819256262631,2.6735582978241E-06,5.96859293506045E-06
210,0.00080412313959891,0.000506339478117977,1.3450790931906E-05,2.74063695800698E-05
216,0.000881352205253854,0.000405187265873671,3.47650892399903E-05,2.02437721552726E-05
222,0.000660219058681681,0.000824897231631155,6.39941746225254E-06,1.40370739997794E-06
228,0.000787875554139522,0.000805783358114854,4.13021284518863E-07,3.6558112846554E-07
234,0.000621511678917073,0.000462230878014297,6.19019692374253E-07,7.67646730899956E-07
240,0.000987028625780944,0.000345808885021359,2.19707850548879E-07,1.56888391995558E-08
246,0.000855449164426072,0.00101837571203172,1.15363605175042E-08,1.96181353948587E-08
252,0.00193924720242512,0.00292066662366812,2.91624089936666E-07,8.38280386570602E-07
258,0.00256439902640333,0.00102926885474468,2.63458001287333E-07,4.31918308300097E-07
264,0.00736204480352032,0.0527549679329059,1.29575565862807E-06,1.84161552617092E-08
270,0.0821072376507225,12.9241931624107,6.38816936153996E-08,4.85460439915404E-08
276,0.0820354819783898,0.0523390382276533,4.7765615004039E-07,2.8518561095112E-07
282,0.00720764559831828,0.0010665226597059,6.01502772155757E-08,7.03684764399833E-07
288,0.00255010072062065,0.00287968109916221,4.64230370962706E-08,1.92243600359265E-07
294,0.00192085112243299,0.00108816847675387,1.93296463818947E-08,5.52634080021802E-08
300,0.000802879484256532,0.000354100338698759,1.95249659282139E-07,4.06609119668706E-07
306,0.000879738568186102,0.000498324272689039,4.72739147583192E-07,1.23121147244806E-07
312,0.000774368159260539,0.000911988193833521,6.44357295123409E-08,1.45590479374313E-08
318,0.000877403295867983,0.000934367825210026,4.31569578275127E-08,6.50930688040648E-07
324,0.000778027007223647,0.000441768184833478,3.42767599855851E-06,1.11546777641267E-05
330,0.000886278118943864,0.000447478649673459,2.01523843548083E-05,1.5359792256241E-05
336,0.000774576011284348,0.0010246548047891,5.56620933235734E-06,2.46508343054883E-05
342,0.00169420376510168,0.00401540035586912,4.18617090175063E-05,8.54977443400573E-06
348,0.0015731015882796,0.000459306884284338,3.93573551171398E-05,2.7733696138369E-05
354,0.00805158794005383,0.0597309783001298,1.58416783887997E-05,9.63017424315513E-06
360,12.7219691311426,0.100693566609632,2.46760251775321E-05,1.50734768894134E-05
