"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='9.675GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='9.675GHz' IWavePhi='90deg'"
0,12.8716479118337,0.0885494951673604,6.52240915005982E-06,2.03281684124296E-06
6,0.0536058745605025,0.00718344395128693,4.37384047539838E-06,8.52204412168436E-07
12,0.000853021193992185,0.00247592206668449,5.36551007542419E-07,1.48512095022208E-06
18,0.00261291168647753,0.00165217939096165,4.29608528183597E-07,2.52073956064078E-07
24,0.000915640496681348,0.000800368055916659,3.79142630183068E-09,5.54993722597888E-07
30,0.00050780471423069,0.000557069913309666,2.13575322952316E-06,2.56372369591337E-06
36,0.00065950425023871,0.000794499042227152,1.75767882714473E-06,7.64436243395016E-07
42,0.000662383467749096,0.000578265710134335,2.36412702845781E-07,8.85635945231263E-08
48,0.000659756661240314,0.000797434137886904,9.39697564443125E-08,1.48934148923449E-07
54,0.000678433596403289,0.000572336190798031,2.09436011096671E-07,2.88334015948113E-07
60,0.000400834254656608,0.000776658579960596,6.68195768086521E-07,8.73069848771965E-07
66,0.000978947568544506,0.00180242161051438,1.06489752265025E-07,6.32956027275934E-07
72,0.00291763091448216,0.00271404308612845,3.67564580964174E-07,6.07946329045826E-08
78,0.00126308257284291,0.00685266776263867,1.16927394650322E-06,4.63956860124697E-07
84,0.0541486930815066,0.0818938411294394,7.43566429633804E-07,4.57684694708594E-07
90,13.0105632535006,0.0826953642229706,2.93357609362923E-07,9.06659726074587E-07
96,0.0536879824170254,0.00694709496327859,3.98854098688695E-07,9.02779041564353E-09
102,0.00113496807477097,0.00249098993476254,4.37658167696203E-07,6.72940556453235E-07
108,0.00273493894559417,0.00191374683311204,4.0341783570678E-07,8.58981625550521E-08
114,0.000843361710163269,0.000849728792626739,3.29134681174169E-08,1.49066237541643E-07
120,0.000523682876616678,0.000628927560349288,4.53743565165176E-07,1.59888450656882E-07
126,0.000667585914987688,0.000869042623712996,2.85958739800443E-08,4.3675294671834E-08
132,0.000783204214267156,0.000707182006720297,1.85396066347698E-08,1.44601145148181E-08
138,0.00079697413923353,0.000866277962338211,4.14837599095212E-08,1.6625911770763E-07
144,0.000586074171918843,0.00058787710583772,8.99191638335779E-07,1.56709924572754E-06
150,0.00058326527320775,0.000723578071168545,4.05184387384012E-07,5.52252766668609E-07
156,0.00103889986761335,0.00177511419994562,8.72728907236899E-07,5.89852732025829E-06
162,0.00276608219881111,0.00241891722529843,4.04821216072335E-06,5.04672130669565E-07
168,0.000833658057803139,0.00748821760195858,2.25393651814136E-07,1.77097275749159E-07
174,0.0533378903986934,0.0874132605076742,2.01937328267801E-07,2.93986109750027E-06
180,12.8716479607743,12.8740953878995,6.52239382086196E-06,5.00749346398721E-06
186,0.0857266359345126,0.0548930254927735,2.72936218143159E-06,4.98956708879266E-07
192,0.00752659947790796,0.000505876060882944,2.92401428087019E-06,2.15842296096773E-06
198,0.00203430443504736,0.00300094604724436,3.44608065916849E-06,1.08542527956616E-05
204,0.00189273328688971,0.000928079256546706,1.04484595254574E-05,5.52972078641836E-06
210,0.000788675208848131,0.000511764526488299,7.54082119415683E-06,6.19789467117665E-06
216,0.000635656185889177,0.000547568179171358,4.84094355005498E-06,3.2505907223841E-06
222,0.000799437011909617,0.000730743453905887,1.36379439426226E-06,3.2359683360841E-07
228,0.000653171586121004,0.000728559278458271,5.42143537407203E-08,1.80928400775622E-07
234,0.000780393208630653,0.000511352279956553,3.71656148015699E-07,4.26423817610391E-07
240,0.000587867570113523,0.000529690482941035,1.55597344022004E-07,4.64414869021975E-08
246,0.000862393127332391,0.000971000236827747,3.15884913029918E-07,4.63772509164032E-07
252,0.00160280343630853,0.003045516282631,2.38129871193402E-07,1.7871272078675E-07
258,0.00271920429211611,0.00134769400045445,5.01730211393168E-08,1.88097532169316E-07
264,0.00762514917168956,0.052305203869789,2.74881531227285E-07,2.2485556409297E-07
270,0.083574041422571,13.0255167195177,2.01441945539904E-07,8.4636824691774E-08
276,0.0834815263317722,0.055121251728001,5.32329487742208E-07,1.55086330226533E-07
282,0.00801905791362039,0.00122473644194953,1.35047540140104E-07,3.28023271936106E-07
288,0.00253003613280096,0.00308966486875812,9.79645656474705E-08,9.97818913579718E-08
294,0.00178067753364076,0.000994839037184663,1.76386274590008E-08,1.86023464237687E-07
300,0.000766488723976954,0.00047057970477719,1.2527215861523E-07,2.75683906413102E-07
306,0.000700818441642225,0.000601773408549122,8.56421875850719E-08,5.30246488609892E-08
312,0.000708345789214131,0.000609789964787833,2.76530162519705E-08,1.34069361011678E-09
318,0.00053259676833676,0.000610574576217587,3.96616441404784E-08,1.24723914025313E-07
324,0.00071339347307805,0.000577814389612696,1.55784003072436E-07,1.23821531956344E-07
330,0.000617876518114502,0.000525531056635065,4.74519458052149E-08,4.3919651042456E-07
336,0.000847388913544444,0.000971345036590208,1.50754686360656E-06,3.95130544632551E-06
342,0.00157769862402098,0.00320430632328043,7.74613862646871E-06,8.47883385405968E-06
348,0.00182211428686057,0.000692332536100672,5.28943609286624E-06,6.97841027309461E-06
354,0.00697685879568629,0.0522380563608458,1.60327516059808E-06,6.40219827421905E-07
360,12.8716479118335,0.0885494951673593,6.52240915005976E-06,2.03281684124294E-06
