"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.43495577330998,0.013744855352565,2.91005710987565E-06,2.46646301039651E-07
6,1.8334454502538,0.0124132013312504,5.40012965572996E-07,4.75294352247059E-07
12,1.81863731770821,0.0075245024931475,8.12285621456229E-05,0.000337545049391078
18,0.134958529828472,0.00815397517165883,0.00123430098615571,0.00137463123135417
24,0.134191898414726,9.51535402909625E-05,0.00375812761419087,0.000232671521293269
30,0.0753084540478194,0.000143433857707495,0.00299420214178822,0.000239827540343848
36,0.0378333367897651,0.00693519395146755,0.00431108812843962,0.00235613888075223
42,0.0249461443488444,0.00556366368557371,0.00052576401438827,0.00335110715931708
48,0.00362404516396222,0.000893150106103921,0.000874367044270926,0.000337221648610622
54,0.000954028869940176,0.000406516332011858,0.000459298230160747,4.76119967360796E-05
60,0.00577476305881643,0.000163582233659639,0.00118118721999457,0.00205650142678658
66,0.000699689633361854,5.71156573392908E-05,0.000738480553787385,0.00104240060738426
72,0.000961638367067896,0.00263311640090232,0.000305093969298283,0.000556612749504041
78,0.00147526449596108,0.00349928113603097,0.000536035796580088,0.00060998598304475
84,5.68871950358122E-06,0.0004043729626012,0.000669818583706617,0.00102346688693777
90,0.000430582523099399,1.92283640103982E-05,0.00102206064751721,0.00073824807466053
96,0.00042162035896889,0.00195994585503029,9.50834772199963E-05,8.91096288070561E-05
102,0.000492738611737018,0.00634932612240669,0.000337095827068227,0.000419389343425296
108,0.00119788827298845,0.00667753425643625,5.77950593696387E-05,0.000969910310356602
114,0.00078733197349765,0.00431395435620935,4.54279923637938E-05,0.000888610849376483
120,5.61655684263628E-05,0.00114307648616162,0.00024050267521565,0.0012391222450029
126,0.000155225487477499,0.00144184059448638,0.00014627723215952,0.00105576056004932
132,0.00319582121853531,0.00176947454842835,0.00236298309654942,0.00202476564961666
138,0.00239050928643908,0.0508058604174668,0.00240375672015822,0.000163768953218242
144,0.00226084086287245,0.0651677838222027,0.00128716200787981,0.000427119676711739
150,0.00402618454067609,0.0206269770995261,0.000767107451812971,0.00404965991996683
156,0.00395429886995749,0.0360871084321666,0.00115127071364934,0.00198570032287155
162,0.00403449096831957,0.96207992178156,0.000278499376381374,0.00222858294209088
168,0.00453441614206259,0.930704421751529,0.000773900490821362,0.000639140193870213
174,0.00429795538758686,3.18618557633328,4.88203958873644E-08,0.000108909031269531
180,0.0190937220896283,3.18027146931981,1.4162042129212E-07,9.69051074482291E-08
186,0.0209739700344762,3.18742855251185,6.66368867148845E-07,0.000179248486370392
192,0.0042968490489823,0.92765824660188,0.000750889495148011,0.00065331899837467
198,0.00489144037085279,0.960655453209435,0.0029903943576895,0.00255467407803752
204,0.0040852189762009,0.0358307549984061,0.00110637060368685,0.0019904656254994
210,0.0049926048627976,0.0206484724308628,0.00236450506662885,0.00445538252900162
216,0.00239401001495125,0.0642816358740101,0.00125109364244846,0.000412175032942683
222,0.000705252370301758,0.0497664203545962,0.00099683389068094,0.000151253050391683
228,0.0031344613939499,0.00210723209878344,0.00241965365545924,0.00204060550490004
234,0.00259597753788889,0.00133822651389104,0.00110132393568844,0.000861625828289603
240,2.11230481315124E-05,0.00145368281067299,0.000226967342922788,0.0012369080608065
246,0.00147741249629563,0.00403948100707297,0.000279057087628481,0.000767624765627695
252,0.000918597966188042,0.00696885715570364,5.00761021537642E-05,0.000976002602967304
258,0.000991554878202826,0.00605935781443684,3.30047512574898E-05,0.000370547565627716
264,0.000428785532262662,0.00206804839869413,0.000135259619627058,0.000119591752729646
270,0.00213002509897636,1.95171262551086E-05,0.000131543849496901,0.00073170571705395
276,4.86990463403477E-06,0.000338838957642777,0.00068251569295094,0.00103597161585727
282,0.00029844654463678,0.00363363346607076,0.000435383288123353,0.000594512630847792
288,0.00111802619530068,0.00231033641284348,0.000307110070427729,0.000533137914858469
294,0.00796792900141221,8.96907677220544E-05,0.000400589907801414,0.000955826153471321
300,0.00573800174604019,0.000213329437019744,0.00106797262231238,0.00202800136917597
306,0.00334675502245261,0.000364166042668071,0.0011817794352822,4.17424162094534E-05
312,0.00354543505925673,0.000815459778857456,0.000741227553302942,0.000341848431810549
318,0.010985879869147,0.00542495469948464,0.0038482529679313,0.00346095038967598
324,0.036937663653528,0.00681198335122346,0.0041405857527972,0.00234525459360233
330,0.13072764087515,0.000131767903107895,0.00569768304993461,0.000329726057737318
336,0.133777609971029,0.000107327192264541,0.0037939637356458,0.00021388764832589
342,1.79462136519673,0.0086383503175145,0.00031882275776396,0.00133947376334142
348,1.82599162741559,0.00798529683123965,0.000101227739737287,0.000333822937931545
354,3.43278572796801,0.0124139437767425,0.000104780297177066,4.76136142957747E-07
360,3.43495577330988,0.0137448553525649,2.9100571098756E-06,2.46646301039648E-07
