"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.41740426830908,0.0135625188001874
6,1.82667533928101,0.012466388793725
12,1.79805400525227,0.00820510110757819
18,0.133906688526551,0.00928217196480565
24,0.12975455675897,0.000360675267931255
30,0.0788928557625781,0.00040544484049303
36,0.0427475705239692,0.00947695039246018
42,0.0253082428592121,0.00976025548897919
48,0.00374246014765225,0.00121906871334497
54,0.00143688652508738,0.000364110321975278
60,0.00762827586787579,0.00220663245071754
66,0.00134173110817582,0.00100424324470493
72,0.00169471229967761,0.00311419217406371
78,0.00198339858390415,0.00321658798053756
84,0.000609275382059553,0.00143092373055656
90,0.0013864179487296,0.000538300608717826
96,0.000591064181854826,0.00218130651266653
102,0.000819385701003953,0.00776575996422775
108,0.00112559095264655,0.00814820438234677
114,0.000799178266549418,0.00588379169545687
120,0.000240650355627827,0.00258996677763127
126,0.000379384413164018,0.00310735763857037
132,0.00532183501421145,0.00381228408513672
138,0.00482847400541804,0.0511470968012013
144,0.0036200654459103,0.064830100903245
150,0.00510599321984852,0.019863711278273
156,0.00498513384358997,0.0380784408816277
162,0.00407067445502416,0.976070858635171
168,0.00543281655728521,0.925537611649413
174,0.00444588073364342,3.15303991983044
180,0.0197627755616344,3.16860976680797
186,0.0208452953014776,3.1618394427054
192,0.00531201269611796,0.926899286082356
198,0.00787375241382204,0.935354166410054
204,0.00524203928016781,0.0377041182201462
210,0.00735225288900287,0.0228067803745347
216,0.00355439419595116,0.0644621091561773
222,0.00178645839093045,0.0500360560417039
228,0.00560552015156814,0.0037500736445685
234,0.00410369808689326,0.00226116800541475
240,0.000292037929358007,0.00257265965598051
246,0.00177310874203339,0.00467439266453105
252,0.00110868726056322,0.00776131379944979
258,0.00115475441019858,0.0065154152994395
264,0.000549351717707448,0.0020583240829126
270,0.0021850862459078,0.000724450028610485
276,0.000703668370576226,0.0014072514918638
282,0.000585132062338159,0.00400362330103999
288,0.00139932894841142,0.00309086674205413
294,0.00850393247736899,0.00110684882873648
300,0.00689255083407389,0.00222622745606306
306,0.0045236007234068,0.000402409113564059
312,0.00424240659715314,0.00116829524167398
318,0.0143973420250407,0.00970817810489545
324,0.0420409900737275,0.00920750655641467
330,0.136894456345424,0.000554550521129969
336,0.134875276500856,0.000344828174681145
342,1.7877037036932,0.00973393236888868
348,1.81843337348173,0.00771720147825257
354,3.41892276166286,0.0124666095896407
360,3.41740426830908,0.0135625188001874
