"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.41736909681967,0.0135607084402554,3.51714894087465E-05,1.81035993200677E-06
6,1.82667533705899,0.0124616803037281,2.2220212979299E-09,4.70848999683502E-06
12,1.79786442862583,0.00788724619221081,0.000189576626435973,0.000317854915367381
18,0.132675630922924,0.00790145747747772,0.00123105760362666,0.00138071448732793
24,0.125652123586947,0.00010175578209685,0.00410243317202328,0.000258919485834405
30,0.0758935347038934,0.000117244014889479,0.00299932105868469,0.000288200825603551
36,0.0385038773377798,0.00710893820735987,0.00424369318618941,0.00236801218510031
42,0.0247941062544439,0.00599990657882728,0.000514136604768214,0.00376034891015192
48,0.0030004377098922,0.000863933534352072,0.000742022437760048,0.000355135178992895
54,0.000969715556516667,0.000288621448545991,0.000467170968570716,7.54888734292869E-05
60,0.00650200405215414,0.000195364075887284,0.00112627181572165,0.00201126837483025
66,0.00063791021624762,5.10868269777103E-05,0.000703820891928197,0.000953156417727224
72,0.00135087359349171,0.00260908556510371,0.000343838706185896,0.00050510660896
78,0.00142127511389988,0.00278312176987244,0.000562123470004275,0.000433466210665122
84,1.49159510117618E-05,0.000409086178982982,0.000594359431047791,0.00102183755157358
90,0.00039096396126261,3.1415348845371E-05,0.000995453987466988,0.000506885259872455
96,0.000437918602019422,0.00207355964014262,0.000153145579835404,0.000107746872523913
102,0.000490258560359062,0.00744823707534536,0.000329127140644891,0.000317522888882389
108,0.00106679851120726,0.00721750284559576,5.87924414392923E-05,0.00093070153675101
114,0.00075771896542675,0.00520451638966744,4.14593011226684E-05,0.00067927530578943
120,6.08247338721876E-05,0.00141835099820218,0.000179825621755639,0.00117161577942909
126,0.000238117686346597,0.00238357768940556,0.00014126672681742,0.000723779949164805
132,0.00300048777435017,0.00190713584732997,0.00232134723986128,0.00190514823780676
138,0.00227250238104976,0.0510088780519931,0.00255597162436828,0.00013821874920824
144,0.00239447740802388,0.0644650237924277,0.00122558803788642,0.000365077110817321
150,0.00427222537756972,0.0158794061259973,0.000833767842278808,0.00398430515227569
156,0.00386332610913835,0.0360484238056815,0.00112180773445162,0.00203001707594625
162,0.00379422530148112,0.974265026033145,0.000276449153543042,0.00180583260202562
168,0.00468069063935302,0.924888533905816,0.000752125917932192,0.000649077743597101
174,0.00444552443033125,3.15296640056618,3.56303312168859E-07,7.35192642540296E-05
180,0.0197627720146564,3.1686097483877,3.5469779699168E-09,1.84202659369044E-08
186,0.0208445122249779,3.16158270785829,7.83076499688632E-07,0.000256734847102194
192,0.00453550684538598,0.926253520785311,0.000776505850731986,0.000645765297045657
198,0.00481879999944292,0.933354863328892,0.00305495241437911,0.00199930308116223
204,0.00410199588882791,0.0357149952682894,0.00114004339133989,0.0019891229518568
210,0.0050048328874396,0.0191823877909713,0.00234742000156327,0.00362439258356336
216,0.00235448403947666,0.0640783990375013,0.0011999101564745,0.000383710118675987
222,0.000749841592740784,0.0497304323251815,0.00103661679818967,0.000305623716522397
228,0.00330375982366648,0.00187960280801278,0.00230176032790166,0.00187047083655572
234,0.00279972566983667,0.00142835835467708,0.00130397241705658,0.000832809650737664
240,4.2193873156094E-05,0.00142432470269383,0.000249844056201913,0.00114833495328668
246,0.00146216361039108,0.0039854513589392,0.000310945131642308,0.000688941305591849
252,0.00105245632746238,0.00682397659016039,5.62309331008371E-05,0.000937337209289403
258,0.0011053424262266,0.00618148235677015,4.94119839719745E-05,0.000333932942669344
264,0.000426324879521833,0.00195520259071784,0.000123026838185614,0.000103121492194754
270,0.00207635436397476,2.69299106551691E-06,0.00010873188193304,0.000721757037544969
276,1.21662941195141E-06,0.000382389807877328,0.000702451741164274,0.00102486168398647
282,0.000265107161478836,0.00343283435213349,0.000320024900859323,0.000570788948906501
288,0.00109617462449169,0.00255001554072104,0.000303154323919736,0.000540851201333092
294,0.00818995868005913,7.65196235699484E-05,0.000313973797309866,0.00103032920516653
300,0.00577826274011273,0.000177233685580642,0.00111428809396116,0.00204899377048242
306,0.00355009941149848,0.000382034632703552,0.000973501311908323,2.03744808605062E-05
312,0.00346998777691183,0.00081511130530129,0.000772418820241318,0.000353183936372688
318,0.0104518286904195,0.00614111714132856,0.00394551333462124,0.00356706096356689
324,0.0378661555213964,0.00683938341884244,0.00417483455233104,0.00236812313757224
330,0.130995908095862,0.000149582667013447,0.00589854824956221,0.000404967854116521
336,0.131068025609711,0.000109878458819719,0.00380725089114419,0.000234949715861426
342,1.78741156762721,0.00837591192913964,0.000292136065997065,0.00135802043974904
348,1.81832690267323,0.00739260295335131,0.000106470808499511,0.000324598524901257
354,3.41884961255622,0.0124619020070604,7.31491066335821E-05,4.70758258028588E-06
360,3.41736909681967,0.0135607084402554,3.51714894087465E-05,1.81035993200677E-06
