Far field
"Theta"[deg]	"FarField1 [V]"	
0.00000000E+00	4.98277448E-01	
6.00000000E+00	4.32690097E-01	
1.20000000E+01	2.69801857E-01	
1.80000000E+01	8.97750134E-02	
2.40000000E+01	5.58672740E-02	
3.00000000E+01	1.01867276E-01	
3.60000000E+01	8.72611107E-02	
4.20000000E+01	4.86431131E-02	
4.80000000E+01	3.44828763E-02	
5.40000000E+01	4.75162253E-02	
6.00000000E+01	5.31731069E-02	
6.60000000E+01	5.01084619E-02	
7.20000000E+01	4.41435943E-02	
7.80000000E+01	3.93676972E-02	
8.40000000E+01	3.69018690E-02	
9.00000000E+01	3.62108474E-02	
9.60000000E+01	3.68833122E-02	
1.02000000E+02	3.93346033E-02	
1.08000000E+02	4.41106843E-02	
1.14000000E+02	5.01016226E-02	
1.20000000E+02	5.32170859E-02	
1.26000000E+02	4.76110459E-02	
1.32000000E+02	3.45318348E-02	
1.38000000E+02	4.85135672E-02	
1.44000000E+02	8.71651444E-02	
1.50000000E+02	1.01900215E-01	
1.56000000E+02	5.60107861E-02	
1.62000000E+02	8.95805433E-02	
1.68000000E+02	2.69654777E-01	
1.74000000E+02	4.32654345E-01	
1.80000000E+02	4.98304272E-01	
1.86000000E+02	4.32663570E-01	
1.92000000E+02	2.69670205E-01	
1.98000000E+02	8.96058756E-02	
2.04000000E+02	5.60276025E-02	
2.10000000E+02	1.01900875E-01	
2.16000000E+02	8.71592219E-02	
2.22000000E+02	4.85100472E-02	
2.28000000E+02	3.45569631E-02	
2.34000000E+02	4.76452130E-02	
2.40000000E+02	5.32479619E-02	
2.46000000E+02	5.01249257E-02	
2.52000000E+02	4.41245752E-02	
2.58000000E+02	3.93397819E-02	
2.64000000E+02	3.68828349E-02	
2.70000000E+02	3.62085829E-02	
2.76000000E+02	3.69012258E-02	
2.82000000E+02	3.93713042E-02	
2.88000000E+02	4.41531916E-02	
2.94000000E+02	5.01253232E-02	
3.00000000E+02	5.31990089E-02	
3.06000000E+02	4.75532578E-02	
3.12000000E+02	3.45227529E-02	
3.18000000E+02	4.86385889E-02	
3.24000000E+02	8.72380916E-02	
3.30000000E+02	1.01851259E-01	
3.36000000E+02	5.58837117E-02	
3.42000000E+02	8.97882684E-02	
3.48000000E+02	2.69791259E-01	
3.54000000E+02	4.32678902E-01	
3.60000000E+02	4.98277448E-01	
