Far field
"Plane Wave Phi"[deg]	"FarField1 [V]"	
0.00000000E+00	3.38452254E-01	
2.00000000E+00	3.27633720E-01	
4.00000000E+00	2.96544826E-01	
6.00000000E+00	2.49043665E-01	
8.00000000E+00	1.90919913E-01	
1.00000000E+01	1.29143742E-01	
1.20000000E+01	7.15280282E-02	
1.40000000E+01	3.15069807E-02	
1.60000000E+01	3.88590672E-02	
1.80000000E+01	5.92670819E-02	
2.00000000E+01	6.93355559E-02	
2.20000000E+01	6.82295108E-02	
2.40000000E+01	5.88821913E-02	
2.60000000E+01	4.58724919E-02	
2.80000000E+01	3.52470291E-02	
3.00000000E+01	3.27878184E-02	
3.20000000E+01	3.70841558E-02	
3.40000000E+01	4.18419380E-02	
3.60000000E+01	4.35518912E-02	
3.80000000E+01	4.14817968E-02	
4.00000000E+01	3.63815839E-02	
4.20000000E+01	2.99311956E-02	
4.40000000E+01	2.46116853E-02	
4.60000000E+01	2.30695968E-02	
4.80000000E+01	2.56205204E-02	
5.00000000E+01	2.99074692E-02	
5.20000000E+01	3.38281683E-02	
5.40000000E+01	3.63915274E-02	
5.60000000E+01	3.73095309E-02	
5.80000000E+01	3.66694669E-02	
6.00000000E+01	3.47543385E-02	
6.20000000E+01	3.19421076E-02	
6.40000000E+01	2.86439327E-02	
6.60000000E+01	2.52672881E-02	
6.80000000E+01	2.21945331E-02	
7.00000000E+01	1.97541825E-02	
7.20000000E+01	1.81683867E-02	
7.40000000E+01	1.74830399E-02	
7.60000000E+01	1.75496792E-02	
7.80000000E+01	1.81061251E-02	
8.00000000E+01	1.88916987E-02	
8.20000000E+01	1.97093831E-02	
8.40000000E+01	2.04321284E-02	
8.60000000E+01	2.09858341E-02	
8.80000000E+01	2.13303897E-02	
9.00000000E+01	2.14471507E-02	
9.20000000E+01	2.13306019E-02	
9.40000000E+01	2.09861062E-02	
9.60000000E+01	2.04325982E-02	
9.80000000E+01	1.97099652E-02	
1.00000000E+02	1.88925289E-02	
1.02000000E+02	1.81072492E-02	
1.04000000E+02	1.75510621E-02	
1.06000000E+02	1.74846785E-02	
1.08000000E+02	1.81697291E-02	
1.10000000E+02	1.97552079E-02	
1.12000000E+02	2.21950479E-02	
1.14000000E+02	2.52671007E-02	
1.16000000E+02	2.86430060E-02	
1.18000000E+02	3.19405810E-02	
1.20000000E+02	3.47522443E-02	
1.22000000E+02	3.66669638E-02	
1.24000000E+02	3.73072431E-02	
1.26000000E+02	3.63897983E-02	
1.28000000E+02	3.38279568E-02	
1.30000000E+02	2.99094962E-02	
1.32000000E+02	2.56261794E-02	
1.34000000E+02	2.30789534E-02	
1.36000000E+02	2.46219353E-02	
1.38000000E+02	2.99388465E-02	
1.40000000E+02	3.63854902E-02	
1.42000000E+02	4.14819387E-02	
1.44000000E+02	4.35488275E-02	
1.46000000E+02	4.18363419E-02	
1.48000000E+02	3.70773105E-02	
1.50000000E+02	3.27823932E-02	
1.52000000E+02	3.52461526E-02	
1.54000000E+02	4.58747173E-02	
1.56000000E+02	5.88848025E-02	
1.58000000E+02	6.82312400E-02	
1.60000000E+02	6.93355340E-02	
1.62000000E+02	5.92657171E-02	
1.64000000E+02	3.88575738E-02	
1.66000000E+02	3.15104870E-02	
