"Freq [GHz]","re(Z(1,1)) [] - hsub='5mil'","re(Z(1,1)) [] - hsub='10mil'","re(Z(1,1)) [] - hsub='15mil'","re(Z(1,1)) [] - hsub='31mil'","re(Z(1,1)) [] - hsub='62mil'","im(Z(1,1)) [] - hsub='5mil'","im(Z(1,1)) [] - hsub='10mil'","im(Z(1,1)) [] - hsub='15mil'","im(Z(1,1)) [] - hsub='31mil'","im(Z(1,1)) [] - hsub='62mil'"
1.8,0.257523752173934,0.83120914207496,0.310979995673245,0.356948434480841,0.652690410177626,12.69930501831,20.238740305439,25.1895125089649,36.7237352822586,48.6883938744794
1.805,0.246261332607249,0.803641075341728,0.309126137850211,0.335362175097918,0.667686737599685,12.7295762850484,20.3810658515103,25.3682655855775,37.0205765767672,48.8245396264929
1.81,0.235171797238348,0.776601709919798,0.307317728913235,0.314731039281003,0.684012259447721,12.7595500164218,20.5243021044951,25.5495542287852,37.3205268954174,48.9667492069143
1.815,0.224301809687091,0.750097484600113,0.305553715867289,0.295095014340124,0.701711651612795,12.7892038467103,20.6684693557548,25.7334417733907,37.6236464689316,49.1154631523423
1.82,0.213703241867249,0.72413505824994,0.303833155657603,0.276496941112995,0.720831202222972,12.8185157429938,20.8135889386948,25.9199933645837,37.9299977290375,49.2711595337935
1.825,0.203433662446904,0.698721324484912,0.302155243854484,0.258982842958398,0.741418668915252,12.8474643891156,20.959683298218,26.1092760036397,38.2396454637009,49.4343575626573
1.83,0.193556848475559,0.673863427558997,0.300519347039512,0.242602304571971,0.763523078663276,12.8760296559479,21.1067760664048,26.3013585934807,38.55265699474,49.6056215690157
1.835,0.184143314124531,0.649568779611332,0.298925039292179,0.22740890963902,0.787194456931802,12.9041931720058,21.2548921451229,26.4963119838922,38.8691023829375,49.7855653908147
1.84,0.175270847766228,0.6258450794294,0.297372143215304,0.21346074819163,0.812483470229917,12.931939009858,21.4040577963703,26.6942090161627,39.1890546672242,49.9748572156697
1.845,0.167025045211012,0.602700332912291,0.295860775981122,0.200821006807708,0.839440962918274,12.9592545050229,21.5543007412626,26.8951245668769,39.5125901464245,50.1742249203742
