"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.46GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.46GHz' IWavePhi='90deg'"
0,1.61041586628392,0.85466254163809,1.22377171474761E-06,8.56100663083407E-07
6,0.0677683311693355,0.0308218623848265,1.35808270240779E-06,2.39129312515703E-06
12,0.0230425491009861,0.00103822340794288,2.88360655823861E-06,2.27253137492534E-06
18,0.00636478036603748,0.00311933936890899,1.2825553393212E-06,6.33886420564305E-07
24,0.00335368729937952,0.00438369786070885,4.09994338055142E-07,4.38517466324797E-07
30,0.00259661402379012,0.000609965659554162,5.1467783976722E-07,4.96034019562094E-07
36,3.34734888248233E-05,0.000426890632880504,3.70844583161617E-07,2.0472369303329E-07
42,0.000954533863412651,0.00116724385857327,6.91082422484768E-08,3.94237702951876E-09
48,0.000955578084696434,0.000431041404789811,2.0728827847514E-08,1.09043581442868E-07
54,3.5638275517361E-05,0.000596638071621595,2.36699471377882E-07,3.49425900336358E-07
60,0.00258134729111361,0.00442608439232172,3.85775784913445E-07,3.23521820364502E-07
66,0.00343325979036465,0.00318391570073256,2.16279184908648E-07,1.34945682529604E-07
72,0.00660068782126111,0.000981413475428272,1.17669384256792E-07,2.18732434751493E-07
78,0.0222217763888673,0.0302974391911167,3.41633893542706E-07,1.72371096304343E-07
84,0.0684877822836846,0.861128591734854,1.5114402757538E-08,1.3240210246916E-07
90,1.62096178037638,0.861083580469388,4.9988501865206E-08,1.41845818455658E-08
96,0.0686976177709677,0.0300669465151396,1.07842205864096E-07,1.13301744331571E-07
102,0.0222235606784277,0.00100270809579265,2.78153781101032E-08,1.16603664783723E-08
108,0.0066162154398317,0.00331421250004304,8.94512754740623E-08,1.45793212608624E-07
114,0.00340800775402353,0.0043078468162878,2.35692029075034E-07,3.64377927760471E-07
120,0.00253838301832159,0.000614055639644597,3.90540764366486E-07,2.91027611853531E-07
126,4.52302255546227E-05,0.000410672274235084,1.6073377731718E-07,6.55368584648413E-08
132,0.000912641199801173,0.00111537432608499,1.67018282045925E-08,8.17934021754103E-09
138,0.00090849653044321,0.000405699509738378,3.51604014706199E-08,9.67028886612729E-08
144,4.56240997265066E-05,0.000623345511940736,1.86988201755222E-07,2.75007419371867E-07
150,0.00255369539789088,0.00432267913910471,2.84528929162801E-07,1.51446878157167E-07
156,0.00342241464867437,0.00330553645405656,9.32289018936897E-09,3.83016657699904E-07
162,0.00652450705680893,0.00102590349502541,1.77921620361233E-06,3.5572292464401E-06
168,0.0230428945375509,0.0312178668323611,4.20722213553156E-06,3.66974456863639E-06
174,0.0682381081054536,0.855680569641913,2.93922754560924E-06,2.09830665312346E-06
180,1.61041158921695,1.61468845857056,1.22425902163331E-06,1.08820943990111E-06
186,0.858114151195867,0.0689690578888817,1.22565545841201E-06,1.76663235002837E-06
192,0.0307593380017245,0.0226849548218352,2.32205740680195E-06,2.62554125909538E-06
198,0.000940922467032951,0.0066139516001025,2.71082529099678E-06,2.74843374936863E-06
204,0.00324731084190761,0.00340606440430446,2.43959927488386E-06,1.58556996122994E-06
210,0.00449721501385734,0.00269563930066738,6.93253272685826E-07,2.23760433782906E-07
216,0.000644864629863715,2.4181103104697E-05,7.80320777632272E-08,3.46156412921673E-08
222,0.000398394676397621,0.000920293701580876,1.21532040149347E-08,2.44521365014031E-09
228,0.00113456177611617,0.000927539631486375,1.05504392343833E-08,4.48245889451581E-08
234,0.000409447257678072,2.88770452735597E-05,1.02786974983286E-07,1.49042082709624E-07
240,0.000629865534836264,0.00266822940261159,1.34481153313627E-07,7.07231202989396E-08
246,0.0044977434795079,0.00343081524799619,3.17711407450649E-08,2.77267820313594E-08
252,0.00325995958913373,0.00674206657808275,2.428498596161E-08,3.1405722447347E-08
258,0.00102037359771897,0.0222808378648616,6.75534648738573E-08,8.98712587674564E-08
264,0.0301073375774272,0.0688619979652182,7.7950843100737E-08,3.08968938677058E-08
270,0.8614118945071,1.61996148470539,2.38207247857335E-08,8.26768209316669E-08
276,0.860963867866558,0.0688219356718108,4.19178954624549E-08,1.95639454253782E-07
282,0.0301816698070027,0.0224396778077108,1.52778234336533E-07,8.91213923494135E-09
288,0.00100180206981991,0.00666943784623763,1.86908137905303E-07,1.0265230927898E-07
294,0.00330766398706682,0.00340456167077281,3.39384194496951E-09,1.26760328533749E-07
300,0.00439131133553188,0.00260744746956624,2.01317070246668E-07,1.64563127508878E-07
306,0.000630256258475715,5.17732618004922E-05,1.07949541541366E-07,6.41880782412698E-08
312,0.00043752138283862,0.000960987630022176,2.93001280977847E-08,5.84614067366645E-09
318,0.001175588631964,0.000967990745374114,1.31587366523488E-09,2.30789426683115E-08
324,0.000445671995837624,4.81210441166317E-05,7.99339106414686E-08,1.68438314790932E-07
330,0.000609053010035075,0.00261878624388018,2.25789421646417E-07,1.35593072559545E-07
336,0.00451783664076503,0.0035246034926056,7.63316461608214E-09,4.15574544988722E-07
342,0.00318296506188532,0.00656661051340542,1.62159472194083E-06,2.96552181043084E-06
348,0.00104736505122219,0.0224429711954961,3.96653145172298E-06,4.59277705738896E-06
354,0.0306399349957149,0.0692329485584116,4.51642815064723E-06,3.32786571928296E-06
360,1.6104158662839,0.854662541638073,1.22377171474761E-06,8.56100663083416E-07
