"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='90deg'"
0,12.8716544342428,0.0885515279842016
6,0.0536102484009779,0.0071842961556991
12,0.000853557744999727,0.00247740718763471
18,0.00261334129500571,0.00165243146491771
24,0.000915644288107649,0.000800923049639257
30,0.000509940467460213,0.00055963363700558
36,0.000661261929065855,0.000795263478470547
42,0.000662619880451942,0.000578354273728858
48,0.000659850630996759,0.000797583072035827
54,0.000678643032414385,0.000572624524813979
60,0.000401502450424695,0.000777531649809368
66,0.000979054058296771,0.00180305456654166
72,0.00291799847906313,0.00271410388076135
78,0.00126425184678942,0.00685313171949879
84,0.0541494366479363,0.0818942988141341
90,13.0105635468582,0.0826962708826967
96,0.053688381271124,0.00694710399106901
102,0.00113540573293866,0.00249166287531899
108,0.00273534236342987,0.00191383273127459
114,0.000843394623631387,0.00084987785886428
120,0.000524136620181843,0.000629087448799944
126,0.000667614510861668,0.000869086299007668
132,0.000783222753873791,0.000707196466834812
138,0.000797015622993439,0.000866444221455919
144,0.000586973363557178,0.000589444205083447
150,0.000583670457595134,0.000724130323935213
156,0.00103977259652059,0.00178101272726588
162,0.00277013041097184,0.0024194218974291
168,0.000833883451454953,0.00748839469923433
174,0.0533380923360216,0.0874162003687717
180,12.8716544831682,12.874100395393
186,0.085729365296694,0.0548935244494824
192,0.00752952349218883,0.000508034483843911
198,0.00203775051570653,0.00301180030004002
204,0.00190318174641517,0.000933608977333124
210,0.000796216030042288,0.000517962421159476
216,0.000640497129439232,0.000550818769893743
222,0.000800800806303879,0.000731067050739496
228,0.000653225800474745,0.000728740206859046
234,0.000780764864778669,0.000511778703774163
240,0.000588023167457545,0.000529736924427937
246,0.000862709012245421,0.000971464009336912
252,0.00160304156617972,0.00304569499535179
258,0.00271925446513725,0.00134788209798662
264,0.00762542405322079,0.0523054287253531
270,0.0835742428645166,13.0255168041545
276,0.08348205866126,0.0551214068143312
282,0.00801919296116053,0.00122506446522146
288,0.00253013409736661,0.00308976465064948
294,0.00178069517226822,0.000995025060648901
300,0.00076661399613557,0.000470855388683603
306,0.00070090408382981,0.000601826433197983
312,0.000708373442230383,0.000609791305481443
318,0.000532636429980901,0.000610699300131613
324,0.000713549257081123,0.000577938211144652
330,0.000617923970060307,0.00052597025314549
336,0.000848896460408051,0.000975296342036533
342,0.00158544476264745,0.00321278515713449
348,0.00182740372295343,0.000699310946373767
354,0.00697846207084689,0.0522386965806732
360,12.8716544342426,0.0885515279842006
