"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='90deg'"
0,2.64732507118926E-06,1.47359062879175E-06,1.76913287540402,0.892877708146764
6,8.70008290243289E-07,9.92312120450085E-07,0.047629904829872,0.035581563156933
12,2.35413993068077E-07,7.73404324337299E-07,0.0215026691216931,0.00405869299701959
18,9.38206828566353E-07,2.55568287281452E-09,0.00269641397527814,0.000693521839104091
24,1.04243907314934E-06,1.89822576956669E-06,0.00688951181639521,0.0112506454861647
30,1.86572483604454E-06,1.57779077343147E-06,0.010293691688364,0.00621999535229069
36,1.10847295430387E-06,5.41907409162715E-07,0.00244740427058699,0.000548640708565523
42,1.23550653100732E-07,6.89808803073997E-10,4.16945446540493E-05,3.3879226141464E-07
48,9.99498994730323E-08,2.0205855408051E-07,3.62156497493291E-05,0.000502351049273393
54,2.04041042093893E-07,4.14154144097895E-07,0.00226932439308189,0.0057610108445437
60,1.27922428348107E-06,2.40772075773751E-06,0.00949415020094,0.010441496590776
66,2.51823528253443E-06,1.54133823284891E-06,0.00660353776467877,0.000778908822189877
72,1.1024086355512E-06,1.14999465533275E-06,0.00242368422342892,0.00383694488560287
78,8.60638312568301E-07,6.56490168107476E-07,0.0232082346780784,0.0378255321568801
84,1.26941294752335E-06,4.84545335019065E-07,0.0470302045968701,0.898874630718779
90,3.4747878540284E-07,1.22752169032682E-06,1.7879043211598,0.897325685877589
96,3.84121528515542E-07,4.72328812441692E-08,0.0472379720166474,0.0372550196262166
102,4.17159197634561E-08,4.09643389915625E-07,0.0214797383386228,0.0040131828211933
108,1.89952622854743E-06,2.42859962732045E-06,0.00257751041859819,0.000864633687961281
114,1.34620935408647E-06,3.69431321559469E-07,0.00744092739676326,0.0114319166582847
120,1.91022473452374E-07,4.62722230887338E-07,0.0100458249904139,0.00592470586731218
126,5.45636137876359E-07,3.3846749856114E-07,0.00228938067560595,0.000501393113606036
132,9.81236811155042E-08,4.90212144617804E-10,3.60018682099405E-05,3.14034267057687E-07
138,6.71728694124246E-08,2.21998812220629E-07,3.88692213240529E-05,0.000525024981708494
144,3.24997344646581E-07,2.81603196163028E-07,0.00236799477910736,0.00607356973198821
150,2.46899984510454E-07,4.50300630221379E-07,0.0101857044004543,0.011423521500995
156,8.40948643828584E-07,1.62370627414267E-06,0.00736274639571955,0.000928796790591251
162,2.43468474309861E-06,2.85929303365922E-06,0.00238206982137632,0.00405025236874877
168,3.79185479765775E-06,4.46435883285886E-06,0.0225944972149484,0.0368880701062902
174,2.84006981304035E-06,1.76933412465408E-06,0.0466134063592554,0.887253988863104
180,2.65747693607617E-06,5.1105305115154E-06,1.76914239330151,1.76614304255067
186,4.1298156516801E-06,3.38734011695036E-08,0.886108373435555,0.0462684507072002
192,1.00397166743767E-06,2.28088859521287E-07,0.0364155060139699,0.021760245181371
198,7.22586939371069E-07,4.40796142241073E-06,0.00443098923338565,0.00278121927315212
204,1.0822219484708E-05,1.75060085090496E-05,0.000739965108204549,0.00697694159913638
210,1.92829463011155E-05,1.46976888928901E-05,0.0108184400087996,0.00955884891654746
216,8.134176660153E-06,3.45670641377052E-06,0.00567684278317872,0.0022057771750731
222,1.14065395900439E-06,2.33746302960626E-07,0.000484574514774056,3.51056301557761E-05
228,3.14557320902239E-09,8.02672384426286E-08,4.22992213041833E-07,3.98731654618083E-05
234,2.74572316230137E-07,6.69614607129318E-07,0.000518877463944816,0.00230281026880861
240,1.63644380076401E-06,3.04653675048753E-06,0.00583352135969911,0.00968486612218632
246,4.39109806372148E-06,6.44063699600926E-06,0.0107722976828143,0.00679720602256412
252,7.34152511132656E-06,4.36506981799401E-06,0.00073911468467666,0.00280324317196107
258,9.7680829014327E-07,2.99342133373541E-06,0.0040628026952986,0.0215925611405868
264,5.51486118613734E-06,1.32738323415914E-07,0.0366545422067802,0.0480574378575663
270,2.00626555362007E-06,3.53794441660138E-07,0.898983386270961,1.78880830994743
276,3.24513048423593E-06,1.18957044441916E-06,0.90005015815857,0.0477519498636779
282,2.75119160024822E-06,3.04374806077533E-06,0.0377848912399585,0.0228082835898201
288,1.39728151253434E-07,1.28800734766107E-06,0.00387688753839922,0.00234830435328202
294,4.93864062530619E-07,1.35796277315847E-06,0.00091069383429436,0.00755796987767136
300,4.12579268248396E-06,4.71120884580587E-06,0.0122171617655738,0.0112805930619892
306,3.1325350966948E-06,1.41881343648245E-06,0.00686201512679669,0.00270133231778134
312,4.68285866034441E-07,1.06950222137104E-07,0.000601859540922367,4.48839321396317E-05
318,8.23714872578827E-09,2.91147620509673E-09,4.05072502445724E-07,4.26507295000934E-05
324,1.07362303264346E-08,1.53810159770408E-07,0.00058014617906912,0.00261561902324933
330,1.12028640005483E-06,3.70038602241907E-06,0.00668658229015321,0.0111591446924639
336,6.84327035126655E-06,7.74692208174918E-06,0.0123581907133937,0.00766378139005233
342,5.96017068964627E-06,3.86574826612148E-06,0.000794361385500648,0.00274930809090739
348,2.87240214337007E-06,2.60304375102954E-06,0.00390914477477367,0.0209277103706386
354,9.77609930408829E-07,2.2059877787656E-07,0.0357892544877376,0.0473460684151819
360,2.64732507118926E-06,1.47359062879175E-06,1.76913287540402,0.892877708146764
