"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.59GHz' IWavePhi='90.0000000000002deg'"
0,1.73539280039925,0.882427936005774,4.0173464309937E-07,2.69164299025984E-07
6,0.0578491679503221,0.0350783565312012,1.91270584494335E-07,2.49341431533849E-07
12,0.0130635546398921,0.00344099261641317,3.85175588144751E-07,3.7761729376246E-07
18,0.00839116583057267,0.00305420731319745,1.75862167783997E-07,1.00934521011994E-08
24,0.00341527977936695,0.00230405609237895,5.93554246639038E-08,1.93137477782809E-07
30,0.000393741198288351,0.000629567115621088,2.35934498902185E-07,1.85031748583538E-07
36,0.00210859395192872,0.00337960338730739,1.065620220979E-07,4.52170957431212E-08
42,0.00402997094823723,0.00421120430184235,1.19293213024506E-08,2.86851315354083E-09
48,0.00403547919060876,0.00338560522389999,1.17931338064248E-08,3.23135297242566E-08
54,0.00211099430011122,0.000635274103727301,5.76135549326933E-08,7.03625617656439E-08
60,0.000412655235183099,0.00231441797997523,5.56862571706373E-08,2.07536046923479E-08
66,0.00341436992698855,0.00303265114254406,3.38825241941628E-09,9.78253622191859E-09
72,0.00830302622627862,0.00354487105561609,1.22852831732323E-08,8.53399911826944E-09
78,0.0128421126440558,0.0342128864845145,1.87755904438484E-08,2.3546385904658E-08
84,0.0573070501929195,0.886228046554533,1.13068300593922E-09,3.6588478022284E-08
90,1.74524439074526,0.887126508397985,1.36415259191473E-08,2.52031675614615E-08
96,0.0571644451841474,0.0341580973667844,2.45129056426204E-08,2.95954165894746E-08
102,0.0128404099183158,0.00364255396029195,4.3637676052241E-08,1.27596757638655E-08
108,0.00836239833080221,0.00296540180395044,1.64779064843161E-08,5.9081863706106E-08
114,0.00339787905805219,0.00228933254325406,7.53622867443576E-08,6.03905823853191E-08
120,0.000364033492127137,0.000622445941786529,3.60942428924555E-08,1.74600041662587E-08
126,0.00214564882182496,0.00344945907871182,7.82051648016382E-09,4.86350194208205E-09
132,0.00411322506297504,0.00429549436534585,7.26269609386841E-09,1.64663779112089E-08
138,0.00411703503805006,0.00345899589631865,3.6330319870845E-08,6.9887972094162E-08
144,0.00216276636960109,0.000639326081971211,1.15321149587733E-07,1.60886674272469E-07
150,0.000353233859701609,0.00223998091694145,1.77329654001865E-07,1.35288998033269E-07
156,0.00339612673789848,0.00311937092518178,5.63685025383202E-08,6.25485840537034E-09
162,0.008482022480126,0.00350604174297717,4.51116061853057E-10,6.40978920511177E-09
168,0.0129037544927291,0.0348375648382322,5.33137123312085E-08,2.25184778095836E-07
174,0.0580260132569017,0.882380629787126,4.87896485292518E-07,5.5017808217204E-07
180,1.73539280058933,1.7375150556964,4.01735320755122E-07,2.72137312740013E-07
186,0.883018288933436,0.0579040596473213,3.52008152573335E-07,4.11589235614177E-07
192,0.0343644694960767,0.0128035833371231,1.15059325924357E-07,2.55817226881368E-08
198,0.00353597839995295,0.00837364544203668,3.03510299886594E-08,1.38440744162834E-08
204,0.00302802027981452,0.00347637430122024,1.58206831817663E-07,2.92051160491972E-07
210,0.00239452518879485,0.000400440167491246,3.37031325274841E-07,3.48995827617115E-07
216,0.000582824558293996,0.00208864070245844,3.05675722582444E-07,2.08630192609767E-07
222,0.00340759605175533,0.00408624192343002,1.04306433181748E-07,3.14314950996152E-08
228,0.00427414841808491,0.00408977919002153,1.29183029605481E-08,6.82373857936578E-08
234,0.00341765239368283,0.00210365711282829,2.10607296928222E-07,4.22921447752347E-07
240,0.000592830282501049,0.000405164975457557,6.1418672775021E-07,6.30800269368782E-07
246,0.00242117125601866,0.00350615721332521,4.11511267099167E-07,1.45206071581341E-07
252,0.00302436336856221,0.0085124080011061,2.94404803741016E-08,1.78143448579152E-08
258,0.00367913154464975,0.0128390725522175,4.83100820387038E-08,3.60867404090575E-08
264,0.0342876552172656,0.0571550024242967,2.60247729529386E-08,8.36790697031358E-08
270,0.88731028395116,1.7455656425145,2.25432330325584E-08,9.79043661946627E-08
276,0.886301577012395,0.0570459634776582,7.28673317206274E-08,1.35708223855102E-08
282,0.0341924930953386,0.0127817148960173,3.3240952704683E-08,5.35910713127777E-12
288,0.00364134083472577,0.00842294158398048,1.35442912666004E-08,5.67560110682225E-10
294,0.00306323534237932,0.00348474259091954,7.98619105499675E-08,2.43734111857786E-07
300,0.00236346415303053,0.000415293131707177,3.81532122891961E-07,4.58740729009643E-07
306,0.000613175775806436,0.00206956261620755,4.44614392863012E-07,3.39674843934003E-07
312,0.0033303906753953,0.00397473671966306,1.95833578952866E-07,7.35846012211807E-08
318,0.00415118951879864,0.00397380131491688,9.95166086897292E-09,2.67022861403727E-08
324,0.00332850810655128,0.00206652263104126,1.35006879169534E-07,3.04939759476319E-07
330,0.000609383808713775,0.000406808401930585,4.28828206683281E-07,3.85377647816891E-07
336,0.00233054079283602,0.0034128741238756,2.08168388599642E-07,7.1253653095685E-08
342,0.00298466005323001,0.00834869059271715,2.12583970297392E-08,9.13942727103151E-10
348,0.00359459043027525,0.0127431909022775,6.63702474096778E-09,2.21878820867717E-08
354,0.0343437966569586,0.0581038862751396,1.57538581579055E-07,2.73044314082748E-07
360,1.73539280039923,0.882427936005757,4.01734643099367E-07,2.6916429902598E-07
