"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='90deg'"
0,1.61041709005563,0.854663397738753
6,0.0677696892520379,0.0308242536779517
12,0.0230454327075444,0.00104049593931781
18,0.00636606292137681,0.00311997325532956
24,0.00335409729371758,0.00438413637817517
30,0.00259712870162989,0.000610461693573724
36,3.3844333407985E-05,0.000427095356573538
42,0.0009546029716549,0.0011672478009503
48,0.000955598813524281,0.000431150448371254
54,3.58749749887389E-05,0.000596987497521931
60,0.00258173306689853,0.00442640791414209
66,0.00343347606954956,0.00318405064641509
72,0.00660080549064537,0.000981632207863024
78,0.0222221180227608,0.030297611562213
84,0.0684877973980873,0.861128724136957
90,1.62096183036488,0.86108359465397
96,0.0686977256131736,0.0300670598168839
102,0.0222235884938058,0.00100271975615913
108,0.00661630489110717,0.00331435829325565
114,0.00340824344605261,0.00430821119421556
120,0.00253877355908595,0.000614346667256451
126,4.53909593319398E-05,0.000410737811093549
132,0.000912657901629378,0.00111538250542521
138,0.00090853169084468,0.000405796212627039
144,4.58110879282618E-05,0.000623620519360108
150,0.00255397992682004,0.00432283058598287
156,0.00342242397156456,0.00330591947071426
162,0.00652628627301255,0.00102946072427185
168,0.0230471017596864,0.0312215365769298
174,0.0682410473329992,0.855682667948566
180,1.61041281347597,1.61468954678
186,0.858115376851326,0.0689708245212318
192,0.0307616600591313,0.0226875803630943
198,0.000943633292323948,0.00661670003385187
204,0.0032497504411825,0.00340764997426569
210,0.00449790826713002,0.00269586306110117
216,0.000644942661941478,2.42157187459892E-05
222,0.000398406829601636,0.000920296146794526
228,0.0011345723265554,0.00092758445607532
234,0.000409550044653055,2.90260873562693E-05
240,0.000630000015989577,0.00266830012573189
246,0.00449777525064865,0.00343084297477823
252,0.00325998387411969,0.00674209798380519
258,0.00102044115118385,0.0222809277361204
264,0.0301074155282703,0.0688620288621121
270,0.861411918327825,1.61996156738221
276,0.860963909784454,0.0688221313112651
282,0.030181822585237,0.0224396867198501
288,0.00100198897795781,0.0066695404985469
294,0.00330766738090877,0.00340468843110134
300,0.00439151265260212,0.00260761203269374
306,0.000630364208017256,5.18374498787334E-05
312,0.000437550682966718,0.00096099347616285
318,0.00117558994783767,0.000968013824316782
324,0.000445751929748265,4.82894824314226E-05
330,0.000609278799456721,0.00261892183695274
336,0.00451784427392964,0.00352501906715058
342,0.00318458665660726,0.00656957603521585
348,0.00105133158267391,0.0224475639725535
354,0.0306444514238656,0.0692362764241309
360,1.61041709005561,0.854663397738736
