"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.46GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.46GHz' IWavePhi='90deg'"
0,1.62283663001048,0.865499135437405,4.31175711355959E-07,7.58633281225663E-07
6,0.0708436436956374,0.0301355933822011,1.06055317228565E-06,1.88321726125534E-06
12,0.0221703257610305,0.00106193589107054,2.50179700644808E-06,2.07547821964061E-06
18,0.00708665391825654,0.00328601600410586,1.53381154624298E-06,2.04859154680288E-06
24,0.00310001411245528,0.00437517754809299,3.50774765977473E-06,4.12132099826102E-06
30,0.00273272761948219,0.000654420430857118,3.11538605189356E-06,1.63202701797342E-06
36,3.12260165634184E-05,0.000484176742854737,6.75695066534623E-07,2.92741493771946E-07
42,0.00109103910297971,0.00134012331802116,1.89190970566953E-07,1.62507602755069E-07
48,0.00110182281715597,0.000498084569919815,1.43362205181948E-07,1.10089837162478E-07
54,2.6227334838923E-05,0.000612058568977628,5.25928382728796E-08,3.52020258405532E-09
60,0.00270725494365076,0.00448805141677613,4.80681955649703E-08,1.45507272286641E-07
66,0.00330472410185403,0.00335291467520994,1.12362694668341E-07,2.21105760566212E-08
72,0.00694802382692615,0.0009735836015253,1.37073149050382E-09,1.04931856512959E-07
78,0.0227767119349207,0.0302902872014098,4.53944520239861E-07,4.67755948216247E-07
84,0.0691740419577978,0.864438484622143,7.71270675560795E-08,8.31403427917103E-08
90,1.62510880992078,0.866233058863611,3.18713075814091E-07,1.07923640322475E-07
96,0.0704379946578011,0.0299047460495595,3.80228245920763E-07,6.58340232079793E-07
102,0.0223793208743109,0.000981789075369959,2.17214115950811E-07,8.15675526620928E-08
108,0.00697494280703662,0.00337990451991226,1.34089056469084E-07,3.80089133214529E-08
114,0.00331000553377856,0.00448799499104931,1.11529242279254E-08,1.24370316402058E-07
120,0.00269448660321035,0.000587786049502219,2.14098991256611E-07,2.00688500307439E-07
126,2.31174587569405E-05,0.000531292194957047,1.1872027782424E-07,4.96266912553155E-08
132,0.00116050527467165,0.00140720987490311,6.58334086162504E-08,2.14124235857154E-07
138,0.00115409801535036,0.000527119670843109,5.0622210041623E-07,8.98888626959969E-07
144,2.6373825080413E-05,0.00058363373971151,1.25630615772785E-06,1.42022882397985E-06
150,0.00265711366994833,0.00438969410257201,1.42749271553974E-06,1.62545235537783E-06
156,0.00310648083924571,0.00316105555703409,2.20283102461387E-06,2.95609704634275E-06
162,0.00687248142403791,0.000952219904831436,3.15945657733799E-06,2.00204082771608E-06
168,0.0230156816568884,0.0310237615663952,7.8900925172833E-07,6.52809161627454E-07
174,0.0694402948445491,0.862441636004629,2.36115191581473E-07,2.73842698945961E-08
180,1.62283473930229,1.61978906289396,4.3070136090351E-07,2.63647494103971E-07
186,0.86132601576015,0.0699433383456094,7.49117071979112E-07,1.30968691221176E-06
192,0.0311584462972873,0.0226758838182332,2.48987200287383E-06,4.37001691581938E-06
198,0.000898824173325163,0.00669696187013939,5.60646551201631E-06,5.71360004049835E-06
204,0.00303400090271473,0.00313472994225122,5.60640922813816E-06,5.8216003590835E-06
210,0.00441117178765677,0.00267547905525391,5.93122121758222E-06,5.25787234971052E-06
216,0.000608606795772855,1.81714746269335E-05,3.86956015997569E-06,2.404160401273E-06
222,0.000471967152931251,0.00107065090937105,1.27946672696812E-06,5.42351472392394E-07
228,0.0013191462823958,0.00108588219135353,1.32131759447154E-07,1.43707640081834E-10
234,0.000485545103606414,2.00218753837352E-05,1.06141524820309E-07,3.60001735753076E-07
240,0.000628711652154342,0.00274342233149627,5.87414393326666E-07,5.99457706704603E-07
246,0.00448244601198924,0.00327537588400898,3.80985074809764E-07,1.59478524210825E-07
252,0.00339000517446557,0.00695820219647266,8.56723046229006E-08,1.50401156383809E-07
258,0.000981962937435605,0.0224580102990318,3.42576863744513E-07,4.64428578260207E-07
264,0.0299775652972055,0.0692888955439986,3.33246934076751E-07,1.8414381969756E-07
270,0.863440057265329,1.62485763253992,1.04200525976454E-07,9.93874206068643E-09
276,0.866615053438515,0.0699834855653506,3.95281835626933E-07,5.81480573437511E-07
282,0.0303779127057989,0.0228302177248679,6.51186874759327E-07,8.63208458553775E-07
288,0.000871362342392433,0.00726061828363077,5.65418246702288E-07,1.91867843292215E-07
294,0.00340127581629658,0.00319456673689605,8.90875864144763E-08,1.93007670773458E-07
300,0.00466179877369816,0.00291451428819204,2.62671567898985E-07,2.3156060934667E-07
306,0.000668609609427185,1.17455959957278E-05,2.27709040401195E-07,2.27641964011623E-07
312,0.000489231541558018,0.00111006867250637,1.57705117514495E-07,6.44058474330979E-08
318,0.00135729142361812,0.0011099284472146,2.71309743351769E-08,8.29032157666563E-08
324,0.000491641726794734,1.36467262730265E-05,2.11206623675568E-07,3.27465016161661E-07
330,0.000646397276295945,0.00285249123239207,3.19292379097651E-07,1.62846031600643E-07
336,0.00462834395015911,0.00317878783092415,9.90695146180846E-09,1.87144801920154E-07
342,0.00317885417548157,0.00719734358229475,1.19821813653249E-06,3.2155205012966E-06
348,0.000999609525689483,0.0223384223033584,4.80420150911534E-06,3.95834902217609E-06
354,0.0309680314285679,0.0695455639501689,1.57993514760135E-06,2.58234089722878E-07
360,1.62283663001048,0.865499135437405,4.31175711355959E-07,7.58633281225663E-07
