"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.46GHz' IWavePhi='90deg'"
0,1.61540025867489,0.860499726161486
6,0.0700269801621331,0.0306635419495355
12,0.0225368778805662,0.00105453003593638
18,0.00684387673368886,0.00311407433462586
24,0.00332471984321734,0.00471182508480141
30,0.00285187390692589,0.000632353431831368
36,2.48574299525053E-05,0.000534417556740088
42,0.00117455835548338,0.00142682567843005
48,0.00116748515019801,0.000523964117471654
54,2.30660690414634E-05,0.000670569263331012
60,0.00296991879598484,0.00488869387894413
66,0.00348624010892808,0.00332906972433258
72,0.00702738916232537,0.000916163231761905
78,0.0227079251143566,0.0302616049957591
84,0.0699710087683846,0.869743409628964
90,1.6337179065499,0.870535921261076
96,0.0706326037147356,0.0302149344746161
102,0.0226027805429756,0.000930159008978718
108,0.0069553858410649,0.00317265640135997
114,0.00330014063404479,0.00477747871299613
120,0.00295356944419811,0.000687011496862947
126,1.41139055519158E-05,0.000465644166735748
132,0.00106315335824919,0.00129476356816577
138,0.0010430315501588,0.000444236081067772
144,2.003265862445E-05,0.000720583410618472
150,0.00297036255613245,0.00481770867102649
156,0.0034917853963701,0.00321115369332847
162,0.00652033449233993,0.000897956808132305
168,0.0234108625854837,0.031395727621951
174,0.068589396859786,0.857827159912105
180,1.61540025864323,1.61513932727678
186,0.858865113669613,0.0700647533699226
192,0.0312984154006441,0.0227374735364053
198,0.00094012751808041,0.00689781669197548
204,0.00334348070646937,0.00316037168946998
210,0.00432066380269959,0.00261603747143678
216,0.000568020119500411,2.78993565389852E-05
222,0.000561397347791529,0.00121899189331509
228,0.0014874705800775,0.00124086510951054
234,0.00059452543969664,3.41252440725926E-05
240,0.000500421676144296,0.00250793381977178
246,0.00428033625789581,0.00316923980459
252,0.00339132806455236,0.00709012595049535
258,0.000862707891700568,0.0226386157201676
264,0.0304565315964665,0.0688077036426579
270,0.869100504035515,1.63529907739022
276,0.869482210537418,0.0696497066694281
282,0.0307064248150451,0.0226902751120661
288,0.000841584232438546,0.00673984862112966
294,0.00303468023030226,0.00318122365965138
300,0.00448474864338755,0.00264273424899455
306,0.000539066957497056,3.5221207294557E-05
312,0.000588385350020796,0.00123695030475357
318,0.00149340880063111,0.00124002978400891
324,0.000586723658083548,3.21126059675527E-05
330,0.000561591241577057,0.00269255090638311
336,0.00448236791063848,0.00315361543741101
342,0.00326682239365141,0.00722582740920236
348,0.00103003900946854,0.022140180378806
354,0.0306880450965953,0.0698526664852096
360,1.61540025867489,0.860499726161486
