"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.46GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.46GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.46GHz' IWavePhi='90deg'"
0,1.61539899427987,0.860498227290731,1.26439502298418E-06,1.4988707549427E-06
6,0.0700236594511822,0.0306569639594613,3.32071095087455E-06,6.57799007419796E-06
12,0.0225290660488476,0.0010481013565914,7.81183171859692E-06,6.42867934497735E-06
18,0.00683906209499515,0.00311058355734155,4.81463869371423E-06,3.49077728431873E-06
24,0.00332252934779504,0.00471073568762409,2.19049542229657E-06,1.08939717731942E-06
30,0.00285144364970663,0.000632185922225643,4.30257219258962E-07,1.6750960572476E-07
36,2.47784167074836E-05,0.000534378630510628,7.90132450217891E-08,3.89262294598542E-08
42,0.00117453675239136,0.00142678880291023,2.16030920274225E-08,3.68755198169474E-08
48,0.00116739228496425,0.000523762009902119,9.2865233763974E-08,2.02107569535636E-07
54,2.26702616345658E-05,0.000669906848556741,3.95807406897596E-07,6.62414774271433E-07
60,0.00296908319955636,0.00488794082230269,8.35596428480612E-07,7.53056641447962E-07
66,0.00348572364608448,0.00332879529808442,5.16462843594597E-07,2.74426248155008E-07
72,0.00702731466506565,0.000915651263368695,7.44972597265646E-08,5.11968393209912E-07
78,0.022706583870826,0.0302605706816067,1.34124353056794E-06,1.03431415239305E-06
84,0.069970538691859,0.869743268560291,4.70076525645288E-07,1.41068672687301E-07
90,1.63371783633181,0.870535463216043,7.02180953252203E-08,4.58045032802586E-07
96,0.0706322281668003,0.0302148345093457,3.75547935226366E-07,9.99652704859408E-08
102,0.0226027745304292,0.000930146228584461,6.01254635206683E-09,1.27803942569621E-08
108,0.00695532299692974,0.00317250060800164,6.28441351620222E-08,1.55793358332422E-07
114,0.00330002046661698,0.00477743276985065,1.2016742780689E-07,4.59431454780399E-08
120,0.00295351852110983,0.000686945138494869,5.09230882821529E-08,6.63583680780933E-08
126,1.40659699577078E-05,0.000465623617945581,4.79355942080884E-08,2.05487901668025E-08
132,0.00106312845135362,0.00129465458107009,2.49068955677095E-08,1.08987095677163E-07
138,0.0010427413750326,0.000443732342452044,2.90175126208338E-07,5.03738615728049E-07
144,1.94373988346669E-05,0.000720159648236247,5.95259789783145E-07,4.2376238222478E-07
150,0.00297023703109577,0.00481770341476815,1.25525036671723E-07,5.25625833757628E-09
156,0.00349177254635923,0.00321072313138879,1.2850010875125E-08,4.30561939684519E-07
162,0.00651676707939585,0.000888397514830631,3.56741294408108E-06,9.5592933016736E-06
168,0.0233983770877177,0.0313859429847449,1.24854977660039E-05,9.78463720610443E-06
174,0.0685839870141189,0.857824810588704,5.40984566716671E-06,2.34932340184951E-06
180,1.61539899424827,1.61513794583587,1.26439496381721E-06,1.381440914095E-06
186,0.858863003514937,0.0700613225851675,2.11015467664317E-06,3.43078475507526E-06
192,0.0312930117157477,0.0227314207071439,5.40368489635476E-06,6.05282926145591E-06
198,0.000936235546397564,0.00689626327779449,3.8919716828459E-06,1.55341418099452E-06
204,0.00334226147098439,0.0031584445976396,1.21923548498459E-06,1.92709183038019E-06
210,0.00431850814730253,0.00261438398869598,2.15565539706737E-06,1.65348274080622E-06
216,0.000567029531909345,2.73124267143157E-05,9.90587591066514E-07,5.86929824669484E-07
222,0.000560935782841093,0.0012185316493932,4.61564950436185E-07,4.60243921890026E-07
228,0.00148700083001309,0.00124041756844704,4.6975006441431E-07,4.47541063499404E-07
234,0.000594131783755694,3.38039772758023E-05,3.9365594094576E-07,3.21266796790388E-07
240,0.000500176709556645,0.00250776045670892,2.44966587650597E-07,1.73363062865219E-07
246,0.00428024180284447,0.003169220981872,9.44550513365272E-08,1.88227180055677E-08
252,0.0033912658163858,0.00708980669077152,6.22481665577523E-08,3.19259723831965E-07
258,0.000862295207462583,0.0226382687597158,4.12684237985137E-07,3.46960451782087E-07
264,0.0304559521999289,0.0688072036269186,5.79396537644709E-07,5.00015739295647E-07
270,0.869100399027583,1.63529901432971,1.0500793104688E-07,6.30605092846753E-08
276,0.869481866424191,0.0696493770417859,3.44113226323718E-07,3.29627642170669E-07
282,0.0307063511093264,0.0226901666344895,7.37057187634628E-08,1.08477576551816E-07
288,0.000841437405669319,0.00673976349818191,1.46826769227827E-07,8.51229477571295E-08
294,0.00303462931922657,0.00318102787837143,5.09110756959393E-08,1.95781279950311E-07
300,0.00448416556853211,0.00264185831214808,5.83074855438438E-07,8.75936846466467E-07
306,0.000538284037248004,3.46981003984105E-05,7.82920249051713E-07,5.23106896146585E-07
312,0.000587987491875508,0.00123658902960962,3.97858145288243E-07,3.61275143954898E-07
318,0.00149314886213701,0.00123994428976283,2.59938494093793E-07,8.54942460724583E-08
324,0.000586721275491164,3.19157194039784E-05,2.38259238382368E-09,1.96886563574272E-07
330,0.000560968928901129,0.00269162623496783,6.22312675928748E-07,9.24671415274972E-07
336,0.00448136846073652,0.0031521230446854,9.99449901960862E-07,1.49239272561745E-06
342,0.00326357981617942,0.00721954387371484,3.24257747199038E-06,6.28353548752269E-06
348,0.00102132374118962,0.0221333989056453,8.71526827891819E-06,6.78147316071258E-06
354,0.0306860195935157,0.0698520070035458,2.02550307968691E-06,6.59481663853291E-07
360,1.61539899427987,0.860498227290731,1.26439502298418E-06,1.4988707549427E-06
