"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.40876158913134,1.80690272569197,4.5576894055089E-06,2.16773327223997E-06
6,0.128868973886748,0.123609741897762,1.31700679274336E-06,4.09054939335175E-07
12,0.0956138840376934,0.0233613017952797,5.84817334436079E-07,1.39107285496202E-06
18,0.0694109772255497,0.0422511203064041,1.40290947692066E-06,3.84173027263915E-06
24,0.0237264471385927,0.0336366590633679,7.82834528746663E-06,9.10456994531745E-06
30,0.0288295064602062,0.0157594158300416,7.3213025885167E-06,4.66255373160819E-06
36,0.0101846663300981,0.0117449709164154,2.53544316594075E-06,1.15993566123651E-06
42,0.0147826724265593,0.0159988460778673,4.07680711796019E-07,6.08435651708679E-08
48,0.0145714255663011,0.0113922773888279,4.37178377326178E-08,4.16828224620327E-07
54,0.00984502063035465,0.0156011836914446,1.24524636336582E-06,2.22871881840891E-06
60,0.0287925291091978,0.0334036241147835,2.41627430535787E-06,1.21378997310202E-06
66,0.0236492237531955,0.0427622936542169,1.06358957716049E-07,8.28146432627167E-07
72,0.0681885151391211,0.0213302703241903,1.17360382930241E-06,5.71402747451295E-08
78,0.0969685883531525,0.121974985163192,6.62881095698675E-07,7.40340007652035E-07
84,0.144673044644838,1.88359071811864,1.12964050196834E-06,2.43493691471457E-06
90,3.52791101728952,1.88950794469366,3.21473769102599E-07,6.96263112814048E-07
96,0.147585790488091,0.118125359871189,1.07191063002362E-06,9.37365416108225E-07
102,0.0951713430476066,0.0223850606541647,2.61150760037773E-06,2.79772888880341E-06
108,0.0683546622365716,0.0429158254402615,1.48815631174418E-06,2.9735769085441E-06
114,0.0242308890993509,0.0336499937041853,8.46134048263758E-06,1.19768137268276E-05
120,0.0287051122674973,0.0155568068046801,1.0179149700252E-05,5.90377876856546E-06
126,0.00991976430466769,0.0114475584107786,2.43961070851334E-06,6.2591932470904E-07
132,0.0144925295357197,0.0157794698434539,2.53653417510484E-08,2.18436788197817E-07
138,0.0144638494287785,0.0113393589321354,1.02656440736122E-06,2.31664812332778E-06
144,0.00970420467817513,0.015431884243514,3.63057099307849E-06,4.25572411494371E-06
150,0.0291533220150477,0.0344891366721482,3.98178368433028E-06,3.88737830266699E-06
156,0.0236824613173068,0.0409175901976888,3.7717573434048E-06,1.64083253070234E-06
162,0.0681790679668974,0.0223893038476382,5.21247719048958E-07,3.23429683706811E-06
168,0.0978019047075502,0.128384741838867,2.07357660397415E-06,9.72875858803243E-07
174,0.124915020698212,1.7973968663804,8.52745355864828E-06,9.96754759593362E-06
180,3.40876159511988,3.17370816397414,4.55769017285992E-06,6.34824640530854E-06
186,0.906662732081057,0.0591951827476479,4.96426481809449E-06,1.67416177750232E-06
192,0.0724154031530927,0.0327921783617575,4.79393956732599E-06,8.44980899183756E-06
198,0.0246878021348964,0.0257011870079302,5.17223753100436E-06,3.08030206795508E-06
204,0.0107070750037599,0.0161156677891467,9.23578094631078E-06,3.60176872989882E-06
210,0.0204020680715801,0.009362904490326,1.61296307826222E-06,8.88725951571491E-06
216,0.0147852248146941,0.0225056229372828,9.70309822948773E-06,4.87104522862618E-06
222,0.0226844720851861,0.0199365135132693,1.09428994540227E-06,3.98409625496196E-08
228,0.0186619717161195,0.0200433541862275,1.14191757798205E-06,4.12513236529411E-06
234,0.0229830756089861,0.0232000513941831,8.80409723941901E-06,1.3436590990358E-05
240,0.0158999259782034,0.0100751640211137,1.40093101963081E-05,8.56142640327387E-06
246,0.020226310152796,0.016486341916914,3.02928345792997E-06,1.34296340594472E-06
252,0.0104383386009634,0.024614810111611,3.46511056917014E-06,6.17075365796606E-06
258,0.0229740855722451,0.0324044364975532,8.62295773835947E-07,3.74116171226068E-06
264,0.0735479708562362,0.0516954540662399,2.96241353520202E-06,1.7060105023964E-06
270,0.951629179094176,3.26999317798156,2.01886291415257E-07,2.60405096250022E-07
276,0.943032788210652,0.0552740078928935,4.8905135999836E-07,9.08427423547715E-07
282,0.0728761299261169,0.0351018091175051,2.12732743912082E-06,7.8308895208964E-06
288,0.0234288112417114,0.0258645770511782,1.43736096523144E-06,3.92363627086112E-07
294,0.0102089400020192,0.0155430570934949,6.91588494825572E-07,1.72180731045453E-06
300,0.0210361887032833,0.0105493437577281,8.60460588949873E-06,2.12381143445676E-05
306,0.0158731798601099,0.0234038782657912,2.67903897122289E-05,2.05248121521341E-05
312,0.0234239725411712,0.0205321784430385,1.02139794387186E-05,2.78346204744234E-06
318,0.0191285763795258,0.0203884627950571,2.64950958724482E-08,1.65426227795691E-06
324,0.0231926105901354,0.0232649615397807,6.88468451964774E-06,1.41800220570454E-05
330,0.0158906490306479,0.010182509556525,2.11935223443189E-05,2.44739256988331E-05
336,0.0203881514157354,0.0160729059308944,2.09987496415445E-05,1.27261946807366E-05
342,0.00996310640203735,0.0248380540722334,6.38170751253628E-06,2.94809933766233E-06
348,0.0237675343866596,0.0309497805944714,7.44615834192574E-07,2.91727346156884E-07
354,0.0738332777650927,0.0557026924796311,6.80110684297844E-07,9.69452269911449E-07
360,3.40876158913134,1.80690272569197,4.5576894055089E-06,2.16773327223997E-06
