"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.45951941555063,1.81469920156969,0.000160489137947678,0.000194008212139031
6,0.124412798083362,0.133448613984432,0.000223071512650669,0.0002068034329376
12,0.10014103953053,0.0238995791854276,0.000139888376469702,6.66248788693179E-05
18,0.0710131063407204,0.042266710180616,2.0970845121336E-05,3.29338700949158E-06
24,0.0238093460698205,0.0347762430312727,3.1024359467701E-07,1.67112497711843E-06
30,0.0296043798271749,0.0156436237375369,2.96506997884379E-06,3.2283359308775E-06
36,0.0096665635769558,0.0112085038056555,2.56806764008088E-06,1.49287699737321E-06
42,0.014297937526363,0.0155298341448621,5.38548325210454E-07,5.38645575647156E-08
48,0.0140903528752415,0.010907782593504,1.11927102472428E-07,6.21753549214662E-07
54,0.0094011925051838,0.0152909497805602,1.43719676498446E-06,2.27722738493888E-06
60,0.0287962912141614,0.0338276031305734,2.74542334334026E-06,2.52625053182232E-06
66,0.0234819483570617,0.0400423072795454,2.20488705928879E-06,2.34084598237432E-06
72,0.0649020919635639,0.0210579213107895,2.32213561611168E-06,2.10080148257342E-06
78,0.0964376216288153,0.120491688712186,1.41617920868663E-06,3.49403661487116E-07
84,0.133203814202441,1.84574454980547,1.76197556053142E-07,7.42976016089224E-07
90,3.47206468031116,1.8386679946572,8.29022916223407E-07,7.82707616885526E-07
96,0.132672131321666,0.125619655765104,2.61252113089817E-06,4.4903843164607E-06
102,0.0958811192257754,0.025027780362631,5.30489505021283E-06,3.63750043336661E-06
108,0.0729067982372463,0.0429561324595329,3.82566484507631E-06,4.16337166800983E-06
114,0.0234419850926551,0.0336844971979826,2.35528521496748E-06,1.49793232163951E-06
120,0.028303389434516,0.0148708078156718,2.07630797034443E-06,2.4436485087821E-06
126,0.00976751418351005,0.0120618693687694,1.97481962068246E-06,1.08729557552229E-06
132,0.015612899826262,0.0170268922739689,2.82330842512053E-07,1.31798217977364E-08
138,0.0154837077282321,0.0118405354177305,7.37188913767612E-07,2.89411280148456E-06
144,0.00955122178025348,0.0147378359942509,6.70081615967539E-06,1.18033058533327E-05
150,0.0281637934418136,0.0334662428805622,1.70991425724168E-05,2.17188516522044E-05
156,0.0228918143269253,0.0395929605445936,2.66920960836718E-05,3.58995239266768E-05
162,0.0648938543197949,0.0211142690018138,5.3179504862447E-05,7.54272017432443E-05
168,0.103879322118227,0.13109970503543,9.40496344194875E-05,0.000109410338696464
174,0.125660344188202,1.83379634006116,0.000124841166159056,0.000139432215539634
180,3.45950100347804,3.21630771026242,0.000160364667746034,0.000163172410662308
186,0.911579222002744,0.0599933913066245,9.47098442152715E-05,2.16326892791665E-05
192,0.0761597464900119,0.0328087853186876,2.46568213396853E-06,7.06836730078819E-06
198,0.0222556294533671,0.0252124087240902,1.39487095200088E-05,2.33434449953694E-05
204,0.011752363454745,0.0172317389786683,4.62343506229441E-05,6.05737063882474E-05
210,0.0197565427735248,0.00894545777495028,6.03830300252217E-05,5.45766428716494E-05
216,0.0150738148761947,0.0228028156374452,4.63261856636843E-05,3.53175386938159E-05
222,0.022836288058769,0.0200378610677303,2.34770986569996E-05,1.34675472024884E-05
228,0.0187356374946789,0.0200534094077726,6.87547245455114E-06,3.90790208700638E-06
234,0.0228896480289102,0.0230694774784432,3.65226050588989E-06,3.67518198369815E-06
240,0.0159371119596285,0.010068713673065,1.6725481036424E-06,6.48398284515121E-08
246,0.0194666946911993,0.0156691206648882,2.75476343467809E-06,2.97591357366094E-06
252,0.010098858770541,0.0252031145621168,2.36674195014479E-07,3.77404875345261E-07
258,0.0246334536048415,0.033760701569637,1.81481903688061E-06,2.64796889344599E-06
264,0.0734204626386692,0.0533018554562866,3.57565149555291E-07,5.74621017858259E-07
270,0.922061725494704,3.20368700522995,2.30405741060573E-06,1.03290923711656E-06
276,0.918219590457634,0.0585991999118853,1.09465476960198E-06,1.71622254771E-06
282,0.0767396791972808,0.0342542183847638,1.7774774262692E-06,7.05524247913008E-07
288,0.0248559244050063,0.0252829845194596,2.82018148418882E-06,2.14212383373082E-06
294,0.0102400196614696,0.0161826472225214,3.28199364639024E-06,3.04903418968848E-06
300,0.0206485039043936,0.0105491126463647,2.49122300106994E-07,2.52184168160221E-06
306,0.016408063902775,0.0239267277048274,7.5843128501494E-06,9.03439319539392E-06
312,0.0238362980073113,0.0208723274289958,6.60877918452815E-06,3.18369439926849E-06
318,0.0193817941677673,0.0204883647178286,7.27492933537879E-07,2.66355663030266E-08
324,0.0230243696009853,0.0226980444590381,1.35183472517302E-06,4.47907278425671E-06
330,0.01501715508496,0.00951917827806527,9.20416665237075E-06,1.70455638054655E-05
336,0.0201808522250454,0.0163239925540918,2.68293118910485E-05,2.97427133140806E-05
342,0.0120174629270366,0.0263532248984612,2.01859032164696E-05,8.72163495342469E-06
348,0.0216958744364391,0.0319287090849762,6.85658717115977E-06,5.03089126334002E-06
354,0.0751015825175188,0.0559516029644405,1.04217985822654E-06,3.57226566895124E-05
360,3.45951941555063,1.81469920156969,0.000160489137947678,0.000194008212139031
