"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90deg'"
0,1.69852578382308,0.915982435813873,3.60658858347357E-05,1.74209319331912E-05
6,0.0723959513232065,0.0545458824293477,5.13737037144487E-06,2.9503066913884E-06
12,0.0504854802246806,0.0150106199031869,6.97936596456351E-06,9.58133679197236E-06
18,0.0262833943452812,0.0128083237447354,7.3520542551344E-06,5.50655855754635E-06
24,0.0119924940419133,0.0208318130105116,3.43051434978399E-06,1.05436359044675E-06
30,0.0170484019611148,0.00849319286647143,9.45263525361814E-08,2.09698818700778E-07
36,0.00498341372059762,0.00590582073867713,3.83140894343935E-07,3.82186548806239E-07
42,0.00772891211861593,0.0085147453216759,3.51666038068786E-07,4.23929591580908E-07
48,0.00780516197804429,0.00607213814882485,6.67320788569699E-07,1.16235272961547E-06
54,0.00514773310101489,0.00832312583115616,1.98029785544371E-06,3.11293679076281E-06
60,0.0161844722688721,0.0196347567471068,4.16933321474874E-06,4.39076944425809E-06
66,0.0115254298297883,0.0129458894962503,2.99082883714982E-06,8.10483601398447E-07
72,0.0261638699830271,0.0156014525975188,4.27782322146774E-08,1.22205139767686E-07
78,0.0505573233698249,0.053842575625213,9.69672305765802E-08,1.00067808192116E-06
84,0.0722967237657553,0.910462301369992,5.12349915859288E-07,4.41210364747225E-08
90,1.69888636764537,0.91658951500481,4.18418182758782E-07,1.96795286381423E-07
96,0.0733237765814532,0.0529092557730645,4.33608667010921E-07,2.16820197457805E-06
102,0.0507104779696705,0.0164597364252285,2.4533637403008E-06,2.2805839581962E-07
108,0.0267460705156329,0.0128371477714475,1.04096408284598E-06,4.89246534040721E-06
114,0.0113596213902659,0.0196122676685385,9.57192056870301E-06,1.28867214902223E-05
120,0.0162700576341748,0.00854217473576328,1.24603760649672E-05,8.9262637638811E-06
126,0.0054496005086419,0.00636912999601187,4.82745993001362E-06,1.79080150277264E-06
132,0.00806943004430609,0.00879570276331368,3.97266263665324E-07,7.64576418234665E-07
138,0.0081120280116495,0.00642112323765558,3.09005155495476E-06,7.66560355626154E-06
144,0.00544899351008051,0.00841141989695919,1.48029621555453E-05,2.44922164371016E-05
150,0.0160217319952186,0.0194786621156634,3.47028952292546E-05,3.850452169061E-05
156,0.0114070602280992,0.0121608110937852,2.76785010718553E-05,8.09775358752361E-06
162,0.0246943726486302,0.0147434535002095,5.63518785598435E-07,8.55807122431224E-06
168,0.0519057300645839,0.0566886772921081,1.43135394850442E-05,1.55926085851598E-05
174,0.069646038769584,0.904669062242693,2.29349883298541E-05,3.65275714248021E-05
180,1.69854279426032,1.70668393567757,3.60156015256649E-05,2.8380757417354E-05
186,0.916868698583601,0.0755961073470626,3.25791500635354E-05,2.62757271486541E-05
192,0.0547187998661907,0.0487550068603417,2.06617945549156E-05,2.27838327873753E-05
198,0.0137999610957664,0.0252511522695618,2.51665072692804E-05,1.84159643481068E-05
204,0.0124182413624078,0.0112353262104668,7.72225134638443E-06,2.88585369202627E-06
210,0.0196299020843474,0.0164004883553822,3.07938863559429E-06,3.59289922973051E-06
216,0.00853053497200891,0.0051676566604862,2.9186698106465E-06,1.80093028657103E-06
222,0.00589251225275119,0.00751817380194582,8.79336539426293E-07,3.23729613782177E-07
228,0.00824303694178791,0.00761624690674191,5.48805257351092E-08,2.18117880850059E-08
234,0.00608101911651281,0.00542674444556435,3.71961679134482E-07,1.41615537493884E-06
240,0.00880545464341157,0.0165557843047873,3.34828172894867E-06,5.63420347455867E-06
246,0.0195784450509691,0.0114025922155381,6.81429222391712E-06,5.5149794937154E-06
252,0.0136195586907979,0.0272249997394826,2.32507782068641E-06,1.35178554324305E-07
258,0.0159159089213893,0.0521181798123265,2.2691495400787E-07,3.56511519364527E-07
264,0.0554937611542374,0.069479531029456,1.06063113466418E-06,8.86500929453436E-07
270,0.911285204665911,1.69837498476769,9.87365151270664E-08,9.16537407207443E-07
276,0.906191693840018,0.0687569989109683,5.36607690865346E-07,3.89809607660002E-07
282,0.0545713307930485,0.0508461549932284,2.55206693399439E-07,9.33166446463575E-07
288,0.016318928624901,0.0270326703323032,1.17428060371235E-06,1.43521695624439E-06
294,0.012981109777433,0.0113535539126595,1.78097584669492E-06,2.83385100867221E-06
300,0.0195434266564332,0.0160535994065853,4.30883413765016E-06,4.31882194510541E-06
306,0.00823104631265015,0.00526056791331365,2.96338137848924E-06,1.5859098457749E-06
312,0.00641955054776435,0.00829840126834648,7.75850612771705E-07,3.92404921317831E-07
318,0.00904313274218084,0.00821010839106946,2.42693979866646E-07,2.35422240812961E-07
324,0.00626258059947526,0.0050916584971374,3.14435294119516E-07,4.40963689200708E-07
330,0.00819097675445576,0.0163383445437876,5.23892094538147E-07,4.57148934859676E-07
336,0.0200729102692394,0.0115153206914998,3.71521298935371E-07,1.22554508696159E-06
342,0.012366264106981,0.0256793448296902,5.00969228480273E-06,1.20780583619342E-05
348,0.0142623126045648,0.0496158178284129,1.80212927240797E-05,1.82409550196652E-05
354,0.0555901001784235,0.075965415080402,1.49425991787685E-05,1.37577007189348E-05
360,1.69852578382308,0.915982435813873,3.60658858347357E-05,1.74209319331912E-05
