"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.37147345783418,0.0135492640261865
6,1.82369701937178,0.0124026850789152
12,1.78024031884635,0.00818593542421441
18,0.134427520015098,0.00944654909385576
24,0.12914738470316,0.00036541399797733
30,0.0793183424921968,0.000364717096453137
36,0.0459875914078993,0.00938241160122552
42,0.0258715707305318,0.00942284910728383
48,0.00473825472543863,0.00120875373930433
54,0.00150391103739508,0.000494175280240227
60,0.00567488236179723,0.00228284551492278
66,0.00141334925253721,0.00123370924945778
72,0.00110370034016851,0.0031184371556456
78,0.00189522743752913,0.00391891321057239
84,0.000994583792238069,0.00139915643461212
90,0.00133734996868121,0.000696969066391983
96,0.000465696022182878,0.00212832584994262
102,0.000862763311209631,0.00686399985653375
108,0.00120401766953416,0.00802215589441667
114,0.000784490396828662,0.0049968001978411
120,0.000310572954341428,0.00263151878443824
126,0.00041376674212483,0.00250929498763398
132,0.00546980573659177,0.00376404827755128
138,0.00481769227960744,0.0487786539795103
144,0.00333026383909181,0.0641014513026985
150,0.00516873884309204,0.0213645534171937
156,0.00525200693664611,0.037634447793975
162,0.00423404025160564,0.973360635441086
168,0.00509781669802783,0.923484349683001
174,0.00450430851333576,3.18376801572922
180,0.0197209830753919,3.15924741479222
186,0.0206842847818984,3.18455605463306
192,0.00524610469759364,0.922355921719409
198,0.00760883745881051,0.957082195279354
204,0.00524955330797945,0.038255955022649
210,0.00702505210425018,0.0248187751066797
216,0.00349179108152311,0.0648919514932985
222,0.00166099823296986,0.0514920080045372
228,0.0051824960937081,0.00372703922900888
234,0.00375358656002972,0.00222153999546989
240,0.000278074291106792,0.00243580001805078
246,0.00181160353016934,0.00419169674322176
252,0.00108984346822871,0.00786633660765554
258,0.00117719445798332,0.00592155167667166
264,0.000511314531084528,0.0020623447833878
270,0.00197036208200317,0.000732529410053281
276,0.00066922138918787,0.00138666650476367
282,0.000718695585573254,0.00473713361418175
288,0.00138610762425386,0.00321012626185664
294,0.0093335134198106,0.00171935583934519
300,0.00668144534223945,0.00212571670985493
306,0.00516536570139001,0.000290425084235124
312,0.00433100714268231,0.0011177812618021
318,0.0164727725827114,0.0092644991333872
324,0.0416525725948522,0.00882853462604118
330,0.131849934582502,0.000458533850099169
336,0.136232031880497,0.000312183827913441
342,1.76090741854263,0.0101172004894479
348,1.81575549089274,0.00821683857887018
354,3.36980035238765,0.0124027029724346
360,3.37147345783418,0.0135492640261865
