"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.45967990468858,1.81489320978183
6,0.124635869596013,0.13365541741737
12,0.100280927907,0.0239662040642969
18,0.0710340771858418,0.0422700035676255
24,0.0238096563134152,0.0347779141562498
30,0.0296073448971537,0.0156468520734677
36,0.00966913164459588,0.0112099966826528
42,0.0142984760746883,0.0155298880094197
48,0.014090464802344,0.0109084043470532
54,0.00940262970194878,0.0152932270079452
60,0.0287990366375048,0.0338301293811053
66,0.023484153244121,0.0400446481255277
72,0.06490441409918,0.0210600221122721
78,0.096439037808024,0.120492038115847
84,0.133203990399997,1.84574529278149
90,3.47206550933407,1.83866877736481
96,0.132674743842797,0.125624146149421
102,0.0958864241208256,0.0250314178630644
108,0.0729106239020914,0.0429602958312009
114,0.0234443403778701,0.0336859951303042
120,0.0283054657424863,0.0148732514641806
126,0.00976948900313073,0.0120629566643449
132,0.0156131821571045,0.0170269054537907
138,0.0154844449171458,0.011843429530532
144,0.00955792259641315,0.0147496393001042
150,0.028180892584386,0.0334879617322144
156,0.022918506423009,0.0396288600685202
162,0.0649470338246574,0.021189696203557
168,0.103973371752647,0.131209115374127
174,0.125785185354361,1.8339357722767
180,3.45966136814579,3.21647088267308
186,0.91167393184696,0.0600150239959036
192,0.0761622121721459,0.0328158536859884
198,0.0222695781628871,0.0252357521690855
204,0.011798597805368,0.0172923126850566
210,0.01981692580355,0.00900003441782193
216,0.0151201410618584,0.022838133176139
222,0.022859765157426,0.0200513286149328
228,0.0187425129671334,0.0200573173098596
234,0.0228933002894161,0.0230731526604269
240,0.0159387845077321,0.0100687785128935
246,0.0194694494546339,0.0156720965784619
252,0.010099095444736,0.0252034919669922
258,0.0246352684238784,0.0337633495385304
264,0.0734208202038187,0.0533024300773045
270,0.922064029552114,3.20368803813919
276,0.918220685112404,0.058600916134433
282,0.0767414566747071,0.0342549239090118
288,0.0248587445864904,0.0252851266432933
294,0.010243301655116,0.016185696256711
300,0.0206487530266937,0.0105516344880463
306,0.0164156482156251,0.0239357620980228
312,0.0238429067864958,0.0208755111233951
318,0.0193825216607009,0.0204883913533949
324,0.0230257214357104,0.0227025235318223
330,0.0150263592516124,0.00953622384187073
336,0.0202076815369364,0.0163537352674059
342,0.012037648830253,0.0263619465334146
348,0.0217027310236103,0.0319337399762395
354,0.0751026246973771,0.05598732562113
360,3.45967990468858,1.81489320978183
