"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90deg'"
0,1.69531865045187,0.907102664864352,4.47861769819901E-05,4.50582619024297E-05
6,0.0714922617159083,0.057704505470488,5.55550800032252E-05,5.95532270198456E-05
12,0.0524180707997328,0.0156825970651122,4.53697138596709E-05,2.55046110367346E-05
18,0.0254219496948912,0.012103765284032,1.24420227017957E-05,6.83440993177631E-06
24,0.0114792644485296,0.0200486568188158,4.14024601554994E-06,2.24732561168947E-06
30,0.0167541216616978,0.00900070187809957,1.00772786184738E-06,4.0214260188556E-07
36,0.00578227182940377,0.00652939469603903,1.910515267254E-07,1.60836591779291E-07
42,0.0080977792599567,0.00875700710366193,1.73407996830283E-07,1.81424228571834E-07
48,0.00806770014213336,0.00643626748470258,1.78565707045564E-07,1.65587119883681E-07
54,0.00560233778903536,0.0087780376679808,1.54429613044151E-07,1.8375011427164E-07
60,0.0165705192713373,0.0199141392934826,3.24158658861044E-07,6.25065198562086E-07
66,0.0116090653095701,0.0130435886235082,1.09376379596699E-06,1.61900206783296E-06
72,0.0265336570507924,0.0154647624327076,1.71993132829353E-06,1.06966908875423E-06
78,0.0510148534377174,0.0549138795836184,4.31476436059856E-07,2.25600035357123E-07
84,0.0689080040923745,0.903274256637988,3.31649380759069E-08,1.81809690201568E-07
90,1.68480345194956,0.899722050576282,2.47599678413142E-07,4.85164388330464E-08
96,0.0687805817574674,0.0552399630894266,2.49765326880757E-09,4.75573002321862E-08
102,0.0510177240737103,0.0157726895593004,3.30305939886619E-07,3.8649234922351E-07
108,0.0263894640648805,0.0126279794359247,1.00050314426822E-07,2.78666236544013E-07
114,0.0113211059812296,0.0199264050124439,9.08284578983533E-07,1.16332157231265E-06
120,0.0166985318662034,0.00875647108661875,8.689010093623E-07,4.68564827771972E-07
126,0.00541700639481768,0.00621538861891674,2.19045411597538E-07,9.99534444854964E-08
132,0.00789340722282508,0.00862577356856951,5.78521111088076E-08,9.15574468970627E-08
138,0.00796441208310012,0.00636511592374657,2.56821135344575E-07,7.03481088349346E-07
144,0.00564549067678064,0.00904349206725137,1.68716443578458E-06,3.49082795389628E-06
150,0.0170119250843945,0.0202011800066136,6.15779128913565E-06,9.41260638367832E-06
156,0.0113804898995267,0.0121847352937143,1.4052084865457E-05,2.36026515122577E-05
162,0.0254142198648465,0.0151136343182475,4.13349547608435E-05,5.80678680292145E-05
168,0.052031037630939,0.0569699098107537,5.70587555697948E-05,4.67965791941383E-05
174,0.071252283753314,0.908580979625358,4.38653943696987E-05,4.57359003181903E-05
180,1.69531865033556,1.69458040747154,4.47861774653337E-05,4.4997382677243E-05
186,0.908639605476515,0.0711151589535275,4.60316682018149E-05,3.61335546109559E-05
192,0.0572179890169724,0.0537709150424559,2.56353014622715E-05,1.25949065832238E-05
198,0.015613389274489,0.0250078568742369,2.11931550954016E-06,7.6304182354138E-06
204,0.0123512037748957,0.0116800685415962,2.21549638204465E-05,3.04337150346368E-05
210,0.0199969924070852,0.0165059356090092,3.11621147967156E-05,2.79440339871975E-05
216,0.00854501055838787,0.00521533628327995,2.21378359505999E-05,1.51229304899844E-05
222,0.00597618046385853,0.0075997381689479,8.93411928477982E-06,4.57260886359262E-06
228,0.00827490518244595,0.00754991350537591,1.97341526254754E-06,6.94841220143631E-07
234,0.00589354222008305,0.00514393436813359,3.35223421117107E-07,6.54028969885778E-07
240,0.00848140564968905,0.0162069494168258,1.50052036684355E-06,2.82790789724848E-06
246,0.0191888862187913,0.0110210689736649,4.27764364714487E-06,4.56789954100169E-06
252,0.0129924045829141,0.0260801803708638,2.95579075533969E-06,1.27147121442168E-06
258,0.0151959201803769,0.0503898862285941,5.83719803568517E-07,1.52909088994786E-08
264,0.0524262705186408,0.0709833650176568,6.4322387496085E-07,1.14750416320295E-06
270,0.907742860379342,1.68786879722987,3.41548073577094E-07,1.8116423838395E-07
276,0.904623668186617,0.0701538993546646,8.14791556722125E-08,1.96346320743581E-07
282,0.0543778850615147,0.0510643380601544,6.37961260975634E-08,4.09992479674307E-07
288,0.0154587804577396,0.0261313880993024,2.13546010441428E-07,4.11752689414279E-07
294,0.0129182570545692,0.0113793649671085,1.07630965950204E-06,6.29002481714341E-07
300,0.0193265612451815,0.0159708046507114,1.00192362149924E-07,9.2266966683161E-08
306,0.00837531771322902,0.00532581557362614,1.22054866137927E-07,1.30403195659263E-07
312,0.0061903359702389,0.00781295762268916,3.01363951122607E-07,6.64045142842582E-07
318,0.00847473193331563,0.00776963759729242,1.10878719613947E-06,1.5085703025113E-06
324,0.00615017427808811,0.00538760366171764,1.7897915236305E-06,2.02471698809966E-06
330,0.00865269231699497,0.0164352237811034,2.4372865367948E-06,3.30427327317839E-06
336,0.0196754074613975,0.0112396430923645,4.72039632994264E-06,6.48589030696495E-06
342,0.0121112686030426,0.0251340267130529,8.43055604448248E-06,1.09825693721691E-05
348,0.0156571205339041,0.0519892614150261,1.34896630510529E-05,1.36031097850959E-05
354,0.0547164539841653,0.0716614468657915,1.33528733746191E-05,1.84045221511713E-05
360,1.69531865045187,0.907102664864352,4.47861769819901E-05,4.50582619024297E-05
