"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.37143772903233,0.0135489545618987,3.57288018472943E-05,3.09464287800729E-07
6,1.82369682612873,0.01240073609374,1.93243045065046E-07,1.94898517515792E-06
12,1.7802135666095,0.00784783474547175,2.67522368477591E-05,0.000338100678742663
18,0.133235730794159,0.00816357913305877,0.00119178922093868,0.00128296996079699
24,0.125808724551069,0.000131553341739492,0.00333866015209062,0.000233860656237838
30,0.0763556195058047,8.63006635857103E-05,0.00296272298639215,0.000278416432867427
36,0.0422928545176351,0.0069787545523655,0.00369473689026417,0.00240365704886002
42,0.0253845389094099,0.0061134931219478,0.000487031821121877,0.00330935598533602
48,0.00412558491517482,0.000897603349660291,0.000612669810263811,0.000311150389644036
54,0.00106289959724653,0.000425850100739804,0.000441011440148549,6.83251795004222E-05
60,0.00480286412582366,0.000212817831630563,0.000872018235973569,0.00207002768329222
66,0.000698357702127093,6.95885665689675E-05,0.000714991550410116,0.00116412068288882
72,0.000930446360631163,0.00258681668199009,0.000173253979537343,0.000531620473655514
78,0.00137685802224045,0.00330059759327817,0.000518369415288683,0.000618315617294217
84,2.02615652578164E-05,0.000412314876039771,0.000974322226980253,0.000986841558572346
90,0.000348978142306862,5.12068611228497E-06,0.00098837182637435,0.000691848380279698
96,0.000295229855724667,0.00201078219873633,0.000170466166458212,0.000117543651206283
102,0.000536228664051808,0.00634954628521491,0.000326534647157823,0.000514453571318837
108,0.00116457551689062,0.00703589889542808,3.94421526435374E-05,0.00098625699898859
114,0.000749081938599527,0.00390342018067198,3.54084582291351E-05,0.00109338001716911
120,8.37268241919972E-05,0.0014226783270665,0.000226846130149431,0.00120884045737174
126,0.000268048853821239,0.00120306667020405,0.000145717888303591,0.00130622831742992
132,0.00328845722402967,0.00191028712676459,0.0021813485125621,0.00185376115078669
138,0.00233595400728576,0.0485708216686845,0.00248173827232168,0.000207832310825876
144,0.00217128384993111,0.0637327669785783,0.0011589799891607,0.000368684324120244
150,0.00440292695769271,0.0178567215416593,0.000765811885399324,0.00350783187553445
156,0.00418474547649941,0.0356553511447224,0.0010672614601467,0.00197909664925265
162,0.00393937097686527,0.971656261701852,0.000294669274740365,0.00170437373923391
168,0.00436789701109729,0.92283375062537,0.000729919686930544,0.000650599057631434
174,0.00450419352663665,3.18373921646912,1.14986699106508E-07,2.8799260094643E-05
180,0.0197209476235643,3.15924686805319,3.54518275833111E-08,5.46739031963014E-07
186,0.0206838294796746,3.18432111946692,4.55302223805701E-07,0.000234935166139352
192,0.00452196535967668,0.921705122840053,0.00072413933791696,0.000650798879355986
198,0.00471739628082442,0.954265911889676,0.00289144117798609,0.00281628338967822
204,0.00415531247269831,0.0362401749210251,0.00109424083528114,0.00201578010162392
210,0.00482972266410583,0.0199441648898042,0.00219532944014434,0.00487461021687541
216,0.00232974391283663,0.064519535356814,0.00116204716868648,0.000372416136484518
222,0.000626807066312126,0.0513010456644987,0.00103419116665773,0.000190962340038481
228,0.00297472065964276,0.00188838128110988,0.00220777543406534,0.001838657947899
234,0.00264278408162181,0.001494592453282,0.0011108024784079,0.00072694754218789
240,5.50373267553971E-05,0.00138937424124338,0.000223036964351395,0.0010464257768074
246,0.00149696580775552,0.00339090280415745,0.000314637722413822,0.000800793939064309
252,0.00102806778358679,0.00696956019194305,6.177568464192E-05,0.00089677641571248
258,0.00116665893686523,0.00546483845105894,1.05355211180942E-05,0.000456713225612721
264,0.000377209421543347,0.00195125246094023,0.000134105109541181,0.000111092322447565
270,0.00180832285942888,4.58542445194657E-05,0.000162039222574287,0.000686675165533815
276,2.57527623261093E-06,0.000429096742888954,0.000666646112955259,0.000957569761874711
282,0.000275896826231636,0.00401636540103664,0.000442798759341619,0.000720768213145113
288,0.00106239051703996,0.0027004058629846,0.000323717107213902,0.000509720398872041
294,0.00902374463954042,0.000252062937320669,0.000309768780270175,0.00146729290202452
300,0.00561622585615517,0.000126730932995441,0.00106521948608428,0.00199898577685949
306,0.00415825522467206,0.000225057865145021,0.00100711047671795,6.53672190901027E-05
312,0.00353094873231891,0.000730211481772687,0.000800058410363398,0.000387569780029414
318,0.0130983551411909,0.00601438028061771,0.00337441744152042,0.00325011885276949
324,0.0374055175016677,0.00652605852155178,0.00424705509318446,0.0023024761044894
330,0.126018684752258,0.000222927253342435,0.00583124983024446,0.000235606596756734
336,0.132376205992879,8.8621631210662E-05,0.00385582588761756,0.000223562196702779
342,1.7604034314324,0.00862422521945612,0.000503987110229128,0.00149297526999177
348,1.81564073012957,0.00787107800893726,0.000114760763171575,0.000345760569932921
354,3.36977291576293,0.0124007539329263,2.74366247216093E-05,1.94903950827643E-06
360,3.37143772903233,0.0135489545618987,3.57288018472943E-05,3.09464287800729E-07
