"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.43495868336709,0.0137451019988661
6,1.83344599026677,0.0124136766256027
12,1.81871854627036,0.00786204754253858
18,0.136192830814628,0.00952860640301299
24,0.137950026028917,0.000327825061584231
30,0.0783026561896077,0.000383261398051343
36,0.0421444249182047,0.00929133283221978
42,0.0254719083632327,0.00891477084489079
48,0.00449841220823315,0.00123037175471454
54,0.00141332710010092,0.000454128328747938
60,0.006955950278811,0.00222008366044622
66,0.00143817018714924,0.00109951626472355
72,0.00126673233636618,0.00318972915040636
78,0.00201130029254117,0.00410926711907572
84,0.000675507303210199,0.00142783984953897
90,0.00145264317061661,0.000757476438670928
96,0.000516703836188886,0.00204905548383734
102,0.000829834438805245,0.00676871546583199
108,0.00125568333235809,0.00764744456679285
114,0.000832759965861444,0.00520256520558583
120,0.000296668243642013,0.00238219873116453
126,0.000301502719637019,0.00249760115453571
132,0.00555880431508472,0.00379424019804501
138,0.0047942660065973,0.050969629370685
144,0.00354800287075226,0.0655949034989144
150,0.00479329199248906,0.0246766370194929
156,0.00510556958360684,0.0380728087550382
162,0.00431299034470094,0.964308504723651
168,0.00530831663288395,0.931343561945399
174,0.00429800420798274,3.18629448536455
180,0.0190938637100495,3.18027156622492
186,0.0209746364033433,3.18760780099822
192,0.00504773854413031,0.928311565600254
198,0.00788183472854229,0.963210127287473
204,0.00519158957988774,0.0378212206239055
210,0.00735710992942644,0.0251038549598644
216,0.00364510365739971,0.0646938109069528
222,0.0017020862609827,0.0499176734049879
228,0.00555411504940915,0.00414783760368347
234,0.00369730147357733,0.00219985234218064
240,0.000248090391054301,0.00269059087147949
246,0.00175646958392411,0.00480710577270067
252,0.000968674068341806,0.00794485975867094
258,0.00102455962946032,0.00642990538006455
264,0.00056404515188972,0.00218764015142377
270,0.00226156894847326,0.000751222843309059
276,0.000687385597584975,0.00137481057350004
282,0.000733829832760133,0.00422814609691855
288,0.00142513626572841,0.00284347432770195
294,0.00836851890921362,0.00104551692119338
300,0.00680597436835257,0.00224133080619572
306,0.00452853445773481,0.000405908458877524
312,0.00428666261255967,0.001157308210668
318,0.0148341328370783,0.00888590508916062
324,0.0410782494063252,0.0091572379448258
330,0.136425323925085,0.000461493960845213
336,0.137571573706675,0.000321214840590432
342,1.7949401879545,0.00997782408085593
348,1.82609285515533,0.0083191197691712
354,3.43289050826519,0.0124144199128855
360,3.43495868336699,0.0137451019988659
