"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.44726668694511,0.0135043550428287,5.74410602157834E-06,5.18434119222619E-08
6,1.82218902378138,0.0126578310912754,5.1517513911847E-08,2.93659085488217E-07
12,1.8270860478337,0.00781705350833481,7.40480381054107E-05,0.000360327800907824
18,0.131971306318547,0.00825422207989179,0.00125000952600104,0.00140747613216601
24,0.133812500458656,8.57432100730697E-05,0.00372481421418141,0.000249883943404289
30,0.0750544784563789,0.000146634957417201,0.00300565801619215,0.000291543274109378
36,0.0385554122974488,0.00697307793399134,0.00411864640166017,0.0023550096173828
42,0.0244921932924,0.00585882427252558,0.00050124480764587,0.00357146222750194
48,0.00353457131359536,0.000751105668795292,0.00076459021751986,0.000390048475014833
54,0.00090003639616198,0.000376744515951463,0.00043659620480339,3.94008965705586E-05
60,0.00616231818859676,0.000171680105268355,0.00110572796230462,0.00205100195924216
66,0.000629541495813693,7.11192700479252E-05,0.000709736411923782,0.00101654993445994
72,0.00120706621012864,0.00249605700989684,0.000272215381174754,0.000534546838044419
78,0.00160507369564162,0.00329174137174103,0.000542463859479968,0.000597868204629211
84,4.69172522075681E-06,0.000355871411704377,0.000663332440048824,0.00100267139695069
90,0.000409257538390176,7.39604839493277E-07,0.001011498929715,0.000733507079507378
96,0.000342441934829037,0.00203479302028856,0.000130062691106567,0.00010008849139159
102,0.00053405729444145,0.00640753154080104,0.000294323622162619,0.000398031055757606
108,0.00112479264960175,0.00698898444598211,5.22755801199878E-05,0.000925145709456782
114,0.000748506393132024,0.00430850969918751,4.39137218512409E-05,0.000782709229610662
120,2.66771890714197E-05,0.00161247456263208,0.000229100684616097,0.00123022712796069
126,0.00020750720945752,0.00158756049867612,0.000154916220473034,0.00092146490730902
132,0.00316409596688647,0.0021721628465469,0.00233217895033695,0.00190023551437498
138,0.00227524280426685,0.0517555722519395,0.00244137609602485,0.000152503575720503
144,0.00238222606729361,0.064987535562916,0.00126855758407405,0.00036029901423217
150,0.00436302748163628,0.0197651092704926,0.000761333869372145,0.00399427474832255
156,0.00427046328172167,0.0359878621928651,0.00109653456274743,0.00204299826939512
162,0.00386403792882198,0.960235594159887,0.000294840019228614,0.00203981638861846
168,0.00427605627742428,0.92381216112029,0.000756803269327109,0.000640014008954545
174,0.00440805175412936,3.18521522714631,2.30658021847542E-07,0.000110414680596648
180,0.0195932463525557,3.15943098662595,5.39058657853139E-08,1.16547966757191E-08
186,0.0208277271240722,3.18356662372128,5.20952088551355E-07,0.000140485040928243
192,0.00455871987399073,0.920446771923975,0.000770450652491046,0.000648207560891897
198,0.00504915987453427,0.956817769322789,0.00285601040296336,0.00226126740647516
204,0.00419579366882631,0.0362835988719327,0.00113876151918192,0.00198258840763597
210,0.00479692497412455,0.0198821913180214,0.00235943581928954,0.00406964343221401
216,0.0024959341789279,0.0645666233365817,0.00117048636926868,0.000391445628487487
222,0.000673204344955022,0.0514638328202344,0.00101556214650263,0.000186981538371671
228,0.00336728002669212,0.00198798219325674,0.00240247869846685,0.00192693244037712
234,0.00260252460147394,0.00170302954131575,0.00127192660628048,0.000947273767213733
240,3.44571925501484E-05,0.00147928288174959,0.000280693828453988,0.00118946572887847
246,0.00130204237325009,0.004466794642907,0.000310485101874472,0.000807519733373288
252,0.00103932660694769,0.00711273840029046,5.83824915959028E-05,0.000936716780279435
258,0.000969067662688898,0.00643485013367556,5.91072488759103E-05,0.000382840687178331
264,0.000411831470224845,0.00202161269154209,0.000111714121825619,0.00011012096477485
270,0.00202654545911806,4.22143900138178E-06,9.19288668788356E-05,0.000816779200018691
276,1.74862278953748E-07,0.000401573945161332,0.000662864454400183,0.0010473740943806
282,0.000275709813387239,0.00346419077512961,0.00035055781212336,0.000623864741612822
288,0.00105726761419852,0.00258206866283032,0.000316599979708987,0.000581697335477458
294,0.00808549808346444,7.64656492248544E-05,0.000406905532473738,0.00107332884004145
300,0.00589045279096348,0.000168476435791139,0.00110083556380143,0.00199107273102427
306,0.00351019556034366,0.000340800903313226,0.00120383486584002,3.89315968851355E-05
312,0.00347403419619212,0.000798441307982235,0.000770109197496806,0.000336708115111284
318,0.0105905697460015,0.00607888470754577,0.00380705422827738,0.00343945543602419
324,0.0376529265026356,0.00713660896591757,0.00414328132316562,0.00237542965670998
330,0.132886639264172,0.000129471075149731,0.00588945581229965,0.000312127592149287
336,0.130362988699032,0.000105219446147654,0.00383034684361228,0.000221109084384122
342,1.80317171878496,0.00844685671984221,0.000442316303316384,0.00142480510533275
348,1.81379459496798,0.00764371138803702,0.00010914155855222,0.000366223496418092
354,3.44345085252279,0.0126578306036667,0.000108867818434574,2.93652800674212E-07
360,3.44726668694501,0.0135043550428285,5.74410602157823E-06,5.18434119222589E-08
