"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,1.67744470862496,0.00772100661550094
6,0.90040706749631,0.00698950830594457
12,0.905844306735076,0.00776264960366857
18,0.0731550512277176,0.00905547790911219
24,0.0820757950798728,0.00804884919880082
30,0.0392055428334832,0.00759245728886014
36,0.0261497602928425,0.00189075537487568
42,0.0275095172110939,0.00208514492245593
48,0.0126028125166613,0.00639048611266123
54,0.00217240028669792,0.00446397184748747
60,0.000155995406799655,0.00110287055355721
66,0.00049539612402724,0.00197829404624472
72,0.000974898713672957,0.00126578914450963
78,0.000883527692771554,0.00166992858284392
84,0.000464565861292116,0.000242342518220249
90,0.000270920837506092,0.000437741914504188
96,0.000269491695522019,0.000410657868133331
102,0.000594311158320431,0.00492801151329953
108,0.00121796958657594,0.000903855042686943
114,0.00124146728095732,0.00464860476221441
120,0.00109293409665821,0.000150552692007642
126,0.000833208799244611,0.00272915839154989
132,0.00651901276530235,0.0125774473304467
138,0.0067449715619985,0.0130241308676081
144,0.00196874109061768,0.0253714752077141
150,0.00126711901967865,0.0893738400424926
156,0.00813209710262789,0.0791568131515296
162,0.00788408993718637,0.908021183487477
168,0.00789610037792443,0.901423968944421
174,0.00731605390251962,1.676763111592
180,0.00760783669101136,1.67211621098764
186,0.00698131726199187,1.67526249418644
192,0.00782212467611904,0.901731484985876
198,0.00909294600794369,0.90500504917216
204,0.00803743159413311,0.0796022011441341
210,0.00773079537403878,0.0880935341829534
216,0.00201611381528103,0.0254568831822054
222,0.00210353183544442,0.0135766563030648
228,0.00685058429895559,0.0129306770144578
234,0.00450304296045198,0.0028691731735855
240,0.0010438974268126,0.000138914621065761
246,0.00190169619244477,0.00455483545545574
252,0.00122862654492719,0.000951558589476663
258,0.00171743213315202,0.00473626418940674
264,0.00023981475328837,0.000443269337758441
270,0.000404487793823042,0.000331418035064947
276,0.00039938645723975,0.000216175697807786
282,0.00475439088795181,0.00173683346185455
288,0.00090046208561753,0.00124589216874412
294,0.00474786884306225,0.00199361641548094
300,0.000143220684285218,0.00106627981933347
306,0.00234039605802842,0.00452861893124146
312,0.0129407551089361,0.00657911298948388
318,0.0131129545700116,0.00223757562662284
324,0.0254871794624107,0.00203756368153822
330,0.0899754217390393,0.00758359278500782
336,0.07913130811177,0.00792364826290647
342,0.907611187474107,0.00927907419462286
348,0.901738947825005,0.00798620414008403
354,1.67666323069405,0.00698939872482117
360,1.67744470862491,0.00772100661550085
