"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,1.67301098555052,0.00763886285642235
6,0.903573432367552,0.00697174306930991
12,0.90804063308106,0.00784504526560358
18,0.073934459297545,0.00899929671319942
24,0.0824104236534076,0.00804139540669122
30,0.038948754054298,0.00757325074886713
36,0.0258171384439999,0.00199588254337797
42,0.0274966015382274,0.00235119676184966
48,0.0126547624643321,0.00664197341871313
54,0.00214945728866588,0.0047099465830434
60,0.000140824636803625,0.00109207850890379
66,0.000508458180711238,0.00206389325953168
72,0.000987906578541298,0.00121835780400689
78,0.00087825621383436,0.0018735200548315
84,0.000442128156706105,0.000244670208135271
90,0.000223831526854089,0.000474580679770659
96,0.000208530892029589,0.000416965921179039
102,0.000556283563853965,0.00502758765672763
108,0.00126347431353332,0.000912536413617897
114,0.00122874557132519,0.00485343834396966
120,0.000994064050382104,0.000146409507079252
126,0.000827900914779107,0.00236078901874311
132,0.00667358392446179,0.0128485036811706
138,0.00683566478197961,0.0122648016265358
144,0.00194282477802805,0.0254772047909585
150,0.00126267680495119,0.0908055824369545
156,0.00807193188209054,0.0793719702137057
162,0.00813389537527762,0.91073362007696
168,0.00784428778803843,0.903154945026222
174,0.00749985218749772,1.67615451155633
180,0.00759329563190827,1.6730328693125
186,0.00715423819394778,1.67579205490141
192,0.0079522291125125,0.900511361004134
198,0.00920171067823312,0.905444860664256
204,0.00821840249988839,0.0794566433910704
210,0.0078300360676438,0.0882925281492009
216,0.00199686280968161,0.0249501833767671
222,0.00207821695426662,0.0126877708803973
228,0.00677438078034632,0.0127444065810457
234,0.00445676715019998,0.00271819300671721
240,0.0010949923755193,0.000126750956078228
246,0.00194863735594794,0.00411462241327693
252,0.00125950693224554,0.000912234553038685
258,0.00164447928139381,0.0043842397536118
264,0.000249777446489743,0.000420768811846692
270,0.000440937525203931,0.000352881624583559
276,0.000460276340675899,0.000248944242618447
282,0.00504281963707678,0.00175454442798312
288,0.000946736536227313,0.00133056793460221
294,0.00486250748758228,0.0020172936919595
300,0.000136067298801288,0.00108247261964218
306,0.00241304781874354,0.00432976495417333
312,0.0128704566949594,0.00649493765850259
318,0.0127290114014521,0.00217520327019105
324,0.0252568687990462,0.00197608817149461
330,0.0898963883692659,0.00773961353468978
336,0.0798168167243914,0.00798525775030661
342,0.909838199581664,0.0091931839746544
348,0.904945148720978,0.00791460555308253
354,1.67286257542834,0.00697159013711965
360,1.67301098555047,0.00763886285642226
