"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,1.67299159152829,0.00763884609486265,1.93940222305055E-05,1.67615596979835E-08
6,0.903573254177337,0.00697159227548738,1.78190215699036E-07,1.50793822528171E-07
12,0.907977918257894,0.00745643396299207,6.27148231665327E-05,0.000388611302611509
18,0.0731923285302218,0.00753561716861961,0.000742130767323174,0.0014636795445798
24,0.0800778379574011,0.00749111345773098,0.00233258569600652,0.000550281948960241
30,0.0369563014357798,0.00639597914833387,0.0019924526185182,0.00117727160053326
36,0.0223313152703299,0.00122901603683337,0.00348582317366996,0.0007668665065446
42,0.0262601324209506,0.0015892919237788,0.00123646911727672,0.00076190483807086
48,0.0115181500662515,0.00368164446007435,0.00113661239808068,0.00296032895863878
54,0.00172415293755905,0.00175845181619236,0.000425304351106828,0.00295149476685104
60,0.000124415209686125,0.000174345874229166,1.64094271175E-05,0.000917732634674626
66,0.000381303370402716,0.00122457631363985,0.000127154810308522,0.000839316945891828
72,0.000773095772368598,0.000933720158711017,0.0002148108061727,0.000284637645295873
78,0.000656492220690113,0.00162394357472225,0.000221763993144247,0.000249576480109246
84,0.000336348549472381,0.000161099275657532,0.000105779607233724,8.35709324777382E-05
90,0.000136171468457862,0.00036154460347127,8.76600583962274E-05,0.000113036076299388
96,0.000139008086441772,0.000349003495130151,6.95228055878168E-05,6.79624260488885E-05
102,0.000406325991829294,0.00499612589961371,0.000149957572024671,3.14617571139109E-05
108,0.000990344970014748,0.000741164939545281,0.000273129343518569,0.000171371474072616
114,0.000766589788002175,0.00479358434484491,0.000462155783323016,5.98539991247478E-05
120,0.000157810020173597,0.000136363365672443,0.000836254030208508,1.00461414068085E-05
126,0.000196632445207128,0.00155732668856199,0.00063126846957198,0.00080346233018112
132,0.0037440536369356,0.0117412992169537,0.00292953028752618,0.00110720446421687
138,0.00471079162509385,0.00852418830684239,0.00212487315688576,0.00374061331969345
144,0.00112686199474419,0.0219706336323819,0.000815962783283863,0.00350657115857668
150,0.000751481558520077,0.0871826769154095,0.000511195246431116,0.00362290552154496
156,0.00755395946114115,0.0769041574624132,0.000517972420949394,0.00246781275129259
162,0.00800576200205119,0.910462327367641,0.000128133373226434,0.000271292709318447
168,0.00745509499978404,0.903029081341433,0.000389192788254392,0.00012586368478878
174,0.00749979261703511,1.67613330876073,5.95704626121183E-08,2.12027956005726E-05
180,0.00759324796236882,1.6730326502738,4.7669539448114E-08,2.1903870166888E-07
186,0.00715405764202903,1.67577626535642,1.80551918747517E-07,1.57895449955349E-05
192,0.00755724220015257,0.900386535893294,0.000394986912359936,0.000124825110839605
198,0.00770970293024188,0.904909248567736,0.00149200774799124,0.000535612096520291
204,0.00768657462503993,0.0770185439966879,0.000531827874848458,0.00243809939438245
210,0.00663011378423914,0.0842668960304869,0.00119992228340466,0.00402563211871403
216,0.00118901394696813,0.0215275265123638,0.000807848862713488,0.00342265686440327
222,0.0013559225833426,0.00887292754328196,0.000722294370924023,0.00381484333711532
228,0.00375726566557581,0.0116666956087804,0.00301711511477051,0.00107771097226529
234,0.0016543895586155,0.0018972779686226,0.00280237759158448,0.000820915038094613
240,0.000167357250870908,0.000118224118788538,0.000927635124648389,8.52683728968992E-06
246,0.00112509767796778,0.00403779186111425,0.000823539677980153,7.68305521626795E-05
252,0.000960925740368307,0.000721618547579317,0.000298581191877236,0.000190616005459368
258,0.00145374816804187,0.00432349492241791,0.000190731113351943,6.07448311938893E-05
264,0.000162843057133135,0.00034771159219216,8.69343893566077E-05,7.30572196545328E-05
270,0.00038001959720871,0.000290026593243877,6.09179279952211E-05,6.28550313396827E-05
276,0.000386491897488217,0.000163832188112246,7.37844431876816E-05,8.51120545062016E-05
282,0.00498378451805867,0.00156769531559961,5.90351190181133E-05,0.000186849112383516
288,0.000766329842901851,0.0010475843561833,0.000180406693325462,0.000282983578418913
294,0.00478426506924058,0.00125148643577632,7.82424183416963E-05,0.000765807256183179
300,0.000125971501173156,0.000199957411284163,1.00957976281325E-05,0.000882515208358017
306,0.00161056256408561,0.00155479176394785,0.000802485254657928,0.00277497319022549
312,0.0118195430025058,0.00356901396220112,0.0010509136924536,0.00292592369630147
318,0.00870632349668178,0.00147504291785208,0.00402268790477035,0.000700160352338968
324,0.0218928364492345,0.00118677052669558,0.00336403234981169,0.000789317644799037
330,0.0855901648649156,0.00648381943793655,0.00430622350435031,0.00125579409675323
336,0.0773849352042841,0.00744922295723842,0.00243188152010727,0.000536034793068193
342,0.909232017849193,0.0076824188272811,0.000606181732470226,0.00151076514737331
348,0.904813090230496,0.00751796007849254,0.000132058490481837,0.000396645474589995
354,1.67284115261588,0.00697143902637676,2.14228124655368E-05,1.51110742891668E-07
360,1.67299159152824,0.00763884609486257,1.93940222305052E-05,1.6761559697983E-08
