"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,1.68448300398275,1.01563459219483E-07
6,0.858428928831839,0.000166480457159322
12,0.862852129759354,0.000449937847666217
18,0.0487314808007824,0.00250478854778507
24,0.0528689956213448,0.000565644128421054
30,0.0710100092039099,0.00127084843006085
36,0.0411687301269497,0.00306999293952525
42,0.0325585462108266,0.00593822418269365
48,0.0119893310419992,0.00716758092232565
54,0.00106120211734544,0.00949028691307198
60,0.000206556767548391,0.00731882055099468
66,0.000168600947237944,0.0061687909547196
72,0.000623711983910195,0.00907457189433677
78,0.000819154522791491,0.00404277282286102
84,0.000784952729531289,0.00441824051526185
90,0.00452854016629859,0.000850112878933586
96,0.00409509774953295,0.000940160260077995
102,0.00969024603193967,0.00121240771299369
108,0.00883584517893678,0.000646279272657606
114,0.0108735614474701,0.00245086900840449
120,0.00722794633275435,0.000359356243981601
126,0.0052538830773129,0.00172714427778056
132,0.00708165363801742,0.0121552151052049
138,0.00371586891246502,0.0168805207129251
144,0.00299888962589658,0.0420392075278747
150,0.00105758179652227,0.0596185852592886
156,0.000550265417139839,0.0532214579615283
162,0.000128745445696694,0.861330987104211
168,0.000449676192113028,0.858160081260326
174,2.73663846933861E-08,1.67917251235855
180,7.15111891212031E-09,1.67603766735969
186,0.000157256051866535,1.67963911092783
192,0.000448462176546786,0.857680241435701
198,0.00251471365018291,0.857313582050947
204,0.000552032874693052,0.0531538628373809
210,0.00133179907130327,0.0587545401133262
216,0.00307751538953815,0.0421669607360264
222,0.00602421495402583,0.0177711890271867
228,0.00722618176187387,0.0124674836891263
234,0.00985347561547105,0.00201172740021129
240,0.0074980326068183,0.000333673809456922
246,0.00621026444528177,0.00260905689483573
252,0.00930861531394789,0.000651071514588185
258,0.00402958429429551,0.00128364999579027
264,0.00459438564592021,0.00103166929419915
270,0.000952456363661478,0.000907465086297182
276,0.000996458605342426,0.00458511839140442
282,0.00141629036802703,0.00400518210795155
288,0.000640036085557706,0.00916020468961242
294,0.00264958138656289,0.00617662951977649
300,0.00033103659334412,0.00734824600051077
306,0.00196664054082615,0.00961438738774378
312,0.0120199165646775,0.00715686153110523
318,0.0177794818175765,0.00594831704223012
324,0.0412083073511522,0.00306889372354774
330,0.0619653925517779,0.00131684615457868
336,0.0537709858771383,0.000560087744753469
342,0.866435448831994,0.00257047940116688
348,0.859359518481092,0.000458938989250521
354,1.68466865700954,0.00016647321868889
360,1.68448300398275,1.01563459219483E-07
