"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,1.67738634661865,1.76425254340124E-07
6,0.857148203280837,0.000153273077692799
12,0.856851026336982,0.00044847132280413
18,0.0483191888744672,0.00247461464857299
24,0.0513292908154636,0.000547303176735899
30,0.0714775979979661,0.00128774364953837
36,0.041485739830336,0.00302002385217494
42,0.0327820473688658,0.00601129396249924
48,0.012223879444146,0.00709688934800064
54,0.00103186970686996,0.00958264505977439
60,0.000197346029313089,0.00727780438680518
66,0.000181305599228574,0.00610374899043934
72,0.000567597881368202,0.00911419606582375
78,0.000856213797038341,0.00400865772179218
84,0.000833101032721436,0.00453132634553413
90,0.00455365158431726,0.000877229344350146
96,0.00429271272754924,0.000984728308429974
102,0.00962511256163871,0.00137926853031608
108,0.0089172065031064,0.000655334789515322
114,0.0106190149465016,0.00262016770224139
120,0.00720410047731524,0.000321064073832454
126,0.00514350107734311,0.00209473312492255
132,0.00716569688767353,0.0122535641880364
138,0.00371344981066982,0.0180827698749889
144,0.00302168759926979,0.0416193453298581
150,0.0010090583573901,0.0609822744709579
156,0.000541158945370964,0.0540662555073853
162,0.000126776521038317,0.8598446898
168,0.000465983457064158,0.861796348032863
174,1.5964455960047E-06,1.67640463482237
180,2.01377434539992E-06,1.67999479407203
186,0.000191528020971523,1.67888538882594
192,0.000465714180616759,0.860315527984866
198,0.00256471991918441,0.862375439815792
204,0.000558728791818571,0.0536428450510464
210,0.00129308884807285,0.061395614847729
216,0.00309972681154504,0.041677819431889
222,0.00601920179641753,0.018053974853935
228,0.00721333404444671,0.0121770789176055
234,0.00957853360652327,0.00216664436244042
240,0.00738478171781649,0.000336165750465521
246,0.00596213030380554,0.00260923291742522
252,0.00910417007118293,0.00064046616360555
258,0.0039302602104804,0.00130572563734501
264,0.00443281178923317,0.00099753186065099
270,0.000891576922392042,0.000738547696570887
276,0.000963996486603466,0.00453760456594397
282,0.00125153992173576,0.00379028195274795
288,0.000656328264713551,0.00913293803970446
294,0.00248736648975217,0.00613315610905204
300,0.000345677383793044,0.00734476238843203
306,0.00181165772257988,0.00968828699777104
312,0.0120793354705761,0.00712745349036554
318,0.0174509001711102,0.0059946406200615
324,0.0416941590616253,0.00301619267696828
330,0.0604150515206558,0.00128754869804225
336,0.0533304758815248,0.000552250415925146
342,0.861452581889418,0.00249499182769193
348,0.857931122952042,0.000450079881135301
354,1.67859317267789,0.00015327147803363
360,1.67738634661865,1.76425254340124E-07
