"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,3.44727243105113,0.0135044068862406
6,1.82218907529889,0.0126581247503609
12,1.82716009587181,0.00817738130924263
18,0.133221315844548,0.00966169821205781
24,0.137537314672837,0.000335627153477359
30,0.078060136472571,0.000438178231526579
36,0.042674058699109,0.00932808755137414
42,0.0249934381000459,0.00943028650002752
48,0.00429916153111522,0.00114115414381012
54,0.00133663260096537,0.000416145412522022
60,0.00726804615090138,0.00222268206451052
66,0.00133927790773748,0.00108766920450786
72,0.0014792815913034,0.00303060384794126
78,0.00214753755512158,0.00388960957637024
84,0.000668024165269581,0.00135854280865506
90,0.00142075646810517,0.000734246684346871
96,0.000472504625935604,0.00213488151168015
102,0.000828380916604069,0.00680556259655864
108,0.00117706822972173,0.00791413015543889
114,0.000792420114983265,0.00509121892879818
120,0.000255777873687517,0.00284270169059278
126,0.000362423429930554,0.00250902540598514
132,0.00549627491722342,0.00407239836092188
138,0.00471661890029169,0.05190807582766
144,0.00365078365136766,0.0653478345771482
150,0.00512436135100843,0.0237593840188151
156,0.0053669978444691,0.0380308604622602
162,0.0041588779480506,0.962275410548505
168,0.00503285954675139,0.924452175129245
174,0.00440828241215121,3.18532564182691
180,0.0195933002584215,3.15943099828075
186,0.0208282480761607,3.1837071087622
192,0.00532917052648178,0.921094979484867
198,0.00790517027749764,0.959079036729264
204,0.00533455518800823,0.0382661872795686
210,0.00715636079341409,0.0239518347502354
216,0.00366642054819659,0.0649580689650692
222,0.00168876649145766,0.0516508143586061
228,0.00576975872515897,0.00391491463363385
234,0.00387445120775442,0.00265030330852948
240,0.000315151021004137,0.00266874861062805
246,0.00161252747512456,0.00527431437628029
252,0.0010977090985436,0.00804945518056989
258,0.00102817491156481,0.00681769082085389
264,0.000523545592050464,0.00213173365631694
270,0.0021184743259969,0.000821000639020073
276,0.000663039316679137,0.00144894803954194
282,0.000626267625510599,0.00408805551674243
288,0.0013738675939075,0.00316376599830778
294,0.00849240361593818,0.0011497944892663
300,0.00699128835476491,0.00215954916681541
306,0.00471403042618368,0.000379732500198361
312,0.00424414339368892,0.00113514942309352
318,0.0143976239742789,0.00951834014356996
324,0.0417962078258012,0.00951203862262755
330,0.138776095076472,0.000441598667299018
336,0.134193335542644,0.000326328530531776
342,1.80361403508828,0.00987166182517495
348,1.81390373652653,0.00800993488445511
354,3.44355972034122,0.0126581242564674
360,3.44727243105103,0.0135044068862404
