f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
1000	731717	-158519	1305	283
11000	116192	-270104	1344	3124
21000	36155	-159699	1349	5956
31000	17061	-111159	1349	8789
41000	9950	-84860	1363	11624
51000	6508	-68536	1373	14460
61000	4515	-57453	1360	17299
71000	3353	-49427	1366	20139
81000	2599	-43372	1377	22974
91000	2009	-38724	1336	25754
101000	1677	-34825	1380	28648
111000	1414	-31713	1404	31470
121000	1178	-29100	1389	34308
131000	995	-26899	1373	37125
141000	872	-24974	1396	39992
151000	764	-23323	1403	42830
161000	684	-21875	1427	45669
171000	605	-20603	1424	48494
181000	541	-19465	1426	51336
191000	488	-18448	1432	54167
201000	444	-17528	1445	57016
211000	414	-16702	1483	59837
221000	375	-15945	1474	62681
231000	344	-15251	1477	65537
241000	312	-14616	1458	68385
251000	300	-14042	1519	71184
261000	269	-13494	1475	74079
271000	261	-12996	1545	76917
281000	242	-12534	1537	79752
291000	229	-12115	1559	82513
301000	217	-11701	1583	85434
311000	202	-11329	1573	88241
321000	185	-10976	1537	91082
331000	186	-10643	1638	93928
341000	171	-10325	1601	96825
351000	159	-10027	1585	99702
361000	163	-9753	1715	102503
371000	149	-9492	1654	105323
381000	150	-9242	1751	108168
391000	131	-9006	1620	111014
401000	134	-8781	1741	113854
411000	117	-8563	1596	116756
421000	126	-8361	1808	119575
431000	118	-8171	1762	122352
441000	113	-7977	1780	125335
451000	107	-7802	1750	128154
461000	101	-7638	1727	130901
471000	94	-7470	1680	133839
481000	89	-7314	1657	136713
491000	92	-7169	1785	139470
501000	83	-7026	1687	142318
511000	85	-6881	1804	145296
521000	82	-6757	1806	147983
531000	79	-6615	1800	151152
541000	75	-6492	1770	154023
551000	77	-6387	1898	156553
561000	64	-6267	1641	159541
571000	75	-6155	1981	162455
581000	68	-6045	1873	165394
591000	65	-5953	1827	167975
601000	65	-5850	1902	170925
611000	67	-5755	2013	173737
621000	61	-5661	1914	176630
631000	60	-5572	1938	179451
641000	64	-5483	2140	182352
651000	56	-5401	1914	185130
661000	61	-5315	2157	188113
671000	51	-5238	1863	190912
681000	49	-5155	1834	193983
691000	55	-5073	2127	197092
701000	47	-5000	1892	199977
711000	54	-4938	2209	202478
721000	48	-4872	2038	205246
731000	48	-4801	2093	208263
741000	53	-4730	2377	211401
751000	45	-4675	2065	213880
761000	46	-4604	2163	217178
771000	49	-4545	2383	220018
781000	48	-4494	2388	222471
791000	38	-4431	1958	225676
801000	44	-4370	2285	228813
811000	40	-4321	2144	231417
821000	42	-4266	2303	234416
831000	52	-4213	2926	237335
841000	40	-4161	2338	240291
851000	42	-4116	2462	242940
861000	37	-4069	2213	245731
871000	39	-4023	2393	248521
881000	25	-3970	1607	251867
891000	35	-3929	2273	254469
901000	39	-3881	2587	257627
911000	35	-3847	2392	259948
