Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.00000000E+7	1.66832513E+2	
1.00010000E+7	1.66723305E+2	
1.00020000E+7	1.66918275E+2	
1.00030000E+7	1.66882012E+2	
1.00040000E+7	1.67095960E+2	
1.00050000E+7	1.66995599E+2	
1.00060000E+7	1.66741655E+2	
1.00070000E+7	1.66915423E+2	
1.00080000E+7	1.66780688E+2	
1.00090000E+7	1.66893411E+2	
1.00100000E+7	1.66968972E+2	
1.00110000E+7	1.67084624E+2	
1.00120000E+7	1.67049754E+2	
1.00130000E+7	1.67193331E+2	
1.00140000E+7	1.67110348E+2	
1.00150000E+7	1.67154674E+2	
1.00160000E+7	1.67090766E+2	
1.00170000E+7	1.67239512E+2	
1.00180000E+7	1.67009934E+2	
1.00190000E+7	1.67274320E+2	
1.00200000E+7	1.67218879E+2	
1.00210000E+7	1.67241525E+2	
1.00220000E+7	1.66949647E+2	
1.00230000E+7	1.67093288E+2	
1.00240000E+7	1.67243796E+2	
1.00250000E+7	1.67088809E+2	
1.00260000E+7	1.67383656E+2	
1.00270000E+7	1.67160884E+2	
1.00280000E+7	1.67139973E+2	
1.00290000E+7	1.67325009E+2	
1.00300000E+7	1.67404542E+2	
1.00310000E+7	1.67293417E+2	
1.00320000E+7	1.67189926E+2	
1.00330000E+7	1.67276927E+2	
1.00340000E+7	1.67457240E+2	
1.00350000E+7	1.67416212E+2	
1.00360000E+7	1.67406249E+2	
1.00370000E+7	1.67302731E+2	
1.00380000E+7	1.67662053E+2	
1.00390000E+7	1.67448577E+2	
1.00400000E+7	1.67382073E+2	
1.00410000E+7	1.67332408E+2	
1.00420000E+7	1.67518677E+2	
1.00430000E+7	1.67611379E+2	
1.00440000E+7	1.67503047E+2	
1.00450000E+7	1.67454315E+2	
1.00460000E+7	1.67736000E+2	
1.00470000E+7	1.67589416E+2	
1.00480000E+7	1.67597375E+2	
1.00490000E+7	1.67481778E+2	
1.00500000E+7	1.67649644E+2	
1.00510000E+7	1.67820107E+2	
1.00520000E+7	1.67662441E+2	
1.00530000E+7	1.67456927E+2	
1.00540000E+7	1.67805949E+2	
1.00550000E+7	1.67641527E+2	
1.00560000E+7	1.67876005E+2	
1.00570000E+7	1.67985728E+2	
1.00580000E+7	1.67559414E+2	
1.00590000E+7	1.67760464E+2	
1.00600000E+7	1.67952484E+2	
1.00610000E+7	1.67938420E+2	
1.00620000E+7	1.67703963E+2	
1.00630000E+7	1.67897267E+2	
1.00640000E+7	1.67804601E+2	
1.00650000E+7	1.67819770E+2	
1.00660000E+7	1.68126855E+2	
1.00670000E+7	1.67940592E+2	
1.00680000E+7	1.67896312E+2	
1.00690000E+7	1.68030758E+2	
1.00700000E+7	1.68065104E+2	
1.00710000E+7	1.68023706E+2	
1.00720000E+7	1.68111570E+2	
1.00730000E+7	1.67983286E+2	
1.00740000E+7	1.68224929E+2	
1.00750000E+7	1.68013803E+2	
1.00760000E+7	1.68117339E+2	
1.00770000E+7	1.68069200E+2	
1.00780000E+7	1.68194322E+2	
1.00790000E+7	1.68127012E+2	
1.00800000E+7	1.68255406E+2	
1.00810000E+7	1.68172820E+2	
1.00820000E+7	1.68142213E+2	
1.00830000E+7	1.68215604E+2	
1.00840000E+7	1.68273613E+2	
1.00850000E+7	1.68409706E+2	
1.00860000E+7	1.68475980E+2	
1.00870000E+7	1.68261638E+2	
1.00880000E+7	1.68644988E+2	
1.00890000E+7	1.68429089E+2	
1.00900000E+7	1.68404214E+2	
1.00910000E+7	1.68152252E+2	
1.00920000E+7	1.68222039E+2	
1.00930000E+7	1.68475509E+2	
1.00940000E+7	1.68393020E+2	
1.00950000E+7	1.68382236E+2	
1.00960000E+7	1.68351270E+2	
1.00970000E+7	1.68523457E+2	
1.00980000E+7	1.68416857E+2	
1.00990000E+7	1.68436794E+2	
1.01000000E+7	1.68842396E+2	
1.01010000E+7	1.68493065E+2	
1.01020000E+7	1.68540235E+2	
