Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.00000000E+03	7.64148305E+02	
1.03807615E+03	1.97112528E+03	
1.07615230E+03	-2.63484634E+03	
1.11422846E+03	3.12724371E+03	
1.15230461E+03	8.97041520E+03	
1.19038076E+03	-5.25278809E+03	
1.22845691E+03	4.56016852E+03	
1.26653307E+03	-2.20289250E+03	
1.30460922E+03	2.28515929E+03	
1.34268537E+03	1.05088607E+03	
1.38076152E+03	2.34792418E+03	
1.41883768E+03	-4.60503949E+03	
1.45691383E+03	-1.77922070E+03	
1.49498998E+03	3.12546569E+03	
1.53306613E+03	4.30331852E+03	
1.57114228E+03	-3.47975843E+02	
1.60921844E+03	3.81858520E+03	
1.64729459E+03	1.55318044E+03	
1.68537074E+03	1.03439169E+02	
1.72344689E+03	6.43688999E+03	
1.76152305E+03	-2.65660890E+02	
1.79959920E+03	-4.48736722E+01	
1.83767535E+03	3.76049175E+03	
1.87575150E+03	-1.08590563E+02	
1.91382766E+03	-9.61900641E+02	
1.95190381E+03	-2.01248056E+02	
1.98997996E+03	-1.82699152E+03	
2.02805611E+03	6.94631760E+02	
2.06613226E+03	4.33138845E+03	
2.10420842E+03	-1.15239939E+03	
2.14228457E+03	2.10437565E+02	
2.18036072E+03	-2.74059303E+03	
2.21843687E+03	2.71155722E+02	
2.25651303E+03	2.88237496E+03	
2.29458918E+03	2.18782880E+03	
2.33266533E+03	1.61788453E+03	
2.37074148E+03	-7.50265380E+02	
2.40881764E+03	-2.51966329E+03	
2.44689379E+03	-2.88518584E+03	
2.48496994E+03	-9.92917283E+02	
2.52304609E+03	1.39479928E+03	
2.56112224E+03	7.47292893E+02	
2.59919840E+03	-2.21513979E+03	
2.63727455E+03	-3.24410929E+03	
2.67535070E+03	4.08342498E+03	
2.71342685E+03	-8.52291260E+01	
2.75150301E+03	-5.93392662E+02	
2.78957916E+03	-5.65185814E+02	
2.82765531E+03	2.26742832E+03	
2.86573146E+03	8.09596641E+02	
2.90380762E+03	1.91226645E+03	
2.94188377E+03	-1.13249142E+03	
2.97995992E+03	1.04051609E+03	
3.01803607E+03	-6.13266523E+02	
3.05611222E+03	-1.23973584E+03	
3.09418838E+03	-1.12395174E+03	
3.13226453E+03	3.76500461E+02	
3.17034068E+03	-1.74712023E+03	
3.20841683E+03	1.27751114E+03	
3.24649299E+03	-4.05739134E+02	
3.28456914E+03	-2.34164055E+02	
3.32264529E+03	2.38836349E+03	
3.36072144E+03	3.11551893E+03	
3.39879760E+03	9.50865192E+02	
3.43687375E+03	2.62231545E+03	
3.47494990E+03	3.20936809E+03	
3.51302605E+03	-8.83731262E+02	
3.55110220E+03	3.30970807E+03	
3.58917836E+03	-1.12196131E+03	
3.62725451E+03	-9.54794632E+02	
3.66533066E+03	-3.24841311E+01	
3.70340681E+03	-2.57410209E+02	
3.74148297E+03	2.19066051E+01	
3.77955912E+03	1.63201422E+02	
3.81763527E+03	2.02019049E+03	
3.85571142E+03	1.65237070E+03	
3.89378758E+03	1.14929075E+03	
3.93186373E+03	-1.35768548E+01	
3.96993988E+03	-1.36727245E+03	
4.00801603E+03	5.72912481E+02	
4.04609218E+03	-2.72541901E+03	
4.08416834E+03	-1.14301100E+03	
4.12224449E+03	-1.25565827E+03	
4.16032064E+03	-1.10496931E+03	
4.19839679E+03	-6.77800698E+02	
4.23647295E+03	1.63557965E+03	
4.27454910E+03	6.30747850E+01	
4.31262525E+03	-1.60348272E+03	
4.35070140E+03	-6.44097559E+02	
4.38877756E+03	1.75758646E+02	
4.42685371E+03	-4.45974005E+02	
4.46492986E+03	1.99601626E+03	
4.50300601E+03	1.49994160E+03	
4.54108216E+03	1.71231463E+03	
4.57915832E+03	-2.09577723E+03	
4.61723447E+03	-8.11507277E+02	
4.65531062E+03	2.63545933E+02	
4.69338677E+03	-7.80996695E+02	
4.73146293E+03	2.03691904E+03	
4.76953908E+03	6.93913466E+01	
4.80761523E+03	2.62861708E+02	
4.84569138E+03	4.49284112E+02	
4.88376754E+03	-4.74130272E+01	
4.92184369E+03	-2.65540416E+03	
4.95991984E+03	-4.58790991E+02	
4.99799599E+03	9.66622639E+02	
5.03607214E+03	1.77721433E+03	
5.07414830E+03	1.26494157E+02	
5.11222445E+03	-5.41777260E+02	
5.15030060E+03	1.48625717E+03	
5.18837675E+03	1.53665241E+03	
5.22645291E+03	5.44383792E+02	
5.26452906E+03	1.92521783E+03	
5.30260521E+03	-3.00198163E+02	
5.34068136E+03	-5.59292361E+01	
5.37875752E+03	1.49132839E+03	
5.41683367E+03	-1.81361413E+02	
5.45490982E+03	2.22299149E+01	
5.49298597E+03	-1.33794968E+03	
5.53106212E+03	-2.14167075E+02	
5.56913828E+03	-1.49356384E+02	
5.60721443E+03	3.68245832E+02	
5.64529058E+03	6.76291651E+01	
5.68336673E+03	-1.46008490E+03	
5.72144289E+03	9.17041416E+02	
5.75951904E+03	-2.35685887E+02	
5.79759519E+03	-6.39190994E+02	
5.83567134E+03	6.88523371E+01	
5.87374749E+03	5.09678169E+02	
5.91182365E+03	-2.91013877E+02	
5.94989980E+03	1.76455350E+03	
5.98797595E+03	2.32531169E+02	
6.02605210E+03	-5.71955890E+02	
6.06412826E+03	-1.10223252E+02	
6.10220441E+03	7.93877893E+02	
6.14028056E+03	2.27711647E+02	
6.17835671E+03	4.84820519E+02	
6.21643287E+03	-8.06778615E+01	
6.25450902E+03	7.51698681E+02	
6.29258517E+03	-4.21123042E+02	
6.33066132E+03	-8.57994881E+02	
6.36873747E+03	3.78231848E+02	
6.40681363E+03	-2.23086480E+02	
6.44488978E+03	1.02687513E+02	
6.48296593E+03	2.52199460E+02	
6.52104208E+03	5.55639593E+02	
6.55911824E+03	-3.69977157E+02	
6.59719439E+03	-6.95472767E+02	
6.63527054E+03	5.38828108E+02	
6.67334669E+03	5.59121227E+02	
6.71142285E+03	-7.04648432E+02	
6.74949900E+03	7.17814016E+02	
6.78757515E+03	1.68205640E+01	
6.82565130E+03	2.87744097E+01	
6.86372745E+03	1.02285925E+03	
6.90180361E+03	1.25849861E+02	
6.93987976E+03	-1.04773397E+02	
6.97795591E+03	-3.03676041E+02	
