x[m],y[m],|B|
-0.02,0.005,4.11178228382169e-07
-0.02,0.005,4.31175700504885e-07
-0.02,0.005,4.53549260729859e-07
-0.02,0.005,4.7841552885944e-07
-0.02,0.005,5.05873679867156e-07
-0.02,0.005,5.36004625417327e-07
-0.02,0.005,5.68870487950576e-07
-0.02,0.005,6.04514179951886e-07
-0.02,0.005,6.4295892484288e-07
-0.02,0.005,6.84207598241447e-07
-0.02,0.005,7.28241817668565e-07
-0.02,0.005,7.75020756627107e-07
-0.02,0.005,8.24479700462531e-07
-0.02,0.005,8.76528394790768e-07
-0.02,0.005,9.31049262829295e-07
-0.02,0.005,9.87895586940251e-07
-0.02,0.005,1.04688976350383e-06
-0.02,0.005,1.1078217500007e-06
-0.02,0.005,1.17044782951323e-06
-0.02,0.005,1.23448982086085e-06
-0.02,0.005,1.29963486193939e-06
-0.02,0.005,1.36553588890995e-06
-0.02,0.005,1.43181292390577e-06
-0.02,0.005,1.49805526812889e-06
-0.02,0.005,1.56382467498561e-06
-0.02,0.005,1.62865954896736e-06
-0.02,0.005,1.69208018046531e-06
-0.02,0.005,1.75359498530588e-06
-0.02,0.005,1.81270767181741e-06
-0.02,0.005,1.8689252096225e-06
-0.02,0.005,1.92176642561132e-06
-0.02,0.005,1.97077100666139e-06
-0.02,0.005,2.01550864886118e-06
-0.02,0.005,2.05558806250504e-06
-0.02,0.005,2.09066552389485e-06
-0.02,0.005,2.12045266134397e-06
-0.02,0.005,2.14472317517636e-06
-0.02,0.005,2.16331822028856e-06
-0.02,0.005,2.17615022411031e-06
-0.02,0.005,2.18320497046223e-06
-0.02,0.005,2.18454184768725e-06
-0.02,0.005,2.18029223352748e-06
-0.02,0.005,2.17065606505764e-06
-0.02,0.005,2.15589671502351e-06
-0.02,0.005,2.13633436194351e-06
-0.02,0.005,2.11233809675429e-06
-0.02,0.005,2.08431705098061e-06
-0.02,0.005,2.05271085881277e-06
-0.02,0.005,2.01797977758663e-06
-0.02,0.005,1.98059478847895e-06
-0.02,0.005,1.94102798305846e-06
-0.02,0.005,1.89974351356527e-06
-0.02,0.005,1.85718934767222e-06
-0.02,0.005,1.81379002440122e-06
-0.02,0.005,1.76994055919921e-06
-0.02,0.005,1.7260015951832e-06
-0.02,0.005,1.68229584635063e-06
-0.02,0.005,1.63910582907164e-06
-0.02,0.005,1.59667283224712e-06
-0.02,0.005,1.55519703579841e-06
-0.02,0.005,1.51483865314522e-06
-0.02,0.005,1.47571994726425e-06
-0.02,0.005,1.43792795267694e-06
-0.02,0.005,1.40151772768254e-06
-0.02,0.005,1.3665159621501e-06
-0.02,0.005,1.33292477542412e-06
-0.02,0.005,1.30072555503891e-06
-0.02,0.005,1.26988270820635e-06
-0.02,0.005,1.24034722243726e-06
-0.02,0.005,1.21205995716336e-06
-0.02,0.005,1.18495461302926e-06
-0.02,0.005,1.15896034816476e-06
-0.02,0.005,1.13400403022544e-06
-0.02,0.005,1.11001212876776e-06
-0.02,0.005,1.08691226449535e-06
-0.02,0.005,1.06463444029744e-06
-0.02,0.005,1.0431119842438e-06
-0.02,0.005,1.02228223736575e-06
-0.02,0.005,1.0020870197248e-06
-0.02,0.005,9.82472907495927e-07
-0.02,0.005,9.63391352039413e-07
-0.02,0.005,9.44798669576466e-07
-0.02,0.005,9.26655927399228e-07
-0.02,0.005,9.08928749735325e-07
-0.02,0.005,8.91587063583318e-07
-0.02,0.005,8.74604802124704e-07
-0.02,0.005,8.57959580752315e-07
-0.02,0.005,8.41632358364617e-07
-0.02,0.005,8.25607094377297e-07
-0.02,0.005,8.09870409906006e-07
-0.02,0.005,7.94411259780388e-07
-0.02,0.005,7.79220620458767e-07
-0.02,0.005,7.64291197521458e-07
-0.02,0.005,7.49617155221985e-07
-0.02,0.005,7.35193869560355e-07
-0.02,0.005,7.21017705499728e-07
-0.02,0.005,7.07085818263711e-07
-0.02,0.005,6.93395978111474e-07
-0.02,0.005,6.79946417576135e-07
-0.02,0.005,6.66735699852244e-07
-0.0195959595959596,0.005,4.27444379766184e-07
-0.0195959595959596,0.005,4.47781603387018e-07
-0.0195959595959596,0.005,4.70615120280505e-07
-0.0195959595959596,0.005,4.96086489036006e-07
-0.0195959595959596,0.005,5.2431947706797e-07
-0.0195959595959596,0.005,5.55418694544433e-07
-0.0195959595959596,0.005,5.89468640867601e-07
-0.0195959595959596,0.005,6.26532966317137e-07
-0.0195959595959596,0.005,6.66653757660093e-07
-0.0195959595959596,0.005,7.09850690661773e-07
-0.0195959595959596,0.005,7.56119941860919e-07
-0.0195959595959596,0.005,8.05432805577866e-07
-0.0195959595959596,0.005,8.57734012301652e-07
-0.0195959595959596,0.005,9.12939787470893e-07
-0.0195959595959596,0.005,9.70935724208835e-07
-0.0195959595959596,0.005,1.03157457046233e-06
-0.0195959595959596,0.005,1.09467405153363e-06
-0.0195959595959596,0.005,1.16001486441677e-06
-0.0195959595959596,0.005,1.22733899143863e-06
-0.0195959595959596,0.005,1.29634848766258e-06
