"Freq [GHz]","re(Z(1,1)) [] - Cu_h='17.5um' hsub='5mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='10mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='31mil'","re(Z(1,1)) [] - Cu_h='17.5um' hsub='62mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='5mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='10mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='31mil'","im(Z(1,1)) [] - Cu_h='17.5um' hsub='62mil'"
9,6.45831434452827,13.248484764348,23.4143241619281,84.4776703995967,55.7836719526102,96.6103983727035,126.90706482131,146.309725975432
9.005,6.39739673356624,13.2217034579562,22.9336824743225,83.2412053249482,55.7557847140886,96.5650024202572,127.159330127086,146.895000099634
9.01,6.33533131384486,13.1940158453682,22.4452115036201,82.0050253152426,55.7252841961417,96.5179872196086,127.421580733002,147.48519911298
9.015,6.2718340232862,13.1653371494792,21.9483516599415,80.7692106760841,55.6917508707042,96.4692948218192,127.694526893715,148.080586086495
9.02,6.206538552301,13.1355756724152,21.4424546744591,79.533844727516,55.6547100043476,96.418866217546,127.978999671125,148.681426140335
9.025,6.1389722767109,13.1046322355952,20.9267661224109,78.2990139248225,55.6136271404278,96.366641519052,128.275983611226,149.287986308061
9.03,6.06852482953014,13.0723995779783,20.4004044223918,77.0648079694998,55.567905376852,96.3125601849502,128.586660628539,149.900535381387
9.035,5.99440709248674,13.0387617105099,19.8623358617782,75.8313199078095,55.5168862565913,96.2565612945783,128.912469660432,150.519343733225
9.04,5.91559786447594,13.0035932250027,19.3113454614906,74.5986462138374,55.4598572822697,96.198583879874,129.255188798443,151.144683116614
9.045,5.8307750002826,12.9667585560201,18.7460041811528,73.3668868534264,55.3960709600774,96.1385673237167,129.617049887262,151.776826436854
9.05,5.73822766433132,12.9281111947878,18.1646345391952,72.1361453246729,55.3247832342045,96.0764518349169,130.000900668285,152.416047493894
9.055,5.63574706680968,12.8874928547963,17.5652801278269,70.9065286698679,55.2453236783383,96.0121790113901,130.410437502872,153.062620691634
9.06,5.52049576975859,12.8447325895872,16.9456917027567,69.6781474528064,55.1572164214559,95.9456925045425,130.850544244653,153.716820710488
9.065,5.38886251375733,12.7996458643116,16.3033576488838,68.4511156942183,55.0603798675382,95.8769387995303,131.327792568783,154.378922139092
9.07,5.23632432101439,12.7520335840439,15.6356384722956,67.2255507566881,54.9554442397187,95.8058681278266,131.851189724727,155.049199060602
9.075,5.05736641510188,12.7016810836088,14.9401325910483,66.0015731687304,54.844235455487,95.7324355304287,132.433305261972,155.727924588502
9.08,4.84556102831592,12.6483570859006,14.215545589159,64.7793063756445,54.7304717893427,95.6566020920521,133.091968173732,156.415370346253
9.085,4.59398334120376,12.591812638433,13.463646977443,63.558876402268,54.6206830808639,95.5783363687394,133.852774885568,157.111805884517
9.09,4.29623354210636,12.5317800412532,12.6935626984361,62.3404114096985,54.5252482708159,95.4976160334326,134.75256488538,157.817498028985
9.095,3.94837368267237,12.4679717834956,11.9309953622981,61.124041124307,54.459200988524,95.4144297661209,135.843347413458,158.53271015109
9.1,3.55191597033955,12.4000795108638,11.2372489358731,59.9098961127424,54.4420647254741,95.3287794171072,137.193394701618,159.257701353144
9.105,3.11737566097136,12.3277730523446,10.744488759645,58.6981068709233,54.495633449085,95.2406824735754,138.873225923819,159.992725558629
9.11,2.66676416961835,12.2506995416066,10.7022408671575,57.4888026878967,54.6388621285263,95.1501748608209,140.892510255568,160.738030497599
