"Freq [GHz]","re(Z(1,1)) [] - hsub='5mil'","re(Z(1,1)) [] - hsub='10mil'","re(Z(1,1)) [] - hsub='15mil'","re(Z(1,1)) [] - hsub='31mil'","re(Z(1,1)) [] - hsub='62mil'","im(Z(1,1)) [] - hsub='5mil'","im(Z(1,1)) [] - hsub='10mil'","im(Z(1,1)) [] - hsub='15mil'","im(Z(1,1)) [] - hsub='31mil'","im(Z(1,1)) [] - hsub='62mil'"
9,6.10931310538079,10.0368343111306,9.55058180219693,26.1391727529101,86.7893789304936,56.1332631510487,96.5040811383278,96.7326363062636,124.93076402661,149.358480886623
9.005,5.98254897077655,10.6600120637902,9.73337667291908,25.6539066966739,85.8839386620156,56.1443583025265,96.0617488618467,96.988376109474,125.316799517231,151.321831686781
9.01,5.85522291535372,11.2543377844452,9.92052082517533,25.1704855175228,84.7810034121541,56.1603473368674,95.5568798079762,97.2368859783531,125.707384105954,153.320560968417
9.015,5.7276566815122,11.810477970569,10.1119014246342,24.6889773060129,83.4709575280895,56.181198823169,94.9897940674925,97.4769256802642,126.102590450161,155.323591044318
9.02,5.60016142467766,12.3185458894412,10.3072982816487,24.20945219098,81.9511101171113,56.2068544068484,94.3624262993629,97.7070861276748,126.502491276588,157.296842301582
9.025,5.47303513484836,12.7684163242628,10.5063480151328,23.7319823904266,80.2266741417085,56.2372308218692,93.6785650660772,97.9257713454029,126.907159346486,159.205176693636
9.03,5.34656041923951,13.1501293015651,10.7084981662728,23.2566422629682,78.3110713492097,56.2722221522057,92.9440250849036,98.1311815292012,127.316667418797,161.014679167338
9.035,5.22100266463626,13.4543677710449,10.912948901445,22.7835083598058,76.2254430575056,56.3117022770521,92.1667184957246,98.3212991991527,127.731088211257,162.694997243232
9.04,5.0966085861008,13.6729803599761,11.118579668205,22.3126594771858,73.9973807802985,56.3555274351483,91.3565945669546,98.4938815407263,128.150494359343,164.221419242764
9.045,4.97360515771859,13.7995071002119,11.323858077623,21.8441767093069,71.6590328402313,56.4035388465855,90.5254267506546,98.6464635542936,128.574958372993,165.57640301727
9.05,4.85219891146222,13.8296564415488,11.5267285852318,21.3781435016318,69.2448534875016,56.4555653352037,89.6864416118576,98.7763787110457,129.004552591006,166.750364902476
9.055,4.7325755822233,13.7616789728745,11.724479563156,20.9146457045512,66.7893091113754,56.5114259007878,88.8538042332666,98.8808065227501,129.439349133044,167.741675764426
9.06,4.61490007074196,13.5965892133464,11.9135896039432,20.45377162735,64.3248328539728,56.5709321972731,88.0419959443399,98.9568597631705,129.879419849143,168.555948275995
9.065,4.49931669155828,13.3382019218479,12.0895580911618,19.9956120924165,61.8802386160683,56.6338908806856,87.2651383127852,99.0017277988549,130.324836266657,169.204801562615
9.07,4.38594967016337,12.9929716000581,12.2467321337787,19.5402604896326,59.4796974316143,56.7001057981964,86.5363280207456,99.0128959358876,130.775669534528,169.704336746655
9.075,4.27490385209788,12.5696491695838,12.3781528746211,19.0878128308775,57.1422748383215,56.7693799971411,85.8670476822235,98.9884624695768,131.231990364813,170.073550064889
9.08,4.16626558665278,12.0787930904119,12.4754595931011,18.6383678045727,54.8819497262573,56.8415175398969,85.266707392373,98.9275727298537,131.693868971357,170.332864311522
9.085,4.06010374886097,11.5321887890763,12.5289093886451,18.1920268301889,52.7079923941608,56.9163251169215,84.7423530099416,98.8309789570088,132.161375005534,170.50289536423
9.09,3.95647086540121,10.9422372804872,12.5275903949785,17.7488941126314,50.6255696416607,56.9936134559211,84.2985540068034,98.7017112681195,132.634577488956,170.603507161307
9.095,3.85540431264889,10.3213708655108,12.459919788112,17.3090766964133,48.6364583328198,57.073198529939,83.9374610046798,98.5458035071802,133.113544743052,170.653157658836
9.1,3.75692755819002,9.68154264925989,12.3145107780148,16.8726845195216,46.7397749639157,57.1549025711398,83.6590049925977,98.3729574675922,133.598344315438,170.668504656811
9.105,3.66105142047584,9.03382070144819,12.0814471626332,16.4398304668699,44.9326581196562,57.2385549002023,83.46119914174,98.1969587300339,134.089042902968,170.664223137133
9.11,3.56777532477534,8.38810065846088,11.7539042996569,16.0106304232312,43.2108672720553,57.3239925835877,83.340500601761,98.0356024582348,134.585706271374,170.652981194916
9.115,3.47708853704209,7.75293550486114,11.3299036355095,15.5852033255302,41.5692822449819,57.4110609325823,83.2921925341613,97.9098906872791,135.088399171416,170.645525287779
9.12,3.38897136064788,7.13547005374772,10.8138224986551,15.1636712143743,40.0023022070603,57.4996138590124,83.3107538326498,97.8423703706229,135.597185251419,170.650833428429
9.125,3.3033962840639,6.54146090497233,10.2171821091835,14.7461592846856,38.504151972631,57.5895141029781,83.390193211702,97.8547104298815,136.112126966145,170.67630422424
9.13,3.22032907043822,5.97536004451339,9.55829918086037,14.3327959352997,37.0691079514575,57.6806333479512,83.5243336721783,97.9649138714126,136.633285481865,170.727958541438
9.135,3.13972978259025,5.44044082382712,8.86065329616441,13.9237128173763,35.6916576218665,57.7728522382151,83.7070414572772,98.1847982975757,137.160720577574,170.810638139274
9.14,3.06155373920301,4.93894769997508,8.15022244715117,13.5190448814691,34.3666060465346,57.8660603129772,83.9323998263726,98.5184065736639,137.694490542247,170.928191580351
9.145,2.9857523999387,4.47225478875163,7.45239494947529,13.1189304230857,33.089141564477,57.9601558706263,84.194832161489,98.9617671128163,138.234652068053,171.083642128916
9.15,2.91227417884582,4.04102218241758,6.789195070545,12.7235111265636,31.854870966107,58.0550457756144,84.4891812914484,99.5040024662258,138.781260139447,171.279335422214
9.155,2.8410651867764,3.64534258417583,6.17740188929795,12.3329321070772,30.6598325586565,58.1506452193592,84.8107528544403,100.129386428434,139.334367918053,171.517066718609
9.16,2.7720699046232,3.28487383171097,5.62779687720938,11.947341950581,29.5004937630178,58.2468774454444,85.1553304435419,100.819750220784,139.894026623274,171.798188758086
9.165,2.70523179003489,2.95895522522514,5.14542606794017,11.5668927514855,28.37373834734,58.3436734482726,85.5191695732627,101.556683546712,140.460285408556,172.123701944877
