Far field
"Plane Wave Theta"[deg]	"FarField1 [V]"	
-1.80000000E+02	4.55233636E-05	
-1.78000000E+02	1.09242700E-04	
-1.76000000E+02	3.94183941E-04	
-1.74000000E+02	8.80613713E-04	
-1.72000000E+02	1.56489070E-03	
-1.70000000E+02	2.44779231E-03	
-1.68000000E+02	3.53050190E-03	
-1.66000000E+02	4.81382354E-03	
-1.64000000E+02	6.29764555E-03	
-1.62000000E+02	7.98026069E-03	
-1.60000000E+02	9.85768920E-03	
-1.58000000E+02	1.19228392E-02	
-1.56000000E+02	1.41644875E-02	
-1.54000000E+02	1.65663645E-02	
-1.52000000E+02	1.91059449E-02	
-1.50000000E+02	2.17533782E-02	
-1.48000000E+02	2.44704342E-02	
-1.46000000E+02	2.72094916E-02	
-1.44000000E+02	2.99127991E-02	
-1.42000000E+02	3.25122195E-02	
-1.40000000E+02	3.49292293E-02	
-1.38000000E+02	3.70757537E-02	
-1.36000000E+02	3.88559054E-02	
-1.34000000E+02	4.01682939E-02	
-1.32000000E+02	4.09101751E-02	
-1.30000000E+02	4.09822988E-02	
-1.28000000E+02	4.02961147E-02	
-1.26000000E+02	3.87830347E-02	
-1.24000000E+02	3.64080866E-02	
-1.22000000E+02	3.31913314E-02	
-1.20000000E+02	2.92480444E-02	
-1.18000000E+02	2.48749870E-02	
-1.16000000E+02	2.07473554E-02	
-1.14000000E+02	1.82442054E-02	
-1.12000000E+02	1.91563573E-02	
-1.10000000E+02	2.38052278E-02	
-1.08000000E+02	3.08682580E-02	
-1.06000000E+02	3.90899687E-02	
-1.04000000E+02	4.76770829E-02	
-1.02000000E+02	5.60933710E-02	
-1.00000000E+02	6.39244974E-02	
-9.80000000E+01	7.08263873E-02	
-9.60000000E+01	7.65104924E-02	
-9.40000000E+01	8.07440746E-02	
-9.20000000E+01	8.33549487E-02	
-9.00000000E+01	8.42371230E-02	
-8.80000000E+01	8.33546632E-02	
-8.60000000E+01	8.07433403E-02	
-8.40000000E+01	7.65089520E-02	
-8.20000000E+01	7.08235991E-02	
-8.00000000E+01	6.39198602E-02	
-7.80000000E+01	5.60861342E-02	
-7.60000000E+01	4.76665511E-02	
-7.40000000E+01	3.90753525E-02	
-7.20000000E+01	3.08488544E-02	
-7.00000000E+01	2.37811757E-02	
-6.80000000E+01	1.91309819E-02	
-6.60000000E+01	1.82252376E-02	
-6.40000000E+01	2.07394687E-02	
-6.20000000E+01	2.48768675E-02	
-6.00000000E+01	2.92570633E-02	
-5.80000000E+01	3.32054722E-02	
-5.60000000E+01	3.64258264E-02	
-5.40000000E+01	3.88032251E-02	
-5.20000000E+01	4.03177494E-02	
-5.00000000E+01	4.10045775E-02	
-4.80000000E+01	4.09323575E-02	
-4.60000000E+01	4.01898394E-02	
-4.40000000E+01	3.88762906E-02	
-4.20000000E+01	3.70946542E-02	
-4.00000000E+01	3.49463010E-02	
-3.80000000E+01	3.25273926E-02	
-3.60000000E+01	2.99259663E-02	
-3.40000000E+01	2.72206844E-02	
-3.20000000E+01	2.44797107E-02	
-3.00000000E+01	2.17608767E-02	
-2.80000000E+01	1.91118022E-02	
-2.60000000E+01	1.65707873E-02	
-2.40000000E+01	1.41677002E-02	
-2.20000000E+01	1.19250354E-02	
-2.00000000E+01	9.85907122E-03	
-1.80000000E+01	7.98098645E-03	
-1.60000000E+01	6.29788227E-03	
-1.40000000E+01	4.81371541E-03	
-1.20000000E+01	3.53014725E-03	
-1.00000000E+01	2.44728350E-03	
-8.00000000E+00	1.56428427E-03	
-6.00000000E+00	8.79946071E-04	
-4.00000000E+00	3.93480997E-04	
-2.00000000E+00	1.08588389E-04	
0.00000000E+00	4.56539657E-05	
2.00000000E+00	1.08679860E-04	
4.00000000E+00	3.93295468E-04	
6.00000000E+00	8.79562250E-04	
8.00000000E+00	1.56373249E-03	
1.00000000E+01	2.44658167E-03	
1.20000000E+01	3.52931445E-03	
1.40000000E+01	4.81277081E-03	
1.60000000E+01	6.29685684E-03	
1.80000000E+01	7.97989085E-03	
2.00000000E+01	9.85793805E-03	
2.20000000E+01	1.19239016E-02	
2.40000000E+01	1.41666056E-02	
2.60000000E+01	1.65697670E-02	
2.80000000E+01	1.91108982E-02	
3.00000000E+01	2.17601044E-02	
3.20000000E+01	2.44791314E-02	
3.40000000E+01	2.72203059E-02	
3.60000000E+01	2.99258283E-02	
3.80000000E+01	3.25274960E-02	
4.00000000E+01	3.49466466E-02	
4.20000000E+01	3.70952179E-02	
4.40000000E+01	3.88770734E-02	
4.60000000E+01	4.01908321E-02	
4.80000000E+01	4.09335463E-02	
5.00000000E+01	4.10058681E-02	
5.20000000E+01	4.03191691E-02	
5.40000000E+01	3.88047630E-02	
5.60000000E+01	3.64274501E-02	
5.80000000E+01	3.32071689E-02	
6.00000000E+01	2.92588391E-02	
6.20000000E+01	2.48788018E-02	
6.40000000E+01	2.07414009E-02	
6.60000000E+01	1.82268616E-02	
6.80000000E+01	1.91318402E-02	
7.00000000E+01	2.37812348E-02	
7.20000000E+01	3.08482361E-02	
7.40000000E+01	3.90742434E-02	
7.60000000E+01	4.76651027E-02	
7.80000000E+01	5.60844300E-02	
8.00000000E+01	6.39179664E-02	
8.20000000E+01	7.08216036E-02	
8.40000000E+01	7.65069327E-02	
8.60000000E+01	8.07413148E-02	
8.80000000E+01	8.33526888E-02	
9.00000000E+01	8.42352786E-02	
9.20000000E+01	8.33533317E-02	
9.40000000E+01	8.07426848E-02	
9.60000000E+01	7.65093700E-02	
9.80000000E+01	7.08254941E-02	
1.00000000E+02	6.39239238E-02	
1.02000000E+02	5.60930348E-02	
1.04000000E+02	4.76770821E-02	
1.06000000E+02	3.90903536E-02	
1.08000000E+02	3.08692056E-02	
1.10000000E+02	2.38069451E-02	
1.12000000E+02	1.91591118E-02	
1.14000000E+02	1.82477548E-02	
1.16000000E+02	2.07509995E-02	
1.18000000E+02	2.48784737E-02	
1.20000000E+02	2.92513289E-02	
1.22000000E+02	3.31944535E-02	
1.24000000E+02	3.64110449E-02	
1.26000000E+02	3.87858420E-02	
1.28000000E+02	4.02987632E-02	
1.30000000E+02	4.09847503E-02	
1.32000000E+02	4.09124391E-02	
1.34000000E+02	4.01703511E-02	
1.36000000E+02	3.88577137E-02	
1.38000000E+02	3.70773498E-02	
1.40000000E+02	3.49305713E-02	
1.42000000E+02	3.25133212E-02	
1.44000000E+02	2.99136628E-02	
1.46000000E+02	2.72101195E-02	
1.48000000E+02	2.44708552E-02	
1.50000000E+02	2.17536081E-02	
1.52000000E+02	1.91059559E-02	
1.54000000E+02	1.65662181E-02	
1.56000000E+02	1.41642154E-02	
1.58000000E+02	1.19224658E-02	
1.60000000E+02	9.85724729E-03	
1.62000000E+02	7.97976026E-03	
1.64000000E+02	6.29712174E-03	
1.66000000E+02	4.81330425E-03	
1.68000000E+02	3.53001187E-03	
1.70000000E+02	2.44735855E-03	
1.72000000E+02	1.56452988E-03	
1.74000000E+02	8.80343067E-04	
1.76000000E+02	3.94025438E-04	
1.78000000E+02	1.09235582E-04	
1.80000000E+02	4.55230611E-05	
